중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
24,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제23호 (2013.10.15),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
25,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제24호 (2013.10.29),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
26,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제25호 (2013.11.12),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
27,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제26호 (2013.11.26),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
28,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제27호 (2013.12.10),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
29,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제28호 (2013.12.24),,2013,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
30,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제29호(2014.2.4),,2014,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
31,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제30호(2014.5.19),,2014,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
32,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제31호(2014.6.2),,2014,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
33,중소벤처기업연구원,HOME > 발간물 > E-NewsLetter,E-NewsLetter,[중소기업연구원] e-Letter 제32호(2014.6.16),,2014,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
