중소벤처기업연구원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,," 1: 공공누리 1유형, 2: 공공누리 2유형, 3:공공누리 3유형, 4:공공누리4유형",,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일/발행년도,연구책임자/작성자/발행기관,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,비고
5045,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,일본 수출규제의 대-중소기업 공급망 측면 영향 분석,,2019,박재성·강재원·최종민·홍종수,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5046,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제189호 (2019.7.4),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5047,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제190호 (2019.7.11),,,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5048,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제191호 (2019.07.19),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5049,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제192호 (2019.07.29),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5050,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제193호 (2019.08.05),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5051,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제195호 (2019.09.06),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5052,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제194호 (2019.08.23),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5053,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,온라인 거래의 특징 및 시사점,,2019,조혜정,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5054,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,KOSBI 중소기업 동향 (2019년 9월호),,2019,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5055,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,인구구조 변화가 소상공인에 미치는 영향,,2019,남윤형,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5056,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업의 ‘데이터 분석’ 이용 실태와 과제 < Vol.2 No.8 2019년 8월호)>,,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5057,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,인공지능의 발전과 경제적 영향 < Vol.2 No.9 2019년 9월호)>,,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5058,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제196호 (2019.09.11),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5059,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제197호 (2019.10.2),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5060,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,혁신활동 분석을 통한 메이커스페이스 발전방안: 전문랩을 중심으로,,2019,최종민,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5061,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,2019년 제4권 제2호(여름호),,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5062,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제198호 (2019.10.08),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5063,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,KOSBI 중소기업 동향 (2019년 10월호),,2019,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5064,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,재창업 중소기업 실태와 사회적기업 모델을 활용한 재도전,,2019,김선화?백필규,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5065,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제199호 (2019.10.17),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5066,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제200호 (2019.10.25),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5067,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,대?중소 상생협력을 위한 대기업 내부역량 개방공유 확산방안 마련,,2019,백훈,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5068,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중국의 ‘대중창업·만중혁신’ 추진과 세제 지원 < Vol.2 No.10 2019년 10월호)>,,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5069,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,KOSBI 중소기업 동향 (2019년 11월호),,2019,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5070,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,괜찮은 일자리 인증 제도를 활용한 정보 미스매치 해소 방안,,2019,황경진·이은실,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5071,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,국내기업의 극동지역 진출사례와 향후의 진출전략,,2019,이재호,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5072,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,프랑스의 중소기업 디지털화 지원 정책과 개선 방안 < Vol.2 No.11 2019년 11월호)>,,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5073,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,KOSBI 중소기업 동향 (2019년 12월호),,2019,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5074,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,일본 기업의 외국인재 고용 실태와 과제 < Vol.2 No.12 2019년 12월호)>,,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5075,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,2020년 중소기업 경기 전망,,2019,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5076,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,연구조합 활성화를 위한 운영 및 지원시스템 방안,,2016,김광희,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5077,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 청년 R&D인력 현황 분석과 정책과제,,2020,노민선,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5078,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,KOSBI 중소기업 동향 (2020년1월호),,2020,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5079,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,2019년 제4권 제3호(겨울호),,2019,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5080,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제201호 (2019.11.08),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5081,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제202호 (2019.11.15),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5082,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제203호 (2019.11.21),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5083,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제204호 (2019.12.03),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5084,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제205호 (2019.12.13),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5085,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제206호 (2019.12.17),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5086,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제207호 (2019.12.27),,2019,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5087,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제208호 (2020.1.3),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5088,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제209호 (2020.1.9),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5089,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제210호 (2020.1.15),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5090,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,지역 중소기업지원사업이 기업 생존에 미치는 영향 분석- 지역특화산업육성사업(R&D)을 중심으로 -,,2019,김상신,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5091,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제211호 (2020.1.17),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5092,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제212호 (2020.1.29),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5093,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제213호 (2020.2.4),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5094,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,소상공인 디지털 전환 지원 방안 연구,,2019,김기웅,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5095,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,"KOSBI 중소기업 동향 (주요 이슈: ‘코로나19’의 중소기업 영향, 2020년2월호)",,2020,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5096,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,상생협력형 프랜차이즈 모델 개발을 위한 정책방안 연구,,2019,정수정,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5097,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 디지털 전환을 통한 경쟁력 제고,,2019,강재원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5098,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,미세먼지 규제가 중소기업에 미치는 영향,,2019,조용현,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5099,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,의류 라벨갈이 실태조사 연구,,2019,조혜정,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5100,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,총합특구(일본) 분석을 통한 지역특화발전특구 제도 발전 방안 연구,,2019,김권식,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5101,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,온누리상품권과 지역상품권 성과분석 및 협력 운영방안 연구,,2019,백훈,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5102,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,기능상실 전통시장 구조개선 추진방안 연구,,2019,정은애,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5103,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,공정경제 구현을 위한 기술보호 법?제도 개선방안 연구,,2019,차경진,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5104,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 핵심인력 유출방지 방안에 관한 연구,,2019,권준화,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5105,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중앙부처 및 지방자치단체 일자리 정책 현황 분석 및 시사점 도출,,2019,최종민,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5106,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 근로자 복지서비스 센터 운영방안,,2019,황경진,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5107,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업의 한류 해외 마케팅 활성화 방안,,2019,최세경,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5108,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,벤처출신기업의 성과분석,,2019,김희선,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5109,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,소상공인 통계기반 구축 방안,,2019,남윤형,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5110,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,규제자유특구 세제지원 방안 연구,,2019,신상철,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5111,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,벤처기업의 차등의결권주식 제도에 관한 연구,,2019,최수정,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5112,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업型 남북경협 정책과 과제,,2019,김상훈,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5113,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업의 북방경제협력 및 진출전략 연구,,2019,이재호,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5114,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,혁신형 창업기업 육성을 위한 정책방향,,2019,이정섭,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5115,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 산학협력 인력양성사업의 성과 영향요인 분석과 정책과제,,2019,노민선,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5116,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,재도전을 위한 사회적기업 활용 방안,,2019,김선화,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5117,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,지역 중소기업과 관련한 부처별 지원정책 현황분석,,2019,홍운선,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5118,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,해외시장진출 지원체계 연구,,2019,조이현,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5119,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 육성 3개년 계획수립 연구,,2019,박재성외,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5120,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 사업승계 현황 및 제도 개선방,,2019,신상철,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5121,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,플랫폼 경제 확산에 따른 이슈 대응 및 규제개선 연구,,2019,조혜정,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5122,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,디지털 비즈니스 모델의 특징과 대응 과제 < Vol.3 No.1 2020년 1월호)>,,2020,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5123,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,중소기업 자생력 강화를 위한 기업 생태계 구축 방안 연구 -이탈리아 및 독일 중소기업 생태계 비교 중심-,,2019,이준호,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5124,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,B2B 중심의 다자간 상호신용 시스템：WIR과 Sardex를 중심으로,,2019,표한형,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5125,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,국내외 현황 분석을 통한 기업가정신 교육 정책 방향 수립에 관한 연구,,2019,김주미,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5126,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,M&A를 통한 벤처투자생태계 활성화 방안,,2019,나수미,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5127,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,국내외 VC PE 제도 비교 및 벤처투자 활성화 방안,,2019,박재성ㆍ나수미,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5128,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,미국 중소기업 법체계와 지원제도 연구,,2019,최세경,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5129,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,혁신성장 걸림돌 제거를 위한 징벌적 손해배상제도의 실효성 강화 방안,,2020,최수정,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5130,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,혁신성장을 위한 지역 중소기업 혁신생태계 조성방안,,2019,홍운선,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5131,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,코로나19 이후 경기회복에 대비한 중기정책 과제 - 중국발 경기회복을 모멘텀으로,,2020,박재성·황경진·정유탁,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5132,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,소상공인의 디지털 전환 연착륙을 위한 실행방안,,2020,김기웅,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5133,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제214호 (2020.2.17),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5134,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제215호 (2020.2.27),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5135,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제216호 (2020.3.3),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5136,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,e-NewsLetter 제217호 (2020.3.9),,2020,중소기업연구원,파일없음,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5137,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,독일-이스라엘 혁신 플랫폼 구축 방안 < Vol.3 No.2 2020년 2월호)>,,2020,중소기업연구원,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5138,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,스케일업 촉진을 위한 벤처대출 (Venture Debt) 도입 방안 ? 정책자금을 활용한 은행권과 벤처캐피탈의 협업을 중심으로,,2020,홍종수 · 나수미,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
5139,중소벤처기업연구원DB,HOME > 연구자료 > 중소벤처기업연구원 연구보고서,중소벤처기업연구원 연구보고서,KOSBI 중소기업 동향 (2020년3월호),,2020,동향분석팀,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
