[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,pdf페이지,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
33,국회전자도서관,소장자료,국회기록사진첩_vol1_033.jpg,21,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
34,국회전자도서관,소장자료,국회기록사진첩_vol1_034.jpg,21,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
35,국회전자도서관,소장자료,국회기록사진첩_vol1_035.jpg,22,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
36,국회전자도서관,소장자료,국회기록사진첩_vol1_036.jpg,23,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
37,국회전자도서관,소장자료,국회기록사진첩_vol1_037.jpg,23,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
38,국회전자도서관,소장자료,국회기록사진첩_vol1_038.jpg,24,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
39,국회전자도서관,소장자료,국회기록사진첩_vol1_039.jpg,24,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
40,국회전자도서관,소장자료,국회기록사진첩_vol1_040.jpg,25,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
41,국회전자도서관,소장자료,국회기록사진첩_vol1_041.jpg,25,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
42,국회전자도서관,소장자료,국회기록사진첩_vol1_042.jpg,26,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
43,국회전자도서관,소장자료,국회기록사진첩_vol1_043.jpg,27,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
44,국회전자도서관,소장자료,국회기록사진첩_vol1_044.jpg,28,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
45,국회전자도서관,소장자료,국회기록사진첩_vol1_045.jpg,28,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
46,국회전자도서관,소장자료,국회기록사진첩_vol1_046.jpg,29,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
47,국회전자도서관,소장자료,국회기록사진첩_vol1_047.jpg,29,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
48,국회전자도서관,소장자료,국회기록사진첩_vol1_048.jpg,30,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
49,국회전자도서관,소장자료,국회기록사진첩_vol1_049.jpg,30,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
50,국회전자도서관,소장자료,국회기록사진첩_vol1_050.jpg,30,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
51,국회전자도서관,소장자료,국회기록사진첩_vol1_051.jpg,31,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
52,국회전자도서관,소장자료,국회기록사진첩_vol1_052.jpg,31,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
53,국회전자도서관,소장자료,국회기록사진첩_vol1_053.jpg,32,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
54,국회전자도서관,소장자료,국회기록사진첩_vol1_054.jpg,32,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
55,국회전자도서관,소장자료,국회기록사진첩_vol1_055.jpg,33,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
56,국회전자도서관,소장자료,국회기록사진첩_vol1_056.jpg,33,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
57,국회전자도서관,소장자료,국회기록사진첩_vol1_057.jpg,34,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
58,국회전자도서관,소장자료,국회기록사진첩_vol1_058.jpg,34,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
59,국회전자도서관,소장자료,국회기록사진첩_vol1_059.jpg,35,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
60,국회전자도서관,소장자료,국회기록사진첩_vol1_060.jpg,35,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
61,국회전자도서관,소장자료,국회기록사진첩_vol1_061.jpg,35,1945.8-1952.8,미부착,,내부확인 필요,공공누리 2~4유형,,,O,,,O,,만료저작물 / 초상권 확인 필요,
62,국회전자도서관,소장자료,국회기록사진첩_vol1_062.jpg,36,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
63,국회전자도서관,소장자료,국회기록사진첩_vol1_063.jpg,36,1945.8-1952.8,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
