대구광역시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
2231,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 2분기 업무추진비 집행내역(창업진흥과),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2232,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(강서소방서),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2233,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(수성소방서),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2234,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 2분기 업무추진비 집행내역(회계과),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2235,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비(대구콘서트하우스),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2236,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(시설안전관리사업소),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2237,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 업무추진비 사용내역(건설본부),2021-08-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2238,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(자치행정과),2021-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2239,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 1월~6월 업무추진비 집행내역(신청사건립과),2021-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2240,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(공무원교육원),2021-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2241,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(상수도사업본부 서부사업소),2021-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2242,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(환경자원사업소),2021-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2243,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(상수도사업본부 생산수질부),2021-08-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2244,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(북부소방서),2021-08-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2245,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(동부소방서),2021-08-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2246,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비집행내역(차량등록사업소),2021-08-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2247,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2020년 업무추진비 집행내역(수목원관리사무소),2021-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2248,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 상반기 업무추진비 집행내역(수목원관리사무소),2021-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2249,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(수목원관리사무소),2021-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2250,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 상반기 업무추진비 집행내역(기계로봇과),2021-08-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2251,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(소방안전본부),2021-08-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2252,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(동부여성문화회관),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2253,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 사용내역(대구미술관),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2254,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(행정부시장),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2255,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(경제부시장),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2256,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(자치행정국장),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2257,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(총무과),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2258,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 4~7월 업무추진비 집행내역(상수도사업본부 동부사업소),2021-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2259,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 4월~6월 업무추진비공개(복지정책과),2021-08-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2260,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행 내역(서부소방서),2021-08-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2261,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(시장),2021-08-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2262,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(의료산업기반과),2021-08-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2263,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행 내역(일자리노동정책과),2021-08-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2264,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(상수도사업본부),2021-08-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2265,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(보건환경연구원),2021-08-19 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2266,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(여성회관),2021-08-19 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2267,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2020년 10월~ 2021년 6월 업무추진비 집행내역(경제산업분석담당관),2021-08-22 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2268,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(예산담당관),2021-08-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2269,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 1~6월 업무추진비 내역(국제통상과),2021-08-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2270,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(환경자원사업소),2021-08-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2271,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행 내역(종합복지회관),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2272,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(사회적경제과),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2273,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(강서소방서),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2274,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(달서소방서),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2275,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(북부소방서),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2276,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 시설관리소),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2277,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 내역 공개(대구콘서트하우스),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2278,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(달성소방서),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2279,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(달성소방서),2021-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2280,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(수성소방서),2021-09-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2281,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 생산수질부),2021-09-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2282,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 수성사업소),2021-09-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2283,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행 내역(서부소방서),2021-09-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2284,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(중부소방서),2021-09-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2285,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(수목원관리사무소),2021-09-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2286,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 서부사업소),2021-09-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2287,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(소방안전본부),2021-09-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2288,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(시설안전관리사업소),2021-09-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2289,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 사용내역(대구미술관),2021-09-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2290,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(의료산업기반과),2021-09-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2291,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 사용 내역(건설본부),2021-09-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2292,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(보건환경연구원),2021-09-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2293,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(토지정보과),2021-09-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2294,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(토지정보과),2021-09-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2295,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 달서사업소),2021-09-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2296,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(동부여성문화회관),2021-09-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2297,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(공무원교육원),2021-09-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2298,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월 업무추진비 집행내역(상수도사업본부 수질연구소),2021-09-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2299,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 수질연구소),2021-09-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2300,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(행정부시장),2021-09-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2301,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(경제부시장),2021-09-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2302,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(자치행정국장),2021-09-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2303,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(총무과),2021-09-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2304,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(여성회관),2021-09-14 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2305,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(시장),2021-09-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2306,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행 내역(일자리노동정책과),2021-09-22 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2307,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 동부사업소),2021-09-23 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2308,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부 죽곡정수사업소),2021-09-29 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2309,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(자연재난과),2021-09-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2310,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(청년정책과),2021-09-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2311,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 사용내역(대구미술관),2021-09-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2312,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(기계로봇과),2021-09-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2313,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행 내역(동부소방서),2021-09-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2314,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(달성소방서),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2315,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(강서소방서),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2316,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행 내역(종합복지회관),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2317,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 1-3분기 업무추진비 집행내역(희망복지과),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2318,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(상수도사업본부 서부사업소),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2319,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(환경자원사업소),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2320,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(회계과),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2321,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(달서소방서),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2322,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(여성회관),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2323,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(상수도사업본부 죽곡정수사업소),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2324,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(스마트시티과),2021-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2325,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행 내역(대구콘서트하우스),2021-10-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2326,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7~9월 업무추진비 내역(감사관실),2021-10-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2327,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행 내역(상수도사업본부 수성사업소),2021-10-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2328,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(중부소방서),2021-10-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2329,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(상수도사업본부 수질연구소),2021-10-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2330,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(상수도사업본부 동부사업소),2021-10-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2331,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(시설안전관리사업소),2021-10-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2332,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(상수도사업본부 시설관리소),2021-10-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2333,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(공무원교육원),2021-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2334,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 사용내역(건설본부),2021-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2335,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7월~9월 업무추진비공개(복지정책과),2021-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2336,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 7~9월 업무추진비 집행내역(소통민원과),2021-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2337,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 사용내역(예산담당관),2021-10-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2338,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(수목원관리사무소),2021-10-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2339,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(인사혁신과),2021-10-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2340,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(사회적경제과),2021-10-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2341,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(북부소방서),2021-10-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2342,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 사용내역(차량등록사업소),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2343,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(보건의료정책과),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2344,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 8월 업무추진비 집행내역(상수도사업본부),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2345,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(상수도사업본부),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2346,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(서대구역세권개발과),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2347,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(동부여성문화회관),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2348,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 3분기 업무추진비 집행내역(체육시설관리사무소),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
2349,대구광역시,HOME > 정보공개 > 행정정보공개 > 업무추진비,업무추진비,2021년 9월 업무추진비 집행내역(시장),2021-10-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
