대구광역시청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
19,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 1월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
20,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 2월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
21,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 3월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
22,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 4월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
23,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 5월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
24,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 6월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
25,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 7월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
26,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 8월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
27,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 9월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
28,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 10월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
29,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 11월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
30,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2010년 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
31,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 1월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
32,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 2월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
33,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 3월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
34,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 4월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
35,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 5월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
36,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 6월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
37,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 7월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
38,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 8월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
39,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 9월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
40,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 10월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
41,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 11월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
42,대구광역시,HOME > 정보공개 > 행정정보공개 > 정보목록 > 2014년 2월 이전 정보목록 > 2014년 2월 이전 정보목록,2014년 2월 이전 정보목록,2011년 12월 정보목록,2020-08-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
