진주시청 공공저작물 권리확인 요청 목록 (대표홈페이지),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
18,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2차 채용예정자과정 교육생 모집,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39564531&amode=view&extParam=notice&cpage=2,2024-06-14,유,4유형,,내부확인 필요,공공누리 2~4유형,,,,O,,,,타기관 작성 자료,
19,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,농산물 유통·마케팅 교육 신청 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39564434&amode=view&extParam=notice&cpage=2,2024-06-12,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
20,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,신안동 공동육아나눔터 - 레진압화 그립톡 만들기,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39564375&amode=view&extParam=notice&cpage=2,2024-06-12,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
21,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024 동남권  창업중심대학 청년 창업아이템 챌린지 경진대회  개최 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39564370&amode=view&extParam=notice&cpage=2,2024-06-11,유,4유형,,내부확인 필요,공공누리 2~4유형,,,,O,,,,타기관 작성 자료,
22,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,진주시청  후생관 식품구매업체 선정 입찰 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39564346&amode=view&extParam=notice&cpage=2,2024-06-11,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
23,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 하반기 귀농 농업창업 및 주택구입 지원사업 신청 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4050&idx=39564194&amode=view&extParam=notice&cpage=2,2024-06-10,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
24,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2025년 후계농업경영인 산업기능요원 편입대상자 신청 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4050&idx=39564193&amode=view&extParam=notice&cpage=2,2024-06-10,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
25,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 여름방학 대학생 행정인턴 사업 대상자 선정 결과 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39564184&amode=view&extParam=notice&cpage=2,2024-06-10,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
26,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,6월 8일 토요상설 소힘겨루기경기 우천으로 인한 취소 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2779&idx=39564125&amode=view&extParam=notice&cpage=2,2024-06-07,무,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
27,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년  농산물 유통·마케팅 교육 신청 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4050&idx=39564115&amode=view&extParam=notice&cpage=3,2024-06-07,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
28,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년「전국민 마음투자 지원사업」심리상담 서비스 제공기관 모집 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=4118&idx=39564032&amode=view&extParam=notice&cpage=3,2024-06-05,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
29,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,(재)경상남도사회서비스원 - 2024년 긴급돌봄 지원사업 서비스 제공기관 모집 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563787&amode=view&extParam=notice&cpage=3,2024-06-02,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
30,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,여름철 재난 안전 위험요인 집중신고제 운영,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563746&amode=view&extParam=notice&cpage=3,2024-05-31,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물,
31,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,[예약마감]전통예술회관 기획공연  [딱지왕]  공연 및 사전 예약 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563718&amode=view&extParam=notice&cpage=3,2024-05-31,유,4유형,,내부확인 필요,공공누리 2~4유형,,,,,O,,,외부이미지 포함(포스터),
32,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 재산세 부과를 위한 1세대 1주택 수 산정 제외 신청 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563707&amode=view&extParam=notice&cpage=3,2024-05-30,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
33,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 제1회 건축위원회(건축.경관 공동심의) 개최 결과 공지,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563590&amode=view&extParam=notice&cpage=3,2024-05-28,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
34,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 장애인식개선교육 실시,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563583&amode=view&extParam=notice&cpage=3,2024-05-28,무,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
35,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 미래인재센터 미래인재양성캠프/꿈나무캠프 제안서 평가위원회 평가 결과 공개,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563540&amode=view&extParam=notice&cpage=3,2024-05-27,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
36,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,진주시가족센터 군인가족  프로그램  참여자  모집,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563531&amode=view&extParam=notice&cpage=3,2024-05-27,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
37,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 청소년 대상 무료코딩교육 교육생 모집(2차),https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563355&amode=view&extParam=notice&cpage=4,2024-05-23,무,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
38,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,제2회 월아산 정원박람회 개최 홍보 및 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563287&amode=view&extParam=notice&cpage=4,2024-05-22,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
39,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,제 4기 성폭력전문상담원 양성과정 모집,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563264&amode=view&extParam=notice&cpage=4,2024-05-22,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
40,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,2024년 진주창업지원센터 입주기업 모집공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563235&amode=view&extParam=notice&cpage=4,2024-05-21,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
41,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"[2024년 ""진주형 "" 1인 창조기업 육성 지원사업] 모집 공고",https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563233&amode=view&extParam=notice&cpage=4,2024-05-21,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
42,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"[2024년 ""진주형"" 창업사관학교 육성 지원사업] 모집 공고",https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563232&amode=view&extParam=notice&cpage=4,2024-05-21,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
43,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"소비자정보 알림– 한국쓰리엠(3M) 방음용 귀덮개, 자발적 리콜 실시",https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563192&amode=view&extParam=notice&cpage=4,2024-05-21,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(보도자료),
44,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,"2024년 3분기 가호동 주민자치 프로그램 강사 모집(스포츠댄스, 라인댄스)",https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563117&amode=view&extParam=notice&cpage=4,2024-05-20,유,4유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
45,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,경상남도 2024년 대학 입학 장학생 추가 모집 안내,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563116&amode=view&extParam=notice&cpage=4,2024-05-20,유,2유형,,내부확인 필요,공공누리 2~4유형,,,,O,,,,타기관 작성 자료,
46,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,종합사회복지관(본관) 개관 및 프로그램 시간표 알림,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2275&idx=39563084&amode=view&extParam=notice&cpage=4,2024-05-17,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
47,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,진주 중앙시장 청년몰 푸드존 청년상인 모집 공고,https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563064&amode=view&extParam=notice&cpage=5,2024-05-17,유,2유형,,개방 가능,공공누리 1유형,,,O,,,,,고시·공고,
48,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,가호동 공동육아나눔터-우리 엄마손은 마술손(베이비 마사지 및 요가),https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563039&amode=view&extParam=notice&cpage=5,2024-05-17,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
49,진주시청,HOME > 시정소식 > 알림마당 > 새소식,새소식,가호동 공동육아나눔터-나는 꼬마 요리사(미니 과일빙수 만들기),https://www.jinju.go.kr/00130/02730/00136.web?gcode=2144&idx=39563037&amode=view&extParam=notice&cpage=5,2024-05-17,유,1유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
