국립대전현충원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
14,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,현충원에 갈 수 있는 교통수단은?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36809&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 18:01:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
15,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,후문은 언제 개방하나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36810&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 18:01:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
16,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,출입금지구역이 있나요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36811&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 18:01:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
17,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 이용안내,자주하는질문_이용,개방시간과 주의사항은 무엇인가요?,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36812&code=01100106&site_dvs_cd=kr&menu_dvs_cd=01100106,2014-07-30 18:02:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
18,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 전화번호,전화번호안내,직원상담 전화번호 안내,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36883&code=01100107&site_dvs_cd=kr&menu_dvs_cd=01100107,2014-08-04 13:55:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(저작물성 없음),
19,국립대전현충원,HOME > 민원안내 > 민원질의응답 > 민원길라잡이 > 용어해설,용어해설집,용어해설집,https://www.dnc.go.kr/_prog/_board/?mode=V&no=36895&code=01100108&site_dvs_cd=kr&menu_dvs_cd=01100108,2014-08-04 14:54:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
20,국립대전현충원,HOME > 미디어현충원 > E-홍보관 > 포토갤러리 > 안장행사,포토_안장행사,애국지사 지복영 안장식(2007.4. 20),https://www.dnc.go.kr/_prog/_board/?mode=V&no=29193&code=buri&site_dvs_cd=kr&menu_dvs_cd=05020102,2007-04-20 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,"단순 정보 (※ 포토갤러리 게시물이나, 사진 없음)",
21,국립대전현충원,HOME > 미디어현충원 > E-홍보관 > 포토갤러리 > 안장행사,포토_안장행사,의사자 채종민 안장식(2007. 4. 26),https://www.dnc.go.kr/_prog/_board/?mode=V&no=29194&code=buri&site_dvs_cd=kr&menu_dvs_cd=05020102,2007-04-26 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,"단순 정보 (※ 포토갤러리 게시물이나, 사진 없음)",
22,국립대전현충원,HOME > 미디어현충원 > E-홍보관 > 포토갤러리 > 안장행사,포토_안장행사,"""고"" 신현확 전 국무총리 내외분 안장식(2007. 4. 30)",https://www.dnc.go.kr/_prog/_board/?mode=V&no=29195&code=buri&site_dvs_cd=kr&menu_dvs_cd=05020102,2007-04-30 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,"단순 정보 (※ 포토갤러리 게시물이나, 사진 없음)",
23,국립대전현충원,HOME > 미디어현충원 > E-홍보관 > 포토갤러리 > 안장행사,포토_안장행사,애국지사 합동안장식(2007. 6. 27),https://www.dnc.go.kr/_prog/_board/?mode=V&no=29196&code=buri&site_dvs_cd=kr&menu_dvs_cd=05020102,2007-06-27 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,"단순 정보 (※ 포토갤러리 게시물이나, 사진 없음)",
