한국문화예술교육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
21,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,충북연구원 정보자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011348,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
22,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,청주성모병원도서실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011347,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
23,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,정보통신정책연구원정보자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011346,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
24,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,정보통신산업진흥원 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011345,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
25,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,의학연구정보센터 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011344,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
26,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,식품의약품 안전청정보자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011343,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
27,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,국립청주박물관 정보도서실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011342,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
28,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,국립의과학지식센터,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011341,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
29,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,국가기술표준원 도서관 (구)기술표준원 기술도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011340,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
30,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,한국생산기술연구원 자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011339,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
31,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,한국국토정보공사 국토정보교육원 도서관,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011338,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
32,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,충청남도교육청연구정보원 문헌정보자료실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011337,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
33,문화예술교육 자원지도,HOME > 문화예술교육 공간,도서관,독립기념관 도서실,https://arc.arte.or.kr/ap2/d/ap2d0102.do?searchGroupCode=WGC_0000000005&searchCode=WPC_0000011336,2023,무,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
