[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
462,국회기록보존소,국회연표,콜롬비아 외무의원 일행 입국 및 의장예방 사진,,1975.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
463,국회기록보존소,국회연표,콜롬비아 외무의원 일행 입국 및 의장예방 사진,,1975.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
464,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
465,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
466,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
467,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
468,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
469,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
470,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
471,국회기록보존소,국회연표,제92회 임시회 개회식 사진,,1975.05.17,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
472,국회기록보존소,국회연표,제93회 안보국회 결의안 사진,,1975.05.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
473,국회기록보존소,국회연표,제94회 안보국회 결의안 사진,,1975.05.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
474,국회기록보존소,국회연표,제92회 안보국회 결의안 사진,,1975.05.20,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
475,국회기록보존소,국회연표,코스타리카 국회의장 정의장 예방 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
476,국회기록보존소,국회연표,코스타리카 국회의장 정의장 예방 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
477,국회기록보존소,국회연표,코스타리카 국회의장 정의장 예방 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
478,국회기록보존소,국회연표,코스타리카 국회의장 입국 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
479,국회기록보존소,국회연표,코스타리카 국회의장 입국 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
480,국회기록보존소,국회연표,코스타리카 국회의장 정의장 예방 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
481,국회기록보존소,국회연표,코스타리카 국회의장 입국 사진,,1975.05.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
482,국회기록보존소,국회연표,아르헨티나 상원의원 일행 입국 사진,,1975.06.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
483,국회기록보존소,국회연표,아르헨티나 상원의원 일행 입국 사진,,1975.06.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
484,국회기록보존소,국회연표,아르헨티나 상원의원 일행 입국 사진,,1975.06.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
485,국회기록보존소,국회연표,아르헨티나 상원의원 일행 의장 예방 사진,,1975.06.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
486,국회기록보존소,국회연표,아르헨티나 상원의원 일행 입국 사진,,1975.06.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
487,국회기록보존소,국회연표,제93회 임시회 개회식 사진,,1975.06.28,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
488,국회기록보존소,국회연표,제93회 임시회 개회식 사진,,1975.06.28,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
489,국회기록보존소,국회연표,봉고 가봉 대통령 김포도착 사진,,1975.07.05,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
490,국회기록보존소,국회연표,봉고 가봉 대통령 김포도착 사진,,1975.07.05,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
491,국회기록보존소,국회연표,봉고 가봉 대통령 김포도착 사진,,1975.07.05,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
492,국회기록보존소,국회연표,봉고 가봉 대통령 김포도착 사진,,1975.07.05,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
493,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
494,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
495,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
496,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
497,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
498,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
499,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
500,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
501,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
502,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
503,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
504,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
505,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
506,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
507,국회기록보존소,국회연표,의사당준공식 사진,,1975.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
508,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
509,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
510,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
511,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
512,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
513,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
514,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
515,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
516,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
517,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
518,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
519,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
520,국회기록보존소,국회연표,제94회 정기회 개회식 사진,,1975.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
521,국회기록보존소,국회연표,김옥선의원 사퇴서 제출 사진,,1975.10.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
522,국회기록보존소,국회연표,John M. Murphy 미국 하원의원 의장예방 사진,,1975.10.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
523,국회기록보존소,국회연표,John M. Murphy 미국 하원의원 의장예방 사진,,1975.10.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
524,국회기록보존소,국회연표,John M. Murphy 미국 하원의원 의장예방 사진,,1975.10.23,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
525,국회기록보존소,국회연표,본회의 76년도 예산안 통과 사진,,1975.12.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
526,국회기록보존소,국회연표,본회의 76년도 예산안 통과 사진,,1975.12.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
527,국회기록보존소,국회연표,본회의 76년도 예산안 통과 사진,,1975.12.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
528,국회기록보존소,국회연표,본회의 76년도 예산안 통과 사진,,1975.12.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
529,국회기록보존소,국회연표,본회의 76년도 예산안 통과 사진,,1975.12.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
530,국회기록보존소,국회연표,본회의 76년도 예산안 통과 사진,,1975.12.02,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
531,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
532,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
533,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
534,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
535,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
536,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
537,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
538,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
539,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
540,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
541,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
542,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
543,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
544,국회기록보존소,국회연표,로버트 멀둔 뉴질랜드 수상 국회방문 사진,,1976.04.18,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
545,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
546,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
547,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
548,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
549,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
550,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
551,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
552,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
553,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
554,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
555,국회기록보존소,국회연표,에릭 매튜 게이리 그레나다 수상 방한 사진,,1976.04.28,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
556,국회기록보존소,국회연표,레소토 왕국 조나탄수상 의장예방 및 국회참관 사진,,1976.05.27,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
557,국회기록보존소,국회연표,레소토 왕국 조나탄수상 의장예방 및 국회참관 사진,,1976.05.27,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
558,국회기록보존소,국회연표,콜롬비아 부의장 국회참관 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
559,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
560,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
561,국회기록보존소,국회연표,콜롬비아 부의장 일행을 위한 만찬(구태회 부의장) 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
562,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
563,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
564,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
565,국회기록보존소,국회연표,콜롬비아 부의장 일행을 위한 만찬(구태회 부의장) 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
566,국회기록보존소,국회연표,콜롬비아 부의장 일행을 위한 만찬(구태회 부의장) 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
567,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
568,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
569,국회기록보존소,국회연표,콜롬비아 부의장 국회참관 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
570,국회기록보존소,국회연표,콜롬비아 부의장 국회참관 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
571,국회기록보존소,국회연표,콜롬비아 부의장 일행 정의장 예방 사진,,1976.06.08,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
572,국회기록보존소,국회연표,터키상원의장 일행을 위한 국회의장 주최 만찬 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
573,국회기록보존소,국회연표,터키상원의장 일행을 위한 국회의장 주최 만찬 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
574,국회기록보존소,국회연표,터키상원의장 일행 본회의장 시찰 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
575,국회기록보존소,국회연표,터키상원의장 일행 본회의장 시찰 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
576,국회기록보존소,국회연표,터키상원의장 일행 본회의장 시찰 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
577,국회기록보존소,국회연표,터키상원의장 일행 본회의장 시찰 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
578,국회기록보존소,국회연표,터키상원의장 일행 의장예방 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
579,국회기록보존소,국회연표,터키상원의장 일행 의장예방 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
580,국회기록보존소,국회연표,터키상원의장 일행 의장예방 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
581,국회기록보존소,국회연표,터키상원의장 일행 의장예방 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
582,국회기록보존소,국회연표,터키상원의장 일행 의장예방 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
583,국회기록보존소,국회연표,터키상원의장 일행 의장예방 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
584,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
585,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
586,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
587,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
588,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
589,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
590,국회기록보존소,국회연표,터키 상원의장 일행 입국 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
591,국회기록보존소,국회연표,터키상원의장 일행을 위한 국회의장 주최 만찬 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
592,국회기록보존소,국회연표,터키상원의장 일행을 위한 국회의장 주최 만찬 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
593,국회기록보존소,국회연표,터키상원의장 일행을 위한 국회의장 주최 만찬 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
594,국회기록보존소,국회연표,터키상원의장 일행을 위한 국회의장 주최 만찬 사진,,1976.07.04,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
595,국회기록보존소,국회연표,가봉공화국 국회의장 일행 입국 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
596,국회기록보존소,국회연표,가봉공화국 국회의장 일행 입국 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
597,국회기록보존소,국회연표,가봉의장 일행 이한 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
598,국회기록보존소,국회연표,가봉의장 일행 이한 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
599,국회기록보존소,국회연표,가봉의장 일행 이한 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
600,국회기록보존소,국회연표,가봉의장 일행 이한 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
601,국회기록보존소,국회연표,가봉공화국 국회의장 일행 본회의장 참관 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
602,국회기록보존소,국회연표,가봉공화국 국회의장 일행 본회의장 참관 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
603,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
604,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
605,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
606,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
607,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
608,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
609,국회기록보존소,국회연표,가봉공화국 국회의장 일행 의장예방 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
610,국회기록보존소,국회연표,가봉공화국 국회의장 일행 입국 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
611,국회기록보존소,국회연표,가봉공화국 국회의장 일행 입국 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
612,국회기록보존소,국회연표,가봉공화국 국회의장 일행 입국 사진,,1976.07.11,미부착,,내부확인 필요,공공누리 2~4유형,,,,,,O,,국빈 방문 촬영 사진,국회사무처
