[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판명,게시물 제목,URL,발행년,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,생산기관
34,국회기록보존소,국회연표,제헌국회의원 김효석 사진,,1949.01.05,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
35,국회기록보존소,국회연표,제헌국회의원 김상덕 사진,,1949.01.08,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
36,국회기록보존소,국회연표,제헌국회의원 허영호 사진,,1949.01.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
37,국회기록보존소,국회연표,제헌국회의원 임영신 사진,,1949.01.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
38,국회기록보존소,국회연표,제헌국회의원 강선명 사진,,1949.01.13,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
39,국회기록보존소,국회연표,제헌국회의원 나용균 사진,,1949.01.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
40,국회기록보존소,국회연표,제헌국회의원 홍성하 사진,,1949.01.15,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
41,국회기록보존소,국회연표,제헌국회의원 김영동 사진,,1949.01.18,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
42,국회기록보존소,국회연표,제헌국회의원 최창섭 사진,,1949.03.30,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
43,국회기록보존소,국회연표,제헌국회의원 이인 사진,,1949.03.30,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
44,국회기록보존소,국회연표,제헌국회의원 김영기 사진,,1949.06.26,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
45,국회기록보존소,국회연표,영결식 거행 당일 운구행렬 광경 사진,,1949.07.05,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
46,국회기록보존소,국회연표,제헌국회의원 이상돈 사진,,1949.07.23,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
47,국회기록보존소,국회연표,반민특위 조사부 기념촬영 사진,,1949.09.22,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
48,국회기록보존소,국회연표,제헌국회의원 홍성하 사진,,1949.10.30,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
49,국회기록보존소,국회연표,제헌국회의원 권태희 사진,,1949.12.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
50,국회기록보존소,국회연표,제헌국회의원 이인 사진,,1949.12.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
51,국회기록보존소,국회연표,제헌국회의원 정해준 사진,,1949.12.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
52,국회기록보존소,국회연표,제헌국회의원 나용균 사진,,1949.12.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
53,국회기록보존소,국회연표,제헌국회의원 이종린 사진,,1949.12.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
54,국회기록보존소,국회연표,제헌국회의원 서상일 사진,,1949.12.21,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
55,국회기록보존소,국회연표,제헌국회의사당(구 중앙청) 사진,,1950.01.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
56,국회기록보존소,국회연표,제헌국회의원 서정희 사진,,1950.01.18,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
57,국회기록보존소,국회연표,제2대 국회전반기 의장단 사진,,1950.06.19,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
58,국회기록보존소,국회연표,지청천 의원 사진,,1950.07.30,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
59,국회기록보존소,국회연표,임시의사당으로 사용했던 부산 문화극장 사진,,1950.09.01,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,국회사무처
