한국보육진흥원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
18,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2020년 한국보육진흥원 인권영향평가 결과,,2021-01-08 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
19,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2020년 코로나19 대응을 위한 근로취약계층 인권현황 조사결과,,2021-01-08 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
20,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2020년 상반기 청렴 메시지,,2020-06-17 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
21,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2020년 상반기 갑질 발생 자가진단 점검 결과,,2020-06-17 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
22,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2019년 기관운영 인권영향평가 결과,,2020-01-02 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
23,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,한국보육진흥원 청렴 서한문,,2019-12-26 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
24,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2019년 2차 윤리경영위원회 개최 결과 안내,,2019-11-13 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
25,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2019년 1차 윤리경영위원회 개최 결과 안내,,2019-11-12 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
26,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2019년 하반기 윤리경영 실천주간 운영 결과 안내,,2019-11-12 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
27,한국보육진흥원,HOME > 열린경영 > 윤리ㆍ인권경영 > 윤리ㆍ인권경영 활동,윤리ㆍ인권경영 활동,2019년 부패방지 교육 실시 안내,,2019-11-12 00:00:00,유,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
