한국지역정보개발원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
70,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"정부, 지자체 전자정부 중복 투자 막는다",,2010-05-05 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
71,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,각국 3만명 방문 전자정부시스템 체험,,2010-05-05 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
72,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,전자정부법 시행령 개정안 시행,,2010-05-05 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
73,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"연천군, 일본 지방자치정보센터 관계자 연천군 방문",,2010-05-25 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
74,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"강중협 ""올 전자정부 수출 1억달러 달성""",,2010-06-15 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
75,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"한국전자정부포럼, 세계 석학 초청 국제회의 개최",,2010-06-29 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
76,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2010 지역발전 국제컨퍼런스 개최(지역발전위원회),,2010-07-01 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
77,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"‘사이버안전협의회’, 7.7 ddos 대란 1년 맞아 본격 가동!!",,2010-07-21 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
78,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"해남 동해김치마을, 정보화마을 평가 '최우수'",,2010-07-21 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
79,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,8월 인빌(정보화마을) 체험 안내,,2010-07-28 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
80,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국 -불가리아 정보화협력 MOU,,2010-09-27 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
81,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,스마트폰으로 '공공아이핀' 이용 한다.,,2010-10-11 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
82,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,전국 게임업소 현황 한눈에 보는 통합관리 시스템 구축,,2010-10-11 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
83,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,통합 창원시 출범 앞두고 정보시스템 통합 '착착',,2010-06-15 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
84,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,pfid/usn 인천 국제 컨퍼런스 참가안내,,2010-06-15 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
85,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"부산시, 'ea구축사업’시험가동 후 내년 본격 활용",,2010-07-21 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
86,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,남해군 지역정보화 조례·개정·공포,,2010-09-27 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
87,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,대구 동구 「제9회 전국평생학습축제」개최,,2010-10-04 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
88,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2011년도 제18회 태백산 눈축제 개최,,2010-10-28 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
89,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,서울특별시송파구 지방계약직 공무원 채용계획 공고,,2011-02-08 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
90,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국지역정보개발원장 초빙 공고,,2011-06-17 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
91,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국지역정보개발원 정창섭 제3대 원장 취임,,2011-08-01 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
92,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국지역정보개발원 페이스북 페이지 오픈,,2011-09-16 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
93,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국지역정보개발원 제10회 정보화실무협의회 개최,,2011-09-16 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
94,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국지역정보개발원 제21회 정기이사회 개최,,2011-09-16 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
95,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,시도시군구 공통기반협의회(21차) 개최,,2011-09-23 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
96,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,하반기 전산장비 담당자 기술동향 강연회(2차),,2011-09-27 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
97,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,우수정보시스템 표준화사업 설명회 개최,,2011-10-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
98,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,경주시 지역정보화 기본계획 중간보고회 개최,,2011-10-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
99,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,세외수입고도화 확산·보급 강원도지역 대상기관 설명회,,2011-10-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
100,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,일본 지방자치정보화추진페어 2011 참가,,2011-10-31 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
101,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,2011년 지역정보화 실무네트워크 개최,,2011-10-31 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
