한국지역정보개발원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
24,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,한국정보사회문화진흥원 출범,,2009-05-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
25,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,공공기관용 CC인증 범위 대폭 축소,,2009-06-09 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
26,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,성남시 '복식부기회계 자산 관리' 실무담당자 교육,,2008-07-09 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
27,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,부산시 '무인민원 발급 활성화 토론회' 개최,,2008-07-11 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
28,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,서울 강남구 스페인 바스크와 MOU체결,,2008-07-15 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
29,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"시스코, 송도U시티 대규모 투자",,2009-04-27 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
30,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"행안부­-지경부, 우편관리 연동 합의",,2009-06-09 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
31,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,시·도 사이버침해대응지원센터 가동,,2009-06-09 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
32,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,공공기관 주민번호 DB 모두 암호화,,2009-07-16 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
33,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"ICT분야, 기관장 협의체 구성",,2009-09-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
34,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"개발원, 정보화 역량 진단 평가 시행",,2009-09-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
35,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,전자정부 베트남 진출 가시화,,2009-09-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
36,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,사이버테러전 대비 진용 갖춘다,,2009-09-14 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
37,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,개인정보관리책임관 워크샵 개최,,2009-10-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
38,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,"서울시, “150억 투입해 ‘u-Security2010’ 추진”",,2009-06-22 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
39,한국지역정보개발원,HOME > 알림마당 > 공지사항,공지사항,충남 SNC보급 확산될 듯­..충남도 정보화 연찬회,,2009-06-22 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,외부 사이트 단순 링크,
