철도산업정보센터 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
1014,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사 준공.,,1958-12-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1015,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축 준공,,1958-12-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1016,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1958-12-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1017,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사 준공,,1958-12-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1018,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사복구준공,,1958-12-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1019,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1958-12-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1020,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1958-12-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1021,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축,,1958-12-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1022,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1959-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1023,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1959-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1024,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1959-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1025,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1959-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1026,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축준공,,1959-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1027,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역명변경(은성→가은),,1959-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1028,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"은성역, 가은역으로 개칭. ",,1959-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1029,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1959-03-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1030,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1959-04-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1031,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시(여객취급 한),,1959-06-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1032,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1959-06-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1033,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,운전간이역으로 영업개시,,1959-07-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1034,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1959-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1035,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업재개,,1959-07-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1036,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,을종승차권대매소로 지정,,1959-07-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1037,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사 준공.,,1959-08-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1038,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1959-08-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1039,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1959-08-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1040,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1959-09-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1041,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축.,,1959-11-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1042,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1959-12-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1043,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,구내확장,,1959-12-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1044,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,일반차급화물 취급개시,,1960-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1045,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 승격,,1960-01-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1046,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1960-02-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1047,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,동해북부선 북평~경포대간 착공.,,1960-02-07 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1048,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1960-02-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1049,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 신축 착공,,1960-03-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1050,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축 착공,,1960-03-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1051,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시(내구역),,1960-03-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1052,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업재개(간치역관리),,1960-03-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1053,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,서강~신촌(1.6km)간 선로 철거,,1960-04-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1054,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사준공,,1960-05-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1055,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 승격,,1960-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1056,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시(이원역관리),,1960-05-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1057,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 승격,,1960-05-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1058,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1960-06-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1059,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 신축 착공,,1960-06-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1060,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사준공.,,1960-06-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1061,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1960-07-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1062,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 격하,,1960-07-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1063,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,을종승차권대매소로 지정,,1960-08-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1064,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1960-08-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1065,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1960-08-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1066,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사 준공,,1960-09-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1067,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사 준공.,,1960-10-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1068,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,사무관역으로 승격,,1960-10-21 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1069,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사준공.,,1960-10-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1070,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,운전간이역으로 승격,,1960-12-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1071,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1960-12-23 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1072,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1960-12-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1073,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,능곡-가능 구간 개통,,1961-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1074,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시(통제부역),,1961-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1075,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 신축 착공,,1961-03-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1076,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,용원역 개역.,,1961-04-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1077,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,여객 취급 중지.,,1961-05-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1078,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 영업개시,,1961-05-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1079,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1961-05-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1080,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,신호소로 개역,,1961-05-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1081,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"북평-옥계간 개통으로 소화물, 여객취급 중지",,1961-05-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1082,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1961-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1083,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1961-05-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1084,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축,,1961-06-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1085,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업중지,,1961-06-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1086,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업중지,,1961-06-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1087,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업중지,,1961-06-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1088,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업중지,,1961-06-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1089,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1961-07-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1090,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1961-07-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1091,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1961-07-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1092,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 격하,,1961-07-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1093,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 승격,,1961-07-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1094,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 격하,,1961-08-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1095,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,황지지선 백산~황지간 착공.,,1961-08-08 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1096,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,구역사 준공,,1961-10-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1097,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,해병대 전용선 부설,,1961-11-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1098,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사증축,,1961-11-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1099,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재역사 준공,,1961-11-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1100,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,5급역으로 승격,,1961-11-16 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1101,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"자동식교환기(DDD방식) 개통 (서울, 대전, 부산, 순천, 묵호, 안동 6개 전국지방철도국소재지)",,1961-12-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1102,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사신축.,,1961-12-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1103,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,중앙선과의 연결을 위해 복구 공사 진행. 영주~김천 전구간 개통,,1962-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1104,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,서기관역으로 승격,,1962-01-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1105,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,화재로 역사 소실,,1962-02-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1106,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,정선선 예미~정선간 착공.,,1962-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1107,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,정선선 예미~정선간 착공.,,1962-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1108,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,정선선 예미~정선간 착공.,,1962-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1109,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격.,,1962-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1110,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,고한선 증산~고한간 착공.,,1962-05-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1111,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축 착공,,1962-08-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1112,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1962-08-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1113,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 신축 착공,,1962-09-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1114,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,미군기지창 전용선 부설,,1962-09-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1115,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축,,1962-10-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1116,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,묵호~경포대간 44.6km 완공. (당시 명칭 동해북부선),,1962-10-31 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1117,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축 준공,,1962-11-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1118,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,북평~경포대간 50.3km 완공.,,1962-11-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1119,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1962-11-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1120,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1962-11-06 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1121,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 신축착공,,1962-11-09 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1122,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사준공.,,1962-11-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1123,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사 준공.,,1962-11-13 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1124,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1962-11-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1125,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사신축.,,1962-11-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1126,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,황지지선 백산~황지간 9.0km 완공.,,1962-12-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1127,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1962-12-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1128,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,황지역으로 영업개시,,1962-12-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1129,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 준공,,1962-12-18 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1130,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역을 현재의 위치로 이전하면서 역사준공. 화물취급 중지,,1962-12-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1131,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사 준공,,1962-12-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1132,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,가능-의정부 구간 개통,,1963-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1133,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사신축 착공,,1963-03-02 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1134,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역명변경(연촌→성북),,1963-03-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1135,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,연촌역을 성북역으로 개칭,,1963-03-05 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1136,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 영업개시,,1963-05-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1137,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,현재의 역사준공,,1963-05-10 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1138,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"철암선, 영암선, 동해북부선 구간을 통합하여 영동선으로 명명",,1963-05-17 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1139,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역 폐지,,1963-05-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1140,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,통리~심포리간 인클라인 철거,,1963-05-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1141,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,신호장으로 변경,,1963-05-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1142,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,"영암선(영주~철암), 철암선(철암~북평), 동해북부선(북평~경포대)를 통합하여 영동선으로 개명, 북평~묵호항 간은 지선으로 전환",,1963-05-27 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1143,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,통리~심포리간 황지본선구간 완공. 강삭철도(인클라인) 구간 폐지,,1963-05-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1144,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,4급역으로 승격,,1963-05-30 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1145,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 격하,,1963-06-13 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1146,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,망우 - 성북 구간 착공,,1963-08-19 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1147,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,폐역,,1963-08-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1148,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,운전간이역으로 격하,,1963-08-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1149,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,서울교외선 능의선(능곡～의정부) 개통,,1963-08-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1150,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,교통부로부터 외청인 철도청으로 독립,,1963-09-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
1151,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 승격,,1963-10-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
