철도산업정보센터 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
26,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,군포장역으로 영업개시,,1905-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
27,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1905-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
28,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시.,,1905-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
29,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1905-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
30,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,무배치간이역으로 영업개시,,1905-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
31,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1905-01-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
32,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역명변경(경성→남대문),,1905-03-24 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
33,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,삼랑진-마산간 준공으로 영업개시.,,1905-05-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
34,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시(요람집에는 1907411일로 기재),,1905-05-13 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
35,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,삼랑진-마산 개통,,1905-05-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
36,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,삼랑진-마산간 단선철도 개통,,1905-05-26 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
37,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,개통식 (서대문),,1905-05-28 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
38,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,청천강·대령강 철교가 준공되면서 전구간이 개통,,1906-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
39,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1906-01-20 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
40,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1906-04-03 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
41,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1906-04-04 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
42,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,일반운수 업무개시 및 보통역으로 승격,,1906-05-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
43,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,배치간이역으로 승격,,1906-07-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
44,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1906-08-15 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
45,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 승격,,1906-08-25 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
46,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,역사준공,,1906-11-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
47,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시(요람집에는 동121일로 기재),,1906-12-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
48,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,신의주 - 부산 사이(경부철도·경의철도)에 한국 최초의 급행열차인 융희호(隆熙號)가 운행되기 시작,,1908-00-00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
49,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,보통역으로 영업개시,,1908-04-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
50,철도산업정보센터,HOME > 철도역사관 > 철도통합연표,철도통합연표,영업개시,,1908-04-01 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
