국립해양문화재연구소 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
25,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제4회 한·중 수중고고학 국제학술대회 개최,,2015.10.27,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
26,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제3·4전시실 임시휴실 안내,,2015.11.02,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
27,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 설 연휴기간(2.6~2.10) 무휴 관람 공지,,2016.02.03,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
28,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,『해양문화재』 게재 논문 모집 사전 공지,,2016.03.09,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
29,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,주니어 도슨트「도전! 마린해설사」 2기 모집,,2016.03.10,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
30,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,『해양문화재』제9호 논문 모집 공고,,2016.03.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
31,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제25기 해양문화 아카데미 수강생 모집,,2016.04.05,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
32,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,청소년 진로체험<상반기 자유학기 꿈틀꿈틀 마린스쿨> 모집,,2016.04.05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
33,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,해양문화재 제9호 원고 모집 관련 규정 개정 사항 및 규정 번역본 알림,,2016.04.14,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
34,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2016 해양문화유산조사 방법론 세미나 개최,,2016.05.25,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
35,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,신안선 발굴 40주년 기념 ‘수중문화재 발굴현장 공개’,,2016.06.16,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
36,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2016년 청소년 진로체험 <하이틴 마린스쿨> 모집,,2016.06.27,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
37,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,고객만족도조사 관련 개인정보 제3자 제공사항 공고,,2016.11.02,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
38,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,"2017년 설명절 ""해양문화재와 함께하는 민속놀이 체험""행사 개최 안내",,2017.01.23,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
39,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,"『다도해의 모항, 목포 희만만들기 인문담론 사업』목포 인문 아카데미 수강생 모집",,2017.03.06,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
40,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2017년 제8회 전국해양문화학자대회 참가 접수 안내,,2017.04.03,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
41,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,『해양문화재』 제10호 투고 재안내문,,2017.04.12,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
42,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,해양문화재 제10호 투고 방법 변경 공지,,2017.06.07,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
43,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 제7기 자원봉사자 모집,,2017.07.05,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
44,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 소식지 seamuse 창간,,2017.07.30,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 간행물,
45,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2017년 문화재 재난대응 안전한국훈련 안내,,2017.10.18,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
46,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2017년 소속책임운영기관 고객만족도 통합조사 실시 공고,,2017.11.16,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
47,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,『해양문화재』제11호 논문 모집 공고,,2018.01.05,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
48,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 소식지 2호 발간,,2018.01.11,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 간행물,
49,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제8기 해양유물전시관 자원봉사자 모집(연장),,2018.02.23,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
50,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2019~2020년도 국립해양문화재연구소 연구(사업)과제 수요조사 안내문,,2018.06.28,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
51,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,『해양문화재』 제11호 원고 접수 연기 공고,,2018.08.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
52,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 소식지 3호 발간,,2018.08.23,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 간행물,
53,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2018 해양실크로드 무형유산 국제학술대회 개최,,2018.08.30,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
54,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,2018년 책임운영기관 고객만족도 통합조사 실시 공고,,2018.10.17,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
55,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제1전시실(고려선실) 임시 폐관 안내,,2018.10.26,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
56,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 현안과제 국민 평가위원 모집공고,,2018.12.10,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,공고,
57,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 현안과제 국민평가위원 선정 결과발표,,2018.12.19,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
58,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,KCI 등재후보지『해양문화재』 제12호 게재 논문 모집,,2018.12.21,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
59,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,국립해양문화재연구소 소식지 4호 발간,,2019.02.21,첨부파일,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,기관 간행물,
60,국립해양문화재연구소,HOME > 소식·참여 > 공지사항,공지사항,제1차 조선통신사선을 타고 역사 문화유적지 탐방 참가자 모집,,2019.05.20,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
