국립해양문화재연구소 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
245,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,제3기 전통매듭공예교실 운영(2007-10-09),,2007.10.09,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
246,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,고려청자 운반의 비밀을 품은 고려 목간 발견!(2007-10-11),,2007.10.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
247,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,관람객에게 내미는 친절한 손(2007-10-19),,2007.10.19,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
248,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"태안 바다 속, 고려청자 천년의 이야기(2007-10-19)",,2007.10.19,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
249,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해남 명량대첩제 이동박물관 운영(2007-10-25),,2007.10.25,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
250,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,신안선 속의 ‘금속공예’를 다시 본다(2007-11-12),,2007.11.12,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
251,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"700년의 긴 잠, 31년의 기다림(2007-11-15)",,2007.11.15,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
252,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"『군산 야미도, 보령 원산도』수중발굴조사보고서 발간(2008-01-23)",,2008.01.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
253,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"‘立春大吉’, 입춘절 민속행사(2008-01-31)",,2008.01.31,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
254,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,설날 떡 썰어 보셨나요?(2008-02-01),,2008.02.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
255,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,바다의 안전과 새해의 평안“豊漁祭”개최(2008-02-05),,2008.02.05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
256,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"빛과 바다의 나라, 중국이 찾아오다.(2008-02-27)",,2008.02.27,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
257,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,'제2회 섬으로 가는 이동박물관' 운영(2008-03-17),,2008.03.17,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
258,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,제17기 바다문화학교 개강(2008-03-18),,2008.03.18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
259,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,문화재의 비밀 단서를 찾아라!(2008-03-25),,2008.03.25,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
260,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,영상으로 보는 해양문화유산(2008-04-11),,2008.04.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
261,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,성웅이순신축제 이동박물관 운영(2008-04-21),,2008.04.21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
262,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『해양문화재』창간호 원고 모집(2008-04-21),,2008.04.21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
263,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,충남 태안 대섬 앞바다 2차 발굴조사 실시(2008-04-22),,2008.04.22,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
264,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,국립고궁박물관 · 국립해양유물전시관 무료관람 실시(2008-04-29),,2008.04.29,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
265,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,국립해양유물전시관과 함께 하는 “전통과학과 마술의 만남”(2008-05-01),,2008.05.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
266,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,‘섬에서 보는 해양문화 다큐멘터리’(2008-05-08),,2008.05.08,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
267,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,정오의 뱃고동이 울리는 박물관(2008-05-28),,2008.05.28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
268,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,찾아가서 즐기는 해양역사교육(2008-06-02),,2008.06.02,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
269,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,단오부채(端午扇)와 함께 시원한 여름 보내세요(2008-06-03),,2008.06.03,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
270,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,고려청자 보물선의 신비와 감동! (속보전)(2008-06-18),,2008.06.18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
271,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,섬으로 가는 이동박물관(2008-06-19),,2008.06.19,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
272,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"전통 배 복원, 돛을 올리다!(2008-07-18)",,2008.07.18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
273,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,돛을 올려라！ 꿈의 항해 “이동박물관”(2008-07-23),,2008.07.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
274,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양유물의 寶庫 태안 마도 앞바다 수중발굴 결과공개(2008-07-25),,2008.07.25,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
275,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"신나는 여름방학, 즐거운 해양문화체험(2008-07-31)",,2008.07.31,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
276,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,중세 서·남해안 고선박 모형 공개(2008-08-20),,2008.08.20,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
277,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,한가위 연휴 민속놀이 한마당(2008-09-11),,2008.09.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
278,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,전통 배 진수식(2008-10-27),,2008.10.27,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
279,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,근대 한선(韓船)과 조선(造船) 도구!(2008-11-07),,2008.11.07,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
280,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,“동아시아 전통선박과 조선기술”(2008-11-12),,2008.11.12,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
281,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,꼬마 수중고고학자의 신나는 바다여행(2008-12-12),,2008.12.12,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
282,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『해양문화재』창간호 발간(2008-12-23),,2008.12.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
283,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립고궁박물관, 국립해양유물전시관 무료관람 연장 실시(2008-12-31)",,2008.12.31,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
284,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『해양문화재』제2호 원고 모집(2009-02-06),,2009.02.06,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
285,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,제18기 바다문화학교 프로그램 운영(2009-03-18),,2009.03.18,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
286,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,청자보물선‘온누비호’복원(2009-03-26),,2009.03.26,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
287,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『우이도』보고서 발간(2009-03-31),,2009.03.31,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
288,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화의 보고 『우이도』 영상다큐멘터리 시사회 개최(2009-04-20),,2009.04.20,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
289,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립해양유물전시관,「국립해양문화재연구소」로 새롭게 출범(2009-04-28)",,2009.04.28,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
290,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,아는만큼 보인다! 재미있는 해양역사이야기“이동박물관”(2009-04-29),,2009.04.29,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
291,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,난파선들의 무덤 태안 마도 앞바다(2009-04-30),,2009.04.30,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
292,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,한-중(韓-中) 해양유산 공동연구 및 교류 의향서 교환(2009-05-11),,2009.05.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
293,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"돛을 올려라, 꿈의 항해“이동박물관”(2009-06-03)",,2009.06.03,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
294,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,군산 야미도 새만금사업지구내 수중발굴로 고려청자 대량 인양(2009-06-04),,2009.06.04,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
295,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『우이도』해양문화 영상다큐멘터리 현지 시사회 개최(2009-06-23),,2009.06.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
296,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,수중문화재의 보고! 태안 마도(2009-07-02),,2009.07.02,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
297,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,新 자산어보를 찾아서(2009-07-06),,2009.07.06,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
298,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,고려청자 운반선 다시 태어나다(2009-07-08),,2009.07.08,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
299,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"고려청자보물선, 2009년‘서울(京)’에 가다.(2009-07-23)",,2009.07.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
300,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"돛을 올려라, 꿈의 항해“이동박물관”(2009-07-29)",,2009.07.29,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
301,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,생활공예의 멋을 느껴보세요!(2009-09-21),,2009.09.21,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
302,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『고대 동아시아의 바닷길』국제학술대회 개최(2009-10-05),,2009.10.05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
303,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립해양문화재연구소, 신나는 바다역사 체험교실 운영(2009-10-09)",,2009.10.09,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
304,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"태안 마도, 800년 전의 타임캡슐 고려 죽간(竹簡) 최초 발굴!(2009-11-04)",,2009.11.04,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
305,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"해양문화재연구소, ‘고려! 뱃길로 세금을 걷다’ 특별전 개최(2009-11-12)",,2009.11.12,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
306,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,복을 나눠드립니다!(2010-02-01),,2010.02.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
307,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"태안 해저 유물, 서울대학교 박물관에서 순회전시 개최(2010-03-17)",,2010.03.17,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
308,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,제19기 바다문화학교 프로그램 운영(2010-03-22),,2010.03.22,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
309,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화 조사보고서『안마도』발간(2010-04-01),,2010.04.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
310,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,강진“옹기운반선”다시 바다로!(2010-04-26),,2010.04.26,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
311,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화재와 함께하는 마술같은 하루(2010-04-30),,2010.04.30,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
312,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립해양문화재연구소, 찾아가는 이동박물관 운영(2010-06-10)",,2010.06.10,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
313,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,섬에서 보는 해양문화 다큐멘터리 「안마도」(2010-06-11),,2010.06.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
314,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"고려 청자 유물, 경기도자박물관에서 공동 개최(2010-06-16)",,2010.06.16,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
315,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,복원된 강진 옹기운반선 진수식 열린다(2010-06-23),,2010.06.23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
316,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,바다를 찾아 떠나는 신나는 여름방학(2010-07-15),,2010.07.15,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
317,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,최상급 고려 청자매병“꿀단지”로도 쓰였다(2010-08-04),,2010.08.04,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
318,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,“조선시대 그림 속의 옛 배”특별전 개최(2010-08-11),,2010.08.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
319,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"옹기 가득 싣고, 옛 뱃길 오백리를 가다(2010-09-01)",,2010.09.01,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
320,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,아시아 최초‘수중발굴 전용 인양선’배 이름 공모(2010-09-16),,2010.09.16,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
321,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,『아시아 해상 실크로드와 교역항』국제학술대회 개최(2010-10-05),,2010.10.05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
322,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,2010년 후반기‘찾아 가는 이동박물관’(2010-10-07),,2010.10.07,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
323,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,국립해양문화재연구소 태안 보존처리동 기공식 개최(2010-10-14),,2010.10.14,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
324,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,신나는 바다역사 체험교실(2010-10-14),,2010.10.14,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
325,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,수중발굴 전용 인양선 배 이름 공모 수상작 발표(2010-10-29),,2010.10.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
326,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,800년 전의 타임캡슐(2010-11-17),,2010.11.17,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
327,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,바닷속 유물 빛을 보다 도록 발간(2011-01-05),,2011.01.05,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
328,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,서남해의 섬과 유배문화를 느낀다(2011-03-24),,2011.03.24,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
329,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,조선 후기 조운선(漕運船) 전통따라 짓다(2011-04-11),,2011.04.11,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
330,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화재와 함께하는 환상의 버블나라(2011-05-02),,2011.05.02,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
331,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,지역주민과 함께 하는 태안 마도 수중 발굴(2011-05-12),,2011.05.12,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
332,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,문화재 주변 개발행위 관리방안 개선한다(2011-05-19),,2011.05.19,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
333,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,세계의 배 모형과 수중문화재(2011-05-23),,2011.05.23,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
334,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,국립해양문화재연구소 태안보존센터 준공식 개최(2011-06-27),,2011.06.27,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
335,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화유산 기록영상 현지 시사회(2011-07-04),,2011.07.04,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
336,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,서남해 섬과 유배문화 특별전 개최(2011-07-07),,2011.07.07,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
337,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,조선시대 조운선(漕運船) 진수식 열린다(2011-07-15),,2011.07.15,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
338,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,서해안 해저 도굴범 일당 검거로 도굴문화재 회수(2011-07-19),,2011.07.19,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
339,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,도자기 오염물 제거의 현황과 전망’국제학술세미나 개최(2011-09-01),,2011.09.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
340,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,‘고려의 난파선과 문화사’ 국제학술대회 개최(2011-10-05),,2011.10.05,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
341,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,고려 삼별초 바닷속에서 깨어나다(2011-10-06),,2011.10.06,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
342,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,소금 꽃이 핀다’특별 순회전 개최(2011-10-11),,2011.10.11,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
343,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,서해에 수중발굴유물 보관동 짓는다(2011-10-26),,2011.10.26,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
344,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양유물전시관 「고려선실」 새로 꾸며(2011-10-28),,2011.10.28,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
345,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,섬으로 가는 해양박물관 운영(2011-11-07),,2011.11.07,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
346,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립해양문화재연구소, 수중발굴조사 보고서 발간(2011-12-16)",,2011.12.16,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
347,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"태안선(泰安船), 1131년에 난파되다(2011-12-29)",,2011.12.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
348,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화유산 학술연구 자료 발간(2011-12-29),,2011.12.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
349,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,내 손 안의 스마트폰 해양문화유산 정보(2011-12-30),,2011.12.30,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
350,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,홍어장수 문순득의 동아시아 표류 이야기를 펼친다(2012-04-04),,2012.04.04,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
351,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화로 하나되는 다문화 가정 체험 행사(2012-04-26),,2012.04.26,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
352,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,고려 시대 사람들의 도기(陶器) 항아리 사용법은 ?(2012-04-27),,2012.04.27,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
353,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화재와 함께하는 그림 같은 동화나라 행사 개최(2012-05-01),,2012.05.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
354,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립해양문화재연구소 차미영 씨, 국제목재보존학회로부터 젊은 과학자상 수상(2012-05-07)",,2012.05.07,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
355,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"국립해양문화재연구소, 2012년 수중발굴조사 시작(2012-05-08)",,2012.05.08,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
356,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,우리 전통배 2012여수세계박람회에 나들이 가다(2012-05-09),,2012.05.09,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
357,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"전통 돛단배「바람칼호」, 잊혀진 영산강 뱃길을 간다(2012-05-10)",,2012.05.10,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
358,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,서남단의 섬 흑산도에서 해양문화유산 이동박물관 운영(2012-05-14),,2012.05.14,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
359,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,전남 신안군 섬 문화 조사보고서 [옥도(玉島)] 발간(2012-06-21),,2012.06.21,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
360,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,제주 해녀의 억척스런 삶의 모습을 뭍에서 본다(2012-06-28),,2012.06.28,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
361,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,해양문화유산 영상다큐멘터리 현지 시사회 개최(2012-08-29),,2012.08.29,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
362,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,한선(韓船)의 구조와 조선기술을 밝히다(2012-09-11),,2012.09.11,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
363,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,조선 후기 한 사내의 뜻하지 않은 아시아 체험기를 펼친다(2012-09-19),,2012.09.19,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
364,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"울돌목을 건너지 못한 고려청자, 빛을 본다(2012-10-04)",,2012.10.04,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
365,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,‘동아시아 표해록과 표류의 문화사’ 국제학술대회 개최(2012-10-10),,2012.10.10,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
366,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,옛 선조의 위기극복 정신 체험교실 운영(2012-10-23),,2012.10.23,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
367,국립해양문화재연구소,HOME > 소식·참여 > 보도자료,보도자료,"다도해의 섬, 신안 비금·도초도에서 ‘찾아가는 해양박물관’을 연다(2012-11-01)",,2012.11.01,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,보도자료,
