강진군청 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
22,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2022-12-22 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
23,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-01-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
24,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-03-02 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
25,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-03-09 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
26,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-03-16 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
27,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-03-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
28,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-03-30 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
29,강진군청,HOME > 소통과참여 > 강진글사랑 > 공공언어,공공언어,한눈에 알아보는 공공언어 바로쓰기,,2023-04-14 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,국가저작물(국립국어원),
30,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 코로나-19에 따른 강진군청 민원실 이용 주민 불편사항 청취,https://www.gangjin.go.kr/www/communication/policy_debate/policy_forum,2020-08-13 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
31,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 도로명판 외 2종 안내시설 일제조사 안내,,2020-08-13 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
32,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군청 민원실 리모델링에 따른 민원인 편의 증대 체감도,,2020-08-13 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
33,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 부동산소유권 이전등기 특별조치법 시행,,2020-08-13 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
34,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 가설건축물 도로명주소 제공 활용,,2020-08-13 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
35,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,"[전라남도 강진군] 민원실, 읍면사무소 비상벨 설치",,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
36,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 민원 '한눈에' 민원사무편람 제작 및 배포,,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
37,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,"[전라남도 강진군] 강진군 민원실, 매주 화요일 친절교육 실시",,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
38,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,"[전라남도 강진군] 강진군 민원실 리모델링에 따른 시설(무인민원발급기, 농협365코너) 만족도 조사",,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
39,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 맞춤형 종합지적도면 및 토지조서 마을별 배부,,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
40,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 지적재조사 사업 추진,,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
41,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,"[전라남도 강진군] 강진군 코로나 19 차단 민원실 투명 안심 가림막 설치, 운영",,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
42,강진군청,HOME > 소통과참여 > 정책토론 > 정책포럼,정책포럼,[전라남도 강진군] 강진군 여권 야간발급(매주 목요일),,2020-08-18 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
43,강진군청,HOME > 소통과참여 > 정책토론 > 설문조사,설문조사,[전라남도 강진군] 2016년도 예산편성을 위한 설문조사,https://www.gangjin.go.kr/www/communication/policy_debate/survey,2015-07-20 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
44,강진군청,HOME > 소통과참여 > 정책토론 > 설문조사,설문조사,[전라남도 강진군] 2017년도 예산편성을 위한 설문조사,,2016-09-13 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
45,강진군청,HOME > 소통과참여 > 정책토론 > 설문조사,설문조사,[전라남도 강진군] 강진읍 강진고 입구~고성사 산책로 가로(보안)등 설치 설문 조사,,2017-05-31 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
46,강진군청,HOME > 소통과참여 > 정책토론 > 설문조사,설문조사,[전라남도 강진군] 2018년도 예산편성을 위한 설문조사,,2017-09-19 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상저작물,
