대구광역시청 공공저작물 권리확인 요청 목록 (연계 권장),,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
12,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 2018년 하반기부터 이렇게 달라집니다.,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=377742,2018-08-24,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
13,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,"[정보] 빈곤층, 부양가족 있어도 10월부터 주거비 받는다",https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=372466,2018-06-26,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
14,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 2018 ｢나에게 힘이 되는 복지서비스｣ 발간,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=369744,2018-05-24,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
15,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 제5차 장애인 정책종합계획(2018~2022),https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=369476,2018-05-21,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
16,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 대구시 장애인권옹호기관 개관,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=355223,2017-12-18,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
17,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 저소득층 이동통신 요금감면서비스 확대 시행,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=354954,2017-12-14,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
18,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례] 임대 아파트 내 장애인 편의시설 등 개선 요망,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=352892,2017-11-23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
19,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[사례] 기초수급탈락으로 인한 보육원 퇴소,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=352880,2017-11-23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
20,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,"[사례] 기초수급자 틀니, 임플란트 비용에 관한 문의",https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=352877,2017-11-23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
21,대구광역시,HOME > 민원·소통·참여 > 복지 및 인권옴부즈만 > 복지 및 인권옴부즈만 민원 사례,복지옴부즈만 자료실,[정보] 노인이나 장애인에 대한 부양의무제 개선,https://www.daegu.go.kr/index.do?menu_id=00933317&menu_link=/icms/bbs/selectBoardArticle.do&bbsId=BBS_01854&nttId=352876,2017-11-23,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
