국립무형유산원 공공저작물 권리확인 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
22,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,“김장문화 시연 및 체험행사” 참가자 모집,,2013-12-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
23,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,“김장문화 시연 및 체험행사” 참가자 확정 및 추가참가자 접수 안내,,2013-12-10 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
24,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 기간제근로자 채용 공고,,2014-01-10 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
25,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 기간제 근로자 최종 합격자 공고,,2014-01-23 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
26,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 중요무형문화재 보유자(보유단체) 공개행사 일정 조사 관련 서식,,2014-01-24 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
27,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,『2014년 무형유산지기 활동 지원 사업』보조사업자 공모,,2014-02-11 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
28,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,"2014년 중요무형문화재 기,예능 공개행사 지원 안내",,2014-02-12 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
29,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 전통공예 활성화 및 제작유통 지원 사업 보조사업자 선정 공모,,2014-02-14 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
30,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 기간제근로자(전시분야) 서류전형 합격자 안내,,2014-02-17 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
31,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 전통공예 활성화 및 제작유통 지원 사업 보조사업자 선정 결과 발표 연기 알림,,2014-02-28 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
32,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,2014년 전통공예 활성화 및 제작유통 지원 사업 보조사업자 선정 결과 공고,,2014-03-05 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
33,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 개원 기념 초청 공연 대행 용역 관련 공통질의사항 게시,,2014-03-07 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
34,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,국립무형유산원 사무실 재배치 작업에 따른 공지사항,,2014-03-11 00:00:00,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
35,국립무형유산원,HOME > 소식/참여 > 새소식 > 공지사항,공지사항,청렴계약이행 각서(일반계약용),,2014-04-02 00:00:00,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
