[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
916,국회전자도서관,"定量分析法. 上, 下卷",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197050442,1939,京城藥學專門學校分析學敎室 編,大洋社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
917,국회전자도서관,朝鮮經濟統制法全書,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198004964,1945,山內敏彦 等著,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
918,국회전자도서관,民主政治의 基礎理論,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198000722,1952,愼道晟 著,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
919,국회전자도서관,民主政治의 基礎理論,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198000722,1952,愼道晟 著,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
920,국회전자도서관,(實力)化學,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197030754,1953,李盛雨 著,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
921,국회전자도서관,韓國詩集. 上,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197160339,1952,李漢稷 編,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
922,국회전자도서관,韓國詩集. 上,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197160339,1952,李漢稷 編,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
923,국회전자도서관,朝鮮戰時家庭園藝讀本,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197040063,1945,佐野美好 著,大洋出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
924,국회전자도서관,會計學,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198013015,1952,尹炳旭 著,大榮堂,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
925,국회전자도서관,閔休先生實記,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197070398,1938,"鄭泰應, 梁柱三 共編",大英聖書公會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
926,국회전자도서관,淸州沿革誌,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198020319,1923,大熊春峰 著,大熊彌三郞,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
927,국회전자도서관,農學硏究. 34,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197020464,1942,近藤萬太郞 編,大原農業硏究所,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
928,국회전자도서관,農學硏究. 34,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197020464,1942,近藤萬太郞 編,大原農業硏究所,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
929,국회전자도서관,考工典,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197020467,1900,,大源文化服務社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
930,국회전자도서관,天遑猛威 : 京城附近水害寫眞畵報,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198012334,1925,廣岡誠三 著,大陸社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
931,국회전자도서관,新撰日鮮太古史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198023891,1928,阿部辰之助 著,大隆調査會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
932,국회전자도서관,統計年報. 1935,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198013816,1936,大田商工會議所 編,大田商工會議所,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
933,국회전자도서관,忠南産業誌,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198008767,1921,田中麗水 著,大田實業協會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
934,국회전자도서관,大田電氣株式會社沿革史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197090706,1937,大田電氣社 ［編］,大田電氣社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
935,국회전자도서관,正易圖書,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003559,1882,河相易 著,大宗敎,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
936,국회전자도서관,正易明義,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003561,1912,河相易 著,大宗敎,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
937,국회전자도서관,正易,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003560,1912,河相易 著,大宗敎,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
938,국회전자도서관,三道經,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197010487,1912,河相易 著,大宗敎,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
939,국회전자도서관,大宗敎趣旨書,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003544,1912,河相易 著,大宗敎中央本敎,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
940,국회전자도서관,三一哲學(譯解倧經)合編,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197090308,1949,鄭烈模 編,대종교총본사,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
941,국회전자도서관,神檀民史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198020484,1946,鄭烈模 著,大倧敎總本司,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
942,국회전자도서관,世界文化史槪論,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198015487,1953,H. G. 웰스 著 ; 趙奎東 譯,大衆文化社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
943,국회전자도서관,薔薇夫人의 正體,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197051502,1900,方仁根 著,大衆文化社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
944,국회전자도서관,新刑事訴訟法講義,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198008859,1954,崔大敎 著,大衆文化社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
945,국회전자도서관,聖異次頓의 最後,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198028522,1936,金泰洽 著,大衆書屋,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
946,국회전자도서관,金笠詩集,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197091598,1954,朴午陽 編,大志社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
947,국회전자도서관,憲法槪論,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198006638,1954,朴天一 著,大志社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
948,국회전자도서관,落照의 노래 : 歷史小說,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197101694,1954,尹白南 著,大志社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
949,국회전자도서관,英雄名人傳,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199321037,1954,咸敦益 編,大志社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
950,국회전자도서관,天下動亂記,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003639,1914,玄公廉 著,大昌書院,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
951,국회전자도서관,(補訂)佛敎大辭典,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197060285,1930,織田得能 著,大倉書店,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
952,국회전자도서관,(補訂)佛敎大辭典,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197060285,1930,織田得能 著,大倉書店,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
953,국회전자도서관,(普通學校 生徒用)日語讀本. 卷一,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198004628,1909,學部,大倉書店,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
954,국회전자도서관,音樂の聽き方,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197130100,1952,大田黑元雄 著,大泉書店,미부착,,검토 불가,검토 불가,,O,,,,,,해외 자료,* 해외 출판도서 권리확인 제외 요청
955,국회전자도서관,(近代)朝鮮政治史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198000904,1950,姜志元 著,大學生活社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
956,국회전자도서관,國語國文學要講,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197091532,1949,高晶玉 著,大學出版社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
957,국회전자도서관,한국의 농촌 가정 : 영양과 가정경제 실태를 중심으로,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1200522813,1900,김숙희 [외저] ; 이화여자대학교 식품영양학과 ;대한YWCA연합회 [공편],대한YWCA연합회,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
958,국회전자도서관,숙희에게 : 미국과 그 학교,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1196000454,1954,성내운 저,대한교육연합회,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
959,국회전자도서관,兒童과 敎育課程. 上,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198017261,1954,"G. Murray Lee, Dorris May Lee 共著 ; 徐義敦 譯 ; 韓國中央敎育硏究所 編",大韓敎育聯合會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
960,국회전자도서관,初等敎育革新의 指標 : 美國의 모든 兒童을 위한 敎育,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198014788,1954,"US National Educational Association 敎育政策委員會, 中央敎育硏究所 共編 ;裵雲鶴 譯",大韓敎育聯合會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
961,국회전자도서관,道義的 새敎育의 原理 : 民主主義를 爲한 集團敎育,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198011307,1954,월리엄 에이취 칼패트릭 著 ; 成來運 譯 ;中央敎育硏究所 編,大韓敎育聯合會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
962,국회전자도서관,우리는 왜 改憲을 反對했나,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198006895,1950,曺奉岩 著,大韓敎學,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
963,국회전자도서관,刑法大典,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010442,1906,大韓國法部,大韓國法部出版,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
964,국회전자도서관,現行大韓法規類纂,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198018771,1907,,大韓國政府財政部顧問部,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
965,국회전자도서관,大韓軍港誌,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010942,1954,金達鎭,大韓軍港誌編纂會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
966,국회전자도서관,史話百題,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198026702,1953,文一平 著,大韓金融組合聯合會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
967,국회전자도서관,農事와 農村,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197091192,1949,金聖濟 著,大韓農會,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
968,국회전자도서관,國際貿易環境의 最近動向과 77年展望,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198014953,1946,大韓貿易振興公社 編,大韓貿易振興公社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
969,국회전자도서관,바다와 老人,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198015862,1953,어네스트 헤밍웨이 著 ; 鄭鳳和 譯,大韓文化社,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
970,국회전자도서관,"公海에 關한 法令輯. 上,下",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198006479,1954,大韓民國 法務部 編,大韓民國 法務部,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
971,국회전자도서관,共産黨治下의 中國,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198000399,1949,章丙炎 著 ; 許宇成 譯,大韓民國公報處,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
972,국회전자도서관,蘇聯의 實情,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198001782,1952,J. C. 크로케트 著,大韓民國公報處 宣傳局,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
973,국회전자도서관,蘇聯의 實情,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198001782,1952,J. C. 크로케트 著,大韓民國公報處 宣傳局,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,해외 자료 번역본
974,국회전자도서관,國防部史. 1,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010652,1954,國防部,大韓民國國防部,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
975,국회전자도서관,工場鑛山名簿,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010612,1950,尹潽善 編,大韓民國商工部,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
976,국회전자도서관,"歲入歲出決算檢査報告. 1949-1953, 1957-1959",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009133,1949,大韓民國審計院,大韓民國審計院,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
977,국회전자도서관,大韓民國臨時政府에關한 參考文件. 第1輯,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198024268,1946,大韓民國臨時政府宣傳部 編,大韓民國臨時政府宣傳部,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
978,국회전자도서관,第2回 追加更正豫算案. 檀紀4286年度(1953),https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199813654,1953,大韓民國政府,대한민국정부,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
979,국회전자도서관,"歲入歲出總決算. 1948-1951,1953",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009103,1948,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
980,국회전자도서관,豫備金總計算書. 1949,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009134,1949,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
981,국회전자도서관,歲入歲出 決算檢査 報告에 對한 辯明書. 1950,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009180,1950,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
982,국회전자도서관,一般會計歲出豫算各目明細書. 1951,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198015234,1951,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
983,국회전자도서관,"豫備費支辨總調書. 1951,1953-1955",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009104,1951,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
984,국회전자도서관,"歲入豫算各目明細書. 1952-1953,1955,1957",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009120,1952,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
985,국회전자도서관,"歲入歲出決算檢査 報告에 對한 辯明書. 1952,1954-1955",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009151,1952,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
986,국회전자도서관,第一回 歲入歲出追加更正豫算案. 檀紀四二八五(1952),https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199813844,1952,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
987,국회전자도서관,歲出豫算各目明細書(1/4). 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198008179,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
988,국회전자도서관,(一般會計)歲出豫算各目明細書 (4/4). 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009154,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
989,국회전자도서관,歲出豫算各目明細書 (2/4). 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009153,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
990,국회전자도서관,(特別會計)歲入歲出豫算各目明細書 (2/2). 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009148,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
991,국회전자도서관,(特別會計)歲入歲出豫算各目明細書 (1/2). 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009145,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
992,국회전자도서관,歲入歲出假豫算案. 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009144,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
993,국회전자도서관,(第2回)歲入歲出豫算各目明細書. 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009142,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
994,국회전자도서관,(一般會計)歲出豫算各目明細書 (3/4). 1953,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009141,1953,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
995,국회전자도서관,(一般會計)歲出豫算各目明細書(2/2). 1954,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198008165,1954,大韓民國政府,大韓民國政府,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
