[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
18,국회전자도서관,視聽覺敎育의 理論,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198011900,1900,農林部地域 社會局 編,［農林部地域社會局］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
19,국회전자도서관,"豫算決算資料. 第1, 2輯",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198024919,1951,日本大藏省主計局 編,［大藏省主計局］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
20,국회전자도서관,中央財政機關沿革一覽表,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010512,1910,韓國度支部 編,［度支部］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
21,국회전자도서관,韓國財務經過報告. 第4回,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198007976,1909,荒井賢太郞 編,［度支部］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
22,국회전자도서관,朝鮮土木法規,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198004685,1920,,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
23,국회전자도서관,關稅逋脫과 無免許輸出,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198005374,1900,李永鎬 著,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
24,국회전자도서관,朝鮮經濟史,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198005006,1928,猪谷善一 著,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
25,국회전자도서관,朝鮮産業政策硏究要綱,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3199311912,1927,賀田直治 著,［발행사불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
26,국회전자도서관,증남포 목포 각국죠계쟝졍,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199413141,1897,,［발행자불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
27,국회전자도서관,世界各國政治現況,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3199407386,1954,傳恩培 著,［발행자불명］,미부착,,검토 불가,검토 불가,,O,,,,,,해외 자료,* 해외 출판도서 권리확인 제외 요청
28,국회전자도서관,慶州南山の佛蹟,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198023082,1941,朝鮮總督府 編,［발행지불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,조선총독부 발간자료
29,국회전자도서관,「文化政治」標榜時代(後期)의 雜誌槪觀,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197090016,1900,金根洙 ［著］,［발행처 불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
30,국회전자도서관,新撰朝鮮語法,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197110196,1900,,［발행처미상］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
31,국회전자도서관,白頭山と白頭火山脈,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3197030394,1926,川崎繁太郞 著,［발행처미상］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,조선총독부 발간자료(추정)
32,국회전자도서관,金剛山大觀 : 世界の驚異萬二千峰,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3200608702,1900,,[發行處不明],미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
33,국회전자도서관,京畿道ノ敎育ト宗敎,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198012996,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
34,국회전자도서관,龍岡郡邑誌,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198018931,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
35,국회전자도서관,在日韓國留學生寫眞帖,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198019005,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
36,국회전자도서관,禪家要訣,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1199319952,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
37,국회전자도서관,韓國皇室,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198011607,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
38,국회전자도서관,朝鮮地圖,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1196000684,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
39,국회전자도서관,朝鮮民族革命黨第六屆全黨代表大會宣言,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3199503632,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,복사본
40,국회전자도서관,例規大集,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198010475,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
41,국회전자도서관,新頒律例,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198007096,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
42,국회전자도서관,大宗敎弘範,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003538,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
43,국회전자도서관,軍隊內務書. 第一版,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198003592,1900,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
44,국회전자도서관,천주성교 공과,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197060518,1906,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
45,국회전자도서관,韓國貨幣整理報告書,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198004631,1907,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
46,국회전자도서관,作蠶飼養新書,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1197090898,1908,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
47,국회전자도서관,歲入歲出總豫算 各特別會計歲入歲出豫算. 1910,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198009380,1910,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
48,국회전자도서관,內部所管歲出豫算,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198024960,1910,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
49,국회전자도서관,"現行法令輯覽. 1910, 上卷",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO3198015646,1910,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
50,국회전자도서관,交際新禮,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=MONO1198017627,1913,,［발행처불명］,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
