[국회도서관] 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판진입과정,게시판명,게시물 제목,URL,등록일,기사 수량,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
22,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 9·10월),,1999년 9·10월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
23,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 7·8월),,1999년 7·8월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
24,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 5·6월),,1999년 5·6월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
25,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 3·4월),,1999년 3·4월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
26,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1999년 1·2월),,1999년 1·2월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
27,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1998년 11·12월),,1998년 11·12월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
28,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1998년 9·10월),,1998년 9·10월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
29,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1998년 7·8월),,1998년 7·8월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
30,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1998년 5·6월),,1998년 5·6월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
31,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1998년 3·4월),,1998년 3·4월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
32,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1998년 1·2월),,1998년 1·2월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
33,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1997년 11·12월),,1997년 11·12월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
34,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1997년 9·10월),,1997년 9·10월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
35,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1997년 7·8월),,1997년 7·8월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
36,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1997년 5·6월),,1997년 5·6월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
37,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1997년 3·4월),,1997년 3·4월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
38,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1997년 1·2월),,1997년 1·2월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
39,국회기록보존소 ,home>국회기록물>국회간행물,국회간행물,국회도서관보(1996년 11·12월),,1996년 11·12월,18,미부착,,내부확인 필요,공공누리 2~4유형,,,,O,,,,외부 연구진 포함,"별도의 지침, 계약서 확인불가"
