한국영상자료원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,부제,URL,기간/등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,1.0,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
375,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,무성영화 - 보재기Borzage와 무르나우Murnau,강/거리의 천사/럭키 스타/무르나우의 4인의 악당: 유실된 필름의 흔적/일출/제7의 천국/폭스사의 무르나우와 보재기: 표현주의 유산총 7 편,,2010.02.17.수 ~ 02.21.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장씩,
376,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,방문자,"나의 친구, 그의 아내/방문자총 2 편",,2010.02.20.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,스틸컷 다수 포함,
377,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,이탈리아 영화 특별전,구두닦이/로코와 그 형제들/마지막 사랑/순응자/신 시네마 천국/여성의 정체/외디푸스왕/이탈리아 여행총 8 편,,2010.02.27.토 ~ 03.07.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"구두닦이(1946),이탈리아여행(1954),로코와 그형제들(1960) 제외 5편은 1963년 이후 영화",
378,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,몽실언니,몽실언니총 1 편,,2010.02.27.토,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,"스틸컷, 영화평론 1편 딥링크",
379,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국영화 100선 릴레이 (3월),결혼이야기/고려장/달마가 동쪽으로 간 까닭은?/또순이/마의 계단/미몽/바보선언/초우/화분총 9 편,,2010.03.02.화 ~ 03.17.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
380,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,품행제로,그 해 여름/품행제로총 2 편,,2010.03.13.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
381,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,양익준의 감독과 배우사이,"낙원, 드라이버 등/똥파리/바라만 본다/인간적으로 정이 안가는 인간총 4 편",,2010.03.17.수 ~ 03.25.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
382,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,김수용 감독 회고전,가위 바위 보/갯마을/구봉서의 벼락부자/까치소리/도시로 간 처녀/돌아온 사나이/만추/망명의 늪/물보라/봄봄/사격장의 아이들/사랑의 묵시록/산불/수전지대/시발점/안개/야행/어느 여배우의 고백/웃음소리/춘향/침향/토지/허튼소리/혈맥/화려한 외출/화조/황토총 27 편,,2010.03.18.목 ~ 04.04.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
383,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,반드시 크게 들을 것,반드시 크게 들을 것총 1 편,,2010.03.20.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
384,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,무성영화 : “팡토마 Fant?mas”,"팡토마 (에피소드 1,2)/팡토마 (에피소드 3,4)/팡토마 (에피소드 5)총 3 편",,2010.04.01.목 ~ 04.15.목,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,모두 1963년 이전 작품,
385,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,하야시 가이조와 탐정영화전,20세기 소년독본/7개의 얼굴/검은 도마뱀/그림자 살인/꿈꾸는 것처럼 잠들고 싶다/내 인생 최악의 시간/덫/란포지옥/아득히 먼 시대의 계단을/이누가미 일족/카인과 아벨/코드/탐정사무소 2-3/탐정이야기총 14 편,,2010.04.06.화 ~ 04.18.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"7개의 얼굴(1946),검은도마뱀(1962),나머지 12편은 1963년 이후 작품",
386,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,이장호 감독 마스터 클래스,내시/무릎과 무릎사이/바보선언총 3 편,,2010.04.07.수 ~ 05.12.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
387,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,질투는 나의 힘,질투는 나의 힘/파주총 2 편,,2010.04.17.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
388,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,시네필1: 70년대 영화청년 시절을 돌아보다 - 빔 벤더스와 독일문화원,도시의 알리스/미국인 친구/사물의 상태/시간의 흐름 속으로/잘못된 움직임/페널티 킥을 앞에 선 골키퍼의 불안총 6 편,,2010.04.20.화 ~ 04.25.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,스틸컷 같은 이미지 다수 포함,
389,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,땅의 여자,농가일기/땅의 여자총 2 편,,2010.04.24.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
390,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국영화 100선 릴레이 (4월),겨울여자/김약국의 딸들/물레방아/사랑방 손님과 어머니/영자의 전성시대/우묵배미의 사랑/육체의 고백/초우총 8 편,,2010.04.27.화 ~ 04.30.금,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
391,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,가족의 달 특선,나무없는 산/나의 판타스틱 데뷔작/로맨스그레이/로맨스빠빠/로보트 태권 V/리틀 디제이/마요네즈/북극의 눈물/아기공룡 둘리-얼음별 대모험/원 위크/인어공주/천년여우 여우비/퀼/피아노의 숲총 14 편,,2010.05.02.일 ~ 05.16.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,로맨스빠빠(1960) 제외 나머지 모두 1963년 이후 영화,
392,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"무성영화 : ""쥐덱스 Judex""","쥐덱스 (서장, 에피소드 1~3)/쥐덱스 (에피소드 4~7)/쥐덱스 (에피소드 8~12)총 3 편",,2010.05.13.목 ~ 05.27.목,,미부착,,개방 가능,공공누리 1유형,,,,,O,,,"모두 1963년 이전 작품, 저자권 보호기간 만료",
393,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국영화 100선 릴레이 (5월),고교얄개/땡볕/삼포가는 길/소나기/여인잔혹사 물레야 물레야/영자의 전성시대/이어도/장군의 수염총 8 편,,2010.05.18.화 ~ 05.28.금,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
394,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"발굴, 복원 그리고 초기영화로의 초대","갈릴레오, 진자의 발명가/검은 머리/꿈(1955)/꿈(1967)/꿈(1990)/눈물의 웨딩드레스/단테의 생애/돌아온 외다리/돌아온 외다리(속)/배따라기/분노의 왼발/삼각의 함정/섬개구리 만세/시집가는 날/시칠리아의 영웅/여고시절/용호대련/육체와 악마/일본 애니메이션 1/일본 애니메이션 2/일본 애니메이션 3/일본 애니메이션 4/일요일 밤과 월요일 아침/일요일의 사람들/폼페이 최후의 날/폼페이 최후의 날/협박총 27 편",,2010.05.18.화 ~ 06.13.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"시집가는날(1956),꿈(1955),일요일의사람들(1929), 협박(1929),육체와 악마(1927),폼페이최후의날(1913),단테의 생애(1913),시칠리아의영웅(`1912),폼페이최후의날(1908),갈릴레오(1909),일본애니메이션스틸컷 외외 1963년 이후 작품",
395,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,회오리 바람,장건재 감독 단편/회오리 바람총 2 편,,2010.05.29.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"피아골(1955),격퇴(1956),5인의 해병(1961),싸우는 사자들(1962) 제외 나머지는 1963년 이후 영화",
396,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,6.25 60주년 특집전,04:00 -1950-/5인의 해병/격퇴(우리는 이렇게 싸웠다)/군번없는 용사/남과 북/돌아오지 않는 해병/들국화는 피었는데/비무장지대/빨간 마후라/수색대/싸리골의 신화/싸우는 사자들/웰컴 투 동막골/은마는 오지 않는다/최후의 증인/태극기 휘날리며/피아골총 17 편,,2010.06.15.화 ~ 06.30.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
397,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,아는 여자,기막힌 사내들/아는 여자/킬러들의 수다총 3 편,,2010.06.19.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
398,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,쿠바의 연인,엄마를 찾아서/쿠바의 연인총 2 편,,2010.06.26.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
399,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,구로사와 아키라 탄생 100주년 특별전,7인의 사무라이/A.K: 구로사와 아키라의 초상/가장 아름답게/거미집의 성/나쁜 놈일수록 잘 잔다/도데스카덴/들개/라쇼몽/라쇼몽(복원버전)/란/멋진 일요일/밑바닥/붉은 수염/생존의 기록/속 스가타 산시로/숨은 요새의 세 악인/스가타 산시로/쓰바키 산주로/요짐보/우리 청춘 후회 없다/이키루/주정뱅이 천사/천국과 지옥/카게무샤/호랑이 꼬리를 밟은 사나이들총 25 편,,2010.07.01.목 ~ 07.25.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장씩 포함,
400,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,시네필2: 프랑스 문화원에 대한 기억 - 고다르의 <기관총 부대>,기관총 부대/대담 : 프랑스 문화원에 대한 기억/롤라 몽테/산타클로스는 푸른 눈을 가졌다총 4 편,,2010.07.07.수 ~ 07.10.토,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장씩 포함,
401,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,김기영의 女女女,느미/수녀/육식동물/충녀/하녀/하녀/화녀/화녀&#39;82총 8 편,,2010.07.27.화 ~ 08.01.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
402,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,7월_영화&강좌,버라이어티 생존 토크쇼총 1 편,,2010.07.27.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
403,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,7월_독립애니메이션 정기상영 : 여름의 물결,소나기 외 8편총 1 편,,2010.07.28.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
404,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,7월_독립영화 재개봉,경/경계도시 2/꽃비/농민가/반드시 크게 들을것/원 나잇 스탠드/이웃집 좀비/작은 연못/회오리 바람총 9 편,,2010.07.29.목 ~ 08.08.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,스틸컷 1장 포함,
405,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,7월_해피투게더 독립영화,레인보우총 1 편,,2010.07.31.토,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
406,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,8월_독립영화 아카이브,"[독립다큐] 발견과 주목, 발췌 영화의 진화/[독립애니] 바람이 불어와/[쇼케이스] 싱킹 블루/[실험영화] 개인, 그리고 풍경의 발견/[영화&강좌] 기이한 춤; 기무/[해피투게더] 기타 이야기총 6 편",,2010.08.03.화 ~ 08.28.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
407,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,로베르 브레송 전,당나귀 발타자르/돈/무셰트/불로뉴 숲의 여인들/사형수 탈주하다/소매치기/아마도 악마가/잔다르크의 재판/호수의 랑스로총 9 편,,2010.08.03.화 ~ 08.11.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"블노뉴숲의 여인들(1945),소매치기(1959),잔다르크의재판(1962),사형수 탈주하다(1956), 나머지 1963년 이후 영화",
408,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,거장 회고전 (NeMaf2010),거장 회고전 폐막식/린 삭스 단편 필름과 비디오 10선/린 삭스 중장편 1/린 삭스 중장편 2/켄 제이콥스 장편/켄 제이콥스 중단편 1/켄 제이콥스 중단편 2총 7 편,,2010.08.10.화 ~ 08.14.토,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,영화별 스틸컷 1장,
409,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,임권택 전작展,30년만의 대결/가깝고도 먼 길 (불완전판)/개벽/그 여자를 쫓아라/길소뜸/깃발없는 기수/나는 왕이다/나비품에서 울었다/낙동강은 흐르는가/내일 또 내일/노는계집 창/돌아온 자와 떠나야 할 자/두만강아 잘 있거라/둘째 어머니/뢰검(번개칼)/만다라/망부석/맨발의 눈길/명동잔혹사/몽녀 (불완전판)/바람같은 사나이 (불완전판)/법창을 울린 옥이/복부인/불의 딸/사나이 삼대/상록수/서편제/속눈섭이 긴 여자/신궁/신세 좀 지자구요/십년세도/십오야/씨받이/아내/아내들의 행진/아다다/아벤고 공수군단/아제아제 바라아제/안개마을/애꾸눈 박/연산일기/오염된 자식들/옥례기/왕십리/왜 그랬던가/요화 장희빈/우상의 눈물/울지 않으리/원한의 거리에 눈이 나린다/원한의 두 꼽추/월하의 검 (불완전판)/임진란과 계월향/장군의 아들/장군의 아들 2/장군의 아들 3/장안명기 오백화/저 파도위에 엄마 얼굴이 (불완전판)/족보 (불완전판)/증언/짝코/천년학/축제/춘향뎐/취화선/태백산맥/티켓/풍운의 검객/하류인생/황야의 독수리/흐르는 강물을 어찌 막으랴총 70 편,,2010.08.12.목 ~ 10.03.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,두만강아 잘 있거라 이외 모두 1963년 이후 영화,
410,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,정동진영화제 in 서울,정동진영화제 in 서울_섹션1/정동진영화제 in 서울_섹션2/정동진영화제 in 서울_섹션3/정동진영화제 in 서울_섹션4/정동진영화제 in 서울_섹션5총 5 편,,2010.08.24.화 ~ 08.29.일,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
411,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,DMC 영화제,단편애니모음/무적자/전우치/하모니총 4 편,,2010.09.09.목 ~ 09.11.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
412,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,9월_독립영화 아카이브,[기획전] mistranslation/[기획전] 개청춘/[기획전] 내 청춘을 돌려다오/[기획전] 노동자의 태양-부제: 편의점 야간 파트타이머의 고통/[기획전] 학교를 다니기 위해 필요한 것들/[독립다큐] 발견과 주목/[독립애니] 인디애니페스트2009 수상작/[쇼케이스] 아름다운 게토/[실험영화] 브루스 엘더 작품들/[영화&강좌] 파산의 기술/[해피투게더] 불한당들총 11 편,,2010.09.15.수 ~ 09.29.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
413,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,10월_독립영화 아카이브,[독립다큐]나의 아버지 외 1편/[독립애니]인디애니페스트 2010 수상작/[쇼케이스] 물 없는 바다/[실험영화]브루스 엘더 展/[영화&강좌]달팽이의 별/[해피투게더] 계몽영화/[해피투게더] 박동훈 단편선총 7 편,,2010.10.05.화 ~ 10.30.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
414,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,인디 퍼레이드,검은 땅의 소녀와/낮술/단편 퍼레이드Ⅰ: PIFF 선재상 2006-2009/단편 퍼레이드Ⅱ: PIFF 선재상 2002-2005/단편 퍼레이드Ⅲ: 해외영화제 수상작/땅의 여자/똥파리/아메리칸 앨리/애니퍼레이드/우리 학교/워낭소리/킥 오프총 12 편,,2010.10.05.화 ~ 10.13.수,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
415,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국스포츠영화열전,"YMCA 야구단/고교결전 자! 지금부터야/국가대표/나는 갈매기/내 주먹을 사라/내일은 야구왕/돌려차기/맨발의 꿈/반칙왕/슈퍼스타 감사용/영광의 9회말/우리 생애 최고의 순간/이장호의 외인구단/천하장사 마돈나/카멜레온의 시/투수, 타자를 만나다/해가 서쪽에서 뜬다면총 17 편",,2010.10.13.수 ~ 10.29.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
416,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,허진호 감독전,8월의 크리스마스/봄날은 간다/외출/행복/호우시절총 5 편,,2010.10.15.금 ~ 10.16.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
417,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,윤성호 감독전,Section 1: 삼천포 가는 길 외/Section 2: 산만한 제국 외/Section 3: 중산층 가정의 대재앙 외/은하해방전선/할 수 있는 자가 구하라총 5 편,,2010.10.19.화 ~ 10.23.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
418,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,영화적 체험 Cinematic Experience 2,그랜드 호텔/메트로폴리스/밀랍인형 전시실/아침부터 자정까지/칼리가리 박사의 밀실/푸른 천사총 6 편,,2010.10.26.화 ~ 10.31.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,외국영화로 모두 1963년 이전 작품,
419,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,11월_독립영화 아카이브,"[독립다큐]고양이가 있었다/[독립애니]무림일검의 사생활 외/[쇼케이스]모차르트 타운/[쇼케이스]애니멀 타운/[실험영화]찬양의 서 외 1편/[영화&강좌]사요나라 안녕 짜이&#51820;/[해피투게더]빗자루, 금붕어 되다총 7 편",,2010.11.02.화 ~ 11.27.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
420,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,키에슬로프스키(Kieslowski)의 ‘세 가지 색’,레드/베로니카의 이중생활/블루/화이트총 4 편,,2010.11.02.화 ~ 11.07.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
421,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,11월_한국영화 100선 릴레이,겨울여자/별들의 고향/영자의 전성시대/이어도/화녀/화분총 6 편,,2010.11.02.화 ~ 11.07.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,다수의 스틸컷 포함,
422,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"Play Again, 2010 GISF",2010 우주여행/금지된 행성/뉴욕탈출/마지막 전투/백 투 더 퓨쳐/백 투 더 퓨쳐 2/백 투 더 퓨쳐 3/잠입자총 8 편,,2010.11.09.화 ~ 11.14.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,외국영화 포스터 포함,
423,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,서울영상집단 20주년 특별전,"192-399: 더불어사는 집 이야기/54일, 그 여름의 기록 -&#39;93 현대정공 직권조인 무효화 투쟁기/경계도시/낙선/노래로 태양을 쏘다 - 스크린쿼터 사수 투쟁의 기록/두밀리, 새로운 학교가 열린다/미친 시간/변방에서 중심으로 - 독립영화에 대한 특별한 시선/삶의 자리, 투쟁의 자리 - 영구임대주택 쟁취를 위하여/시작하는 순간 - 두밀리 두 번째 이야기/옥포만에 메아리칠 우리들의 노래를 위하여-&#39;90 대우조선 단협투쟁기/전열/전장에서 나는/주민등록증을 찢어라!총 14 편",,2010.11.09.화 ~ 11.20.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
424,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,불신지옥,불신지옥총 1 편,,2010.11.14.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
425,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,일본 거장 감독전,나는 두 살/남편은 보았다/눈먼 짐승/등불/만지/문신/번개/부초/붉은 천사/세이사쿠의 아내/아내는 고백한다/아내는 고백한다 (유현목)/오누이/제2의 성(섹스 체크)/지옥문/하나오카 세이슈의 아내/훔친 욕정총 17 편,,2010.11.16.화 ~ 11.30.화,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"훔친욕정(1962),아내는고백한다(1961),오누이(1953),나는 두살(1962),부초(1959),지옥문(1953),번개(1952),나머지는 1963년 이후 영화",
426,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,위험한 관계 Dangerous Liaisons,광란의 사랑/발몽/아델의 사랑이야기/폭풍의 월요일/프리찌스 오너총 5 편,,2010.12.01.수 ~ 12.12.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,모두 외국영화로 다수의 스틸컷 포함,
427,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,12월_한국영화 100선 릴레이,개그맨/고래사냥/꼬방동네 사람들/난장이가 쏘아올린 작은공/바람불어 좋은 날/성공시대/칠수와 만수총 7 편,,2010.12.01.수 ~ 12.12.일,,미부착,,개방 가능,공공누리 2~4유형,,,,,O,,,모두 외국영화로 다수의 스틸컷 포함,
428,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,로컬 시네마 기획전,대구 단편 1/대구 단편 2/대구 장편: 메모리즈/대전 단편 1/대전 단편 2/대전 단편 3/대전 단편 4/부산 단편 1/부산 단편 2/부산 단편 3/부산 장편: 내 마음에 불꽃이 있어/전주 단편 1/전주 단편 2/전주 단편 3/전주 장편: 숨총 15 편,,2010.12.05.일 ~ 12.26.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,영화별 이미지 1개씩,
429,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,프레드릭 막스 특별전,잔스카로부터의 여정/프레드릭 막스 단편/후프 드림즈총 3 편,,2010.12.09.목 ~ 12.11.토,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,영화별 이미지 1개씩,
430,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,여행,여행총 1 편,,2010.12.11.토,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
431,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,12월_독립영화 아카이브,"[독립다큐]상계동 올림픽 / 호수길/[독립애니]이런 사가지 없는 놈이 하는 소리 외/[쇼케이스]첫사랑-1989, 수미다의 기억/[실험영화]1857 황철광 외 1편/[영화&강좌]어느 날 그 길에서총 5 편",,2010.12.14.화 ~ 12.29.수,,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보,
432,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국영화인 추모전,겨울나그네/그후로도 오랫동안/김약국의 딸들/내것이 더 좋아/리칭의 여선생/맹물로 가는 자동차/명동에 밤이 오면/서울의 지붕밑/아가씨 참으세요/애권/애하/여인잔혹사 물레야 물레야/우리들의 일그러진 영웅/장미의 나날/젊은 날의 초상/청춘/형사 배삼룡총 17 편,,2010.12.14.화 ~ 12.31.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
433,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,가족특선,"마음이.../선생 김봉두/안녕, 형아/집으로총 4 편",,2010.12.24.금 ~ 12.26.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
434,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,사랑한다면 이들처럼,굿바이 칠드런/귀여운 여도적/델리카트슨 사람들/사랑한다면 이들처럼/세상의 모든 아침/쉘부르의 우산/씨클로/졸업/태양은 가득히/탱고/파니 핑크총 11 편,,2011.01.02.일 ~ 01.13.목,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
435,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,블루레이 영화제,드래곤 길들이기/레지던트 이블 4/사운드 오브 뮤직/슈퍼배드/씬 시티/아저씨/이클립스/인셉션/토이 스토리 3/퍼시픽/허트 로커총 11 편,,2011.01.13.목 ~ 01.16.일,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
