한국영상자료원 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,부제,URL,기간/등록일,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,1.0,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
12,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,눈물과 천사표의 페르소나: 이경희,다함께 부르고 싶은 노래/막난이비사 (망나니비사)/망부석/애/여정총 5 편,,2002.08.05.월 ~ 08.09.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"망부석(1963), 다함께 부르고 싶은 노래(1979),애(1999),여정(1966),막난이비사(1955)",
13,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,하이틴 영화의 봇물 터뜨리기: 문여송,로맨스그레이/사랑만들기/아스팔트위의 여자/진짜 진짜 잊지마/처녀의 성총 5 편,,2002.08.19.월 ~ 08.23.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
14,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,임권택 특별회고전,깃발없는 기수/만다라/서편제/십년세도/씨받이/왕십리/짝코/춘향뎐/취화선/티켓총 10 편,,2002.09.02.월 ~ 09.06.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"싸리골의 신화(1967), ….돈(1958)",
15,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,독특한 개성과 카리스마의 명연기: 최남현,공처가 삼대/대석굴암/대원군/돈/싸리골의 신화총 5 편,,2002.09.09.월 ~ 09.13.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"물망초(1960), 백설공주(1964)….",
16,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,나의 아버지: 박구,못다한 사랑/물망초/백설공주/식모/우리강산 차차차총 5 편,,2002.09.23.월 ~ 09.27.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"화심(1958,vod), 십년세도(1964),…",
17,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,한국의 에바 가드너: 이민자,공작부인/모녀기타/빙우/십년세도/화심총 5 편,,2002.10.07.월 ~ 10.11.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"붉은여군(1961), 세명의 아씨들(1962), 요람(1979)….",
18,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,시에진 감독전,"목동 (The Herdsman, Mu Ma Ren)/붉은 여군 (The Red Detachment of Women)/세 명의 이씨 ( Big Li, Young Li and Old Li)/여성혁명가 추근 (Qiu Jin - A Revolutionary)/여자 농구선수 5번 (Woman Basketball Player Number 5, Nu lan wu hao)/요람 (Cradle)/티안윤 산의 전설 (Legend of Tianyun Mountain, Tian yun shan chuan qi)총 7 편",,2002.10.11.금 ~ 10.18.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"여걸민비(로그인 vod서비스), 나머지는 1970년 이후",
19,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,"분출하는 에너지, 반추의 여유: 임원식",대감신랑/아리랑/어머니/저높은 곳을 향하여/청일전쟁과 여걸 민비총 5 편,,2002.10.21.월 ~ 10.25.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
20,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,세련된 화사함으로 대중의 욕망을 대변한: 이빈화,사랑의 역사/살인마/순애보/안개/청춘쌍곡선총 5 편,,2002.11.04.월 ~ 11.08.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"청춘쌍곡선(1956), 사랑의 역사(1960), 순애보(1957), 나머지는 1965이후",
21,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,김승호 특별회고전,로맨스빠빠/마부/서울의 지붕밑/육체의 길/천년호/해바라기가족총 6 편,,2002.11.11.월 ~ 11.15.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,O,,,"마부(1961), 로맨스빠빠(196)),해바라기가족(1961),서울의지붕밑(1961),나머지는 1967이후",
22,한국영상자료원,HOME > 시네마테크KOFA > 프로그램 > 지난 프로그램,지난 프로그램,소설적 묘사와 드라마틱한 영상미를 추구한 감독: 조문진,고가(古家)/과부/만날때까지/빗속의 연인들/새색시총 5 편,,2002.11.18.월 ~ 11.22.금,,미부착,,개방 가능,공공누리 2~4유형,,,,O,,,,"저작권 보호되는 영화, 다수의 스틸컷",
