Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,[국회도서관] 공공저작물 권리확인 요청 목록 (월간 국회도서관),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시물 제목,url,발행년,저자,발행처,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,19,국회전자도서관,資治通鑑綱目(及)續. 冊111-120,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400019,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,20,국회전자도서관,資治通鑑綱目(及)續. 冊71-80,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400023,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,21,국회전자도서관,資治通鑑綱目(及)續. 冊21-30,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400017,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,22,국회전자도서관,資治通鑑綱目(及)續. 冊11-20,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400018,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,23,국회전자도서관,資治通鑑綱目(及)續. 冊41-50,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400015,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,24,국회전자도서관,資治通鑑綱目(及)續. 冊31-40,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400016,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,25,국회전자도서관,資治通鑑綱目(及)續. 冊51-60,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400014,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,26,국회전자도서관,資治通鑑綱目(及)續. 冊101-110,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201400020,1803,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,27,국회전자도서관,"鐵城聯芳集, 冊1-3",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040269,1804,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,28,국회전자도서관,"東國文獻, 元, 亨, 利, 貞",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1200500296,1804,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,29,국회전자도서관,"痘科彙編, 冊1-2",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198028898,1807,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,30,국회전자도서관,訥隱先生文集. 冊5-8,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201200148,1808,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,31,국회전자도서관,訥隱先生文集. 冊1-4,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198029895,1808,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,32,국회전자도서관,訥隱先生文集. 冊9-11,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1201200149,1808,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,33,국회전자도서관,"恒齋先生文集, 上, 中, 下",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040060,1808,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,34,국회전자도서관,"海東三綱錄, 冊1-7",https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1198040670,1809,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,35,국회전자도서관,崇禎百八十二年己巳元子誕降慶增廣司馬榜目,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000477,1810,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
,36,국회전자도서관,關西問答錄(幷)附錄,https://dl.nanet.go.kr/search/searchInnerDetail.do?searchType=INNER_SEARCH&resultType=INNER_SEARCH_DETAIL&searchMehtod=L&searchClass=S&controlNo=OLDP1000000200,1811,,,미부착,,개방 가능,만료공공저작물,,,O,,,,,만료저작물,
