Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22,Unnamed: 23
,대구광역시 수성구청 공공저작물 권리확인 대상 목록,,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,첨부파일,등록일,작성자,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고,
,20,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,방문판매업자의 신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,21,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,방문판매업자의 변경신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,22,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,방문판매업자의 휴.페업.영업재개신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,23,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,통신판매업자의 신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,24,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,통신판매업자의 변경신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,25,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,통신판매업자의 휴.페업.영업재개신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,26,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,전화권판매업자의 신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,27,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,전화권유판매업자의 변경신고,,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,28,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,"전화권유판매업자의 휴업,폐업,영업재개신고",,hwp ,2020.01.21,일자리경제과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,29,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,안경업소 개설등록,,hwp ,2017.07.26,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,30,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,약국개설등록,,hwp ,2022.03.21,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,31,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,약국등록사항변경신청,,hwp ,2022.03.21,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
,32,대구광역시 수성구청,HOME > 민원정보 > 종합안내 > 민원신청서식 및 편람,민원신청서식,의료기관개설신고및신고사항변경신고,,hwp ,2023.03.15,보건행정과,4유형,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,,
