Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 21,Unnamed: 22
,한국교육개발원 공공저작물 권리확인 요청 목록,,,,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,작성일/출판일,연구책임자/작성자,첨부파일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,17,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2018년 7호] 무엇이 교사의 직무 스트레스에 영향을 미치...,,2018-11-26 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,18,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2018년 8호] 미래지향적 대입제도 개선 방안,,2018-12-12 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,19,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 1호] 국민여론을 통해 본 학교교육, 자녀교육 그...",,2019-03-25 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,20,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 2호] 학습자 중심의 미래 교육환경에 대응하는 학...,,2019-03-29 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,21,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 3호] 농촌의 학생 수 감소, 현실 진단과 대응 방...",,2019-04-17 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,22,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 4호] 인구절벽시대, 학령인구감소에 어떻게 대응...",,2019-04-26 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,,O,,,,공동 저작물,
,23,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 5호] 성인학습자의 대학평생교육 수요,,2019-05-13 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,24,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 6호] 무엇이 교사를 열정적으로 만드는가?,,2019-05-17 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,,O,,,,제3자 저작물,
,25,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 7호] 대학 교원의 교육력, 어떻게 개발해야 하나",,2019-05-24 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,26,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 8호] 지난 10년간의 교육정책, 우리 중학생은 어...",,2019-06-17 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,27,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 9호] 교사전문성을 높이려면 어떻게 해야 하는가...,,2019-07-08 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,28,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 10호] 교육복지 거버넌스, 혁신이 필요하다!",,2019-07-17 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,29,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 11호] 한국의 중2, 잘 성장하려면 어떤 정책이 ...",,2019-08-01 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,30,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 12호] 교육환경 개선을 위해 학교시설 현황 데이...,,2019-08-12 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,31,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 13호] 미래인재 양성을 위한 학생의 핵심역량, 측...",,2019-08-23 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,32,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 14호] 한국의 중학교 교사가 인식하는 수업의 실...,,2019-09-10 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,33,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,"[KEDI Brief 2019년 15호] 국가장학금사업 이후, 고등교육재정 현황은...",,2019-09-18 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,,O,,,,공동 저작물,
,34,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 16호] 전문대학 학생과 교수의 상호작용 실태 분...,,2019-09-26 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,35,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 17호] 4년제 일반대학 교수-학생 간 상호작용의 ...,,2019-10-04 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
,36,한국교육개발원,HOME > 연구사업 > 연구자료 > KEDI Brief,KEDI Brief,[KEDI Brief 2019년 18호] 대학생의 학습 참여는 어떻게 이루어지고 ...,,2019-10-14 00:00:00,관리자,첨부파일,미부착,,개방 가능,공공누리 1유형,,,O,,,,,업무상 저작물,
