Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
,,,,,,,,합계,,641,,,,,원제목　,대체명,-,-,-,-,-,제작일　,공표일,-,저작권자명,소속,-,-,-,-,-,-,-,복제권,공연권,공중송신권,전시권,배포권,대여권,2차적저작물 작성권,-,저작권 만료일　,계약상 유효기간,-
,1,이미지,디자인,국립극장,별별스테이지,무대디자인,수궁가,"무대, 장치",2000-05-06 00:00:00,21,비표출,제3유형,유,-,수궁가,-,미술(응용미술),이미지,-,무대,한국어,-,2000-05-06 00:00:00,공공저작물이용동의서,박동우,홍익대학교 교수,-,국립극장,제3유형,저작물,보호저작물,X,상업적이용금지,○,X,○,○,○,○,X,-,-,-,-
,2,이미지,디자인,국립극장,별별스테이지,무대디자인,우루왕 (서울공연),"무대, 장치",2000-12-14 00:00:00,51,비표출,제3유형,유,-,우루왕 (서울공연),-,미술(응용미술),이미지,-,무대,한국어,-,2000-12-14 00:00:00,공공저작물이용동의서,박동우,홍익대학교 교수,-,국립극장,제3유형,저작물,보호저작물,X,상업적이용금지,○,X,○,○,○,○,X,-,-,-,-
,3,이미지,디자인,국립극장,별별스테이지,무대디자인,춘당춘색고금동,"무대, 장치",2001-04-20 00:00:00,6,비표출,제3유형,유,-,춘당춘색고금동,-,미술(응용미술),이미지,-,무대,한국어,-,2001-04-20 00:00:00,공공저작물이용동의서,박동우,홍익대학교 교수,-,국립극장,제3유형,저작물,보호저작물,X,상업적이용금지,○,X,○,○,○,○,X,-,-,-,-
,4,이미지,디자인,국립극장,별별스테이지,무대디자인,우루왕,"무대, 장치",2001-07-13 00:00:00,44,비표출,제3유형,유,-,우루왕,-,미술(응용미술),이미지,-,무대,한국어,-,2001-07-13 00:00:00,공공저작물이용동의서,박동우,홍익대학교 교수,-,국립극장,제3유형,저작물,보호저작물,X,상업적이용금지,○,X,○,○,○,○,X,-,-,-,-
,5,이미지,디자인,국립극장,별별스테이지,무대디자인,산불,"무대, 장치",2005-05-28 00:00:00,10,비표출,제3유형,유,-,산불,-,미술(응용미술),이미지,-,무대,한국어,-,2005-05-28 00:00:00,공공저작물이용동의서,박동우,홍익대학교 교수,-,국립극장,제3유형,저작물,보호저작물,X,상업적이용금지,○,X,○,○,○,○,X,-,-,-,-
,6,이미지,디자인,국립극장,별별스테이지,무대디자인,장충박피호 야유곡,소품,1983-08-30 00:00:00,16,비표출,제1유형,유,-,장충박피호 야유곡,-,미술(응용미술),이미지,-,무대,한국어,-,1983-08-30 00:00:00,공공저작물이용동의서,안정의,아라리 인형의 집 대표,-,국립극장,제1유형,저작물,보호저작물,X,상업적이용가능,○,○,○,○,○,○,○,-,-,-,-
,7,이미지,디자인,국립극장,별별스테이지,무대디자인,꿈하늘,의상,1987-03-18 00:00:00,21,비표출,제1유형,유,-,꿈하늘,-,미술(응용미술),이미지,-,무대,한국어,-,1987-03-18 00:00:00,공공저작물이용동의서,정경희,-,-,국립극장,제1유형,저작물,보호저작물,X,상업적이용가능,○,○,○,○,○,○,○,-,-,-,-
,8,이미지,디자인,국립극장,별별스테이지,무대디자인,들오리,의상,1987-06-21 00:00:00,13,비표출,제1유형,유,-,들오리,-,미술(응용미술),이미지,-,무대,한국어,-,1987-06-21 00:00:00,공공저작물이용동의서,정경희,-,-,국립극장,제1유형,저작물,보호저작물,X,상업적이용가능,○,○,○,○,○,○,○,-,-,-,-
,9,이미지,디자인,국립극장,별별스테이지,무대디자인,말괄량이 길들이기,의상,1988-02-26 00:00:00,16,비표출,제1유형,유,-,말괄량이 길들이기,-,미술(응용미술),이미지,-,무대,한국어,-,1988-02-26 00:00:00,공공저작물이용동의서,정경희,-,-,국립극장,제1유형,저작물,보호저작물,X,상업적이용가능,○,○,○,○,○,○,○,-,-,-,-
,10,이미지,디자인,국립극장,별별스테이지,무대디자인,팔곡 병풍,의상,1988-08-09 00:00:00,34,비표출,제1유형,유,-,팔곡 병풍,-,미술(응용미술),이미지,-,무대,한국어,-,1988-08-09 00:00:00,공공저작물이용동의서,정경희,-,-,국립극장,제1유형,저작물,보호저작물,X,상업적이용가능,○,○,○,○,○,○,○,-,-,-,-
,11,이미지,디자인,국립극장,별별스테이지,무대디자인,뇌우,의상,1988-10-16 00:00:00,16,비표출,제1유형,유,-,뇌우,-,미술(응용미술),이미지,-,무대,한국어,-,1988-10-16 00:00:00,공공저작물이용동의서,정경희,-,-,국립극장,제1유형,저작물,보호저작물,X,상업적이용가능,○,○,○,○,○,○,○,-,-,-,-
