Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,19,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 안성시청,"안성시청,.
Canon EOS 750D
Tokina 11-16mm f/2.8 (11mm)
2019/03/23 00:04~03:40",2019-03-24 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,20,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 박두진문학관,"박두진문학관
Canon EOS 100D
EF-S 18-55mm f/3.5-5.6 IS
2019/04/15 00:59~ 01:45

ㅡ 우측 아래 유난히 밝은 별의 움직임은 '목성'입니다.",2019-05-04 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,21,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 태양(2019년 5월 8일),"안성맞춤천문과학관 주망원경(지름 25cm 굴절망원경)
Canon EOS 6D
ISO 400, 1/800S
2019/05/08 11:40",2019-05-17 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,22,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 달(음력 10일),"안성맞춤천문과학관 주망원경(지름 25cm 굴절망원경)
Canon EOS 750D
ISO 800, 1/1000S
2019/06/12 21:22",2019-06-13 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,23,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 목성,"안성맞춤천문과학관 보조관측실
Meade LX200 16"" SCT
Morningcalm 700GE
QHY5L-mono
2019/05/25 01:16",2019-07-03 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,24,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 안성 극적루,"안성 극적루
Canon EOS 750D
Tokina 11-16mm f/2.8 (16mm)
2019/08/19 22:07~22:47",2019-08-22 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,25,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 안성목장과 마차부자리 일주,"안성 웅교리
Nikon D5300,
AF-P Nikkor 18-55mm f/3.5-5.6(18mm)
2019/08/20 02:44~03:09

ㅡ 마차부자리가 내려다보는 목장",2019-08-22 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,26,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 달 (음력 17일),"안성맞춤천문과학관 주망원경(지름 25cm 굴절망원경)
Canon EOS 6D
2019/09/15 21:45",2019-09-19 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,27,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 밤하늘을 보는 아이(조각),"안성맞춤랜드
Canon EOS 100D
EF-S 18-55mm f/3.5-5.6 IS
2019/09/24 20:31~20:40

ㅡ 공원에 있는 조각을 배경으로",2019-09-25 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,28,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,[천체사진] 정월대보름 보름달,"정월대보름 보름달 (월령 14.6)

안성맞춤천문과학관 주망원경(지름 25cm 굴절망원경)
Canon EOS 6D
2020/02/08 22:26",2020-02-09 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
,29,안성 문화관광,HOME > 안성맞춤천문과학관 > 포토갤러리,"[천체사진] [천문현상]금성과 M45 접근,.","안성 복평리
Canon EOS 6D
William Optics FLT-120 굴절망원경 (f=900mm)
Takahashi EM-200 Temma 2 pc 적도의

2020/04/03 20:42

ㅡ 금성과 플레이아데스 성단(M45, 황소자리 산개성단)의 접근",2020-04-06 00:00:00,0,1,0,제2유형,제1유형,촬영자의 동의서,
