Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,국립무형유산원 권리처리 목록 - 무형유산 디지털 아카이브 / 아리랑 아카이브,,,,,,,,,,,,,,,,,,
,순번,사이트명,카테고리,URL,이름,부제,설명,등록일,분류,소재지,기록대상,조사면담,범주,영상,도서,음원,사진,기존 공공누리 유형,비고
,16,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,염장,簾匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 염장은 가늘게 쪼갠 대나무나 갈대 등을 엮어서 발을 만드는 장인을 말한다. 2001년 국가무형문화재로 염장이 지정되었으며, 2004년 조대용 보유자의 실연을 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 발의 역사, 제작기법, 발 제작에 사용되는 다양한 문양, 전승현황 등이 담겨 있다.",2004,국가무형문화재,경남 통영,조대용 보유자,,공예 미술 등에 관한 전통기술 > 공예,1,1,0,376,4유형(임의지정),
,17,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,칠장,漆匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 칠장은 옻나무에서 채취하는 수액을 용도에 맞게 정제하여 기물에 칠하는 장인을 말한다. 2001년 국가무형문화재로 칠장이 지정되었으며, 2005년 정수화 보유자의 실연을 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 옷칠의 역사, 재료와 도구, 칠의 과정, 전승현황 등이 담겨 있다.",2005,국가무형문화재,"서울, 강원 원주",정수화 보유자,,공예 미술 등에 관한 전통기술 > 공예,1,1,0,267,4유형(임의지정),
,18,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,주철장,鑄鐵匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1994년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 주철장은 쇠를 녹여서 범종을 비롯한 각종 기물을 만드는 장인을 말하며, 2001년 국가무형문화재로 지정되었다. 2004년과 2012년에 원광식 보유자의 실연을 바탕으로 기록화 사업이 진행되었으며, 그 결과물인 기록영상과 기록도서에는 범종의 역사, 청동종의 재료와 제작과정, 전승활동 등이 담겨 있다.",2004/2012,국가무형문화재,충북 진천,원광식 보유자,,공예 미술 등에 관한 전통기술 > 공예,2,1,0,734,4유형(임의지정),
,19,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,사직대제,社稷大祭,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 사직대제는 조선의 통치 질서인 예와 악을 표상하는 상징적 제례로 땅의 신과 곡식의 신에게 드리는 국가적인 제사이다. 2000년 국가무형문화재로 지정되었으며, 2006년 이건웅 보유자와 보존회원들의 실연과 인터뷰를 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 사직대제의 역사, 제물, 의례, 전승현황 등이 담겨 있다.",2006,국가무형문화재,서울,"이건웅 보유자, 보존회원",,민간신앙 등 사회적 의식 > 그 밖의 의식·의례,1,1,0,303,4유형(임의지정),
,20,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,윤도장,輪圖匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1994년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 윤도는 남북방향을 가리키는 자석바늘을 이용하여 지관들이 풍수를 보거나 여행자들이 방향을 알기 위해 사용하는 나침반이다. 윤도장은 이 나침반을 제작하는 장인을 말하며 1996년 국가무형문화재로 지정되었다. 1998년 김종대 보유자의 윤도 제작 실연 및 인터뷰를 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 윤도의 역사, 제작도구와 재료, 제작과정, 전승현황 등이 담겨 있다.",1998,국가무형문화재,전북 고창,김종대 보유자,,공예 미술 등에 관한 전통기술 > 공예,1,1,0,253,4유형(임의지정),
,21,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,화각장,華角匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1993년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 화각은 쇠뿔을 얇게 갈아 투명하게 만든 판을 말하며, 이를 이용해서 공예품을 만드는 장인을 화각장이라고 한다. 1996년에 국가무형문화재로 지정되었으며, 2000년 이재만 보유자의 제작 실연 및 인터뷰를 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 화각의 유래, 종류, 도구, 제작기술, 전승현황 등이 담겨 있다.",2000,국가무형문화재,서울,이재만 보유자,,공예 미술 등에 관한 전통기술 > 공예,1,1,0,308,4유형(임의지정),
,22,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,목조각장,木彫刻匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 목조각장은 나무를 재료로 불상을 만드는 장인으로 1996년 국가무형문화재로 지정되었다. 2000년에는 박찬수 보유자, 2015년에는 전기만 보유자의 불상 제작 실연 및 인터뷰 내용을 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 목조각의 역사, 제작 도구, 제작과정, 전승현황 등이 담겨 있다.",2000/2015,국가무형문화재,"경기 여주, 충남 금산",박찬수 보유자(2000)/전기만 보유자(2015),,공예 미술 등에 관한 전통기술 > 미술,2,2,0,784,4유형(임의지정),
,23,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,누비장,縷緋匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 누비장은 옷감의 보온과 보강을 위해 여러 기법으로 옷을 누비는 장인이다. 1996년 국가무형문화재로 지정되었으며, 2007년 김해자 보유자의 누비 제작 실연 및 인터뷰를 바탕으로 누비장 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 누비의 종류, 도구, 제작기술, 전승형황 등이 담겨 있다.",2007,국가무형문화재,경북 경주,김해자 보유자,,공예 미술 등에 관한 전통기술 > 공예,1,1,0,671,4유형(임의지정),
,24,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,각자장,刻字匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 각자장은 나무나 돌 등 각종 재료에 글자를 새기는 장인으로 각수라고도 한다. 1996년에 국가무형문화재로 지정되었으며, 1999년 오옥진 보유자의 목판활자 제작 실연 및 인터뷰를 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 목활자의 역사, 재료, 제작공정, 전승현황 등이 담겨 있다.",1999,국가무형문화재,서울,오옥진 보유자,,공예 미술 등에 관한 전통기술 > 미술,1,1,0,254,4유형(임의지정),
,25,무형유산 디지털 아카이브,HOME > 자료분류별검색 > 국가무형문화재 기록화 > 기록영상/도서/사진,,사기장,沙器匠,"국립무형유산원에서는 무형문화재의 환경변화에 대응하고 체계적인 기록보존을 위해 1995년부터 국가무형문화재 기록화 사업을 진행하고 있다. 기록화 사업은 보유자(단체)의 기예능을 영상과 사진으로 상세히 기록하고 이를 기반으로 기록도서 발간을 추진한다. 사기장은 사토(沙土)를 주원료로 사기(자기)를 빚는 장인으로, 1996년 국가무형문화재로 지정되었다. 1999년 김정옥 보유자의 사기 제작 실연 및 인터뷰를 바탕으로 기록화 사업이 진행되었다. 그 결과물인 기록영상과 기록도서에는 그릇의 역사, 재료, 제작공정, 전승현황 등이 담겨 있다.",1999,국가무형문화재,경북 문경,김정옥 보유자,,공예 미술 등에 관한 전통기술 > 공예,1,1,0,248,4유형(임의지정),
