한국스포츠정책과학원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
39,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 2_P (3),"태권도_앞굽이, 몸통바로지르기 1",,0,1,0,미부착,제1유형,동의서 작성,
40,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 2_P (4),"태권도_앞굽이, 몸통바로지르기 2",,0,1,0,미부착,제1유형,동의서 작성,
41,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 2_P (5),"태권도_앞서기, 아래막기",,0,1,0,미부착,제1유형,동의서 작성,
42,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 2_P (6),태권도_앞차고 몸돌아 옆차기,,0,1,0,미부착,제1유형,동의서 작성,
43,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 2_P (7),"태권도_주춤서기, 옆지르기",,0,1,0,미부착,제1유형,동의서 작성,
44,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 2_P (8),"태권도_학다리서기, 금강내려막기",,0,1,0,미부착,제1유형,동의서 작성,
45,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 1_yang,체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
46,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (1),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
47,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (2),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
48,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (3),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
49,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (4),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
50,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (5),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
51,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (6),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
52,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (7),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
53,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (8),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
54,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (9),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
55,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (10),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
56,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (11),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
57,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (12),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
58,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (13),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
59,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (14),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
60,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (15),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
61,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (16),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
62,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 3_P (17),태권도_ 900도 뒤돌려차기,,0,1,0,미부착,제1유형,동의서 작성,
63,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (1),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
64,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (2),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
65,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (3),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
66,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (4),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
67,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (5),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
68,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (6),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
69,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (7),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
70,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (8),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
71,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (9),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
72,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (10),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
73,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (11),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
74,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (12),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
75,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (13),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
76,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (14),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
77,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (15),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
78,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (16),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
79,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (17),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
80,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (18),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
81,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (19),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
82,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_static (20),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
83,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (1),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
84,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (3),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
85,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (6),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
86,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (8),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
87,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (11),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
88,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (13),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
89,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (14),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
90,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (16),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
91,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (17),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
92,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (18),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
93,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (19),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
94,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 4_P (20),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
95,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (2),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
96,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (4),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
97,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (5),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
98,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (6),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
99,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (8),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
100,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (9),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
101,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (10),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
102,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (11),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
103,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (12),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
104,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (13),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
105,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (14),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
106,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (15),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
107,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (16),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
108,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (17),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
109,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (18),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
110,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (19),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
111,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (20),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
112,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_P (21),"태권도_앞굽이, 바로지르기",,0,1,0,미부착,제1유형,동의서 작성,
113,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_static (1),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
114,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 5_static (2),"태권도_정적 자세(앞굽이, 바로지르기)",,0,1,0,미부착,제1유형,동의서 작성,
115,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (1),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
116,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (2),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
117,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (3),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
118,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (4),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
119,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (5),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
120,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (6),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
121,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (7),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
122,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (8),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
123,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (9),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
124,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (10),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
125,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (11),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
126,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (12),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
127,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (13),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
128,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (14),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
129,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (15),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
130,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (17),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
131,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (18),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
132,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (19),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
133,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (20),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
134,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (21),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
135,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (23),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
136,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (24),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
137,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 2_HS (26),체조_물구나무서기,,0,1,0,미부착,제1유형,동의서 작성,
138,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (1),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
139,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (2),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
140,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (4),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
141,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (6),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
142,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (12),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
143,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (13),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
144,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (14),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
145,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (15),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
146,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (16),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
147,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (17),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
148,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (18),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
149,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (19),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
150,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 3_S (20),체조_안마 기술,,0,1,0,미부착,제1유형,동의서 작성,
151,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang static,체조_정적 자세(양학선 기술),,0,1,0,미부착,제1유형,동의서 작성,
152,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (1),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
153,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (2),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
154,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (3),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
155,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (4),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
156,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (5),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
157,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (6),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
158,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (8),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
159,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (9),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
160,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (10),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
161,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (11),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
162,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (12),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
163,한국스포츠정책과학원,기보유 데이터 아카이빙,gym 4_yang (13),체조_양학선 기술,,0,1,0,미부착,제1유형,동의서 작성,
164,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (1),걷기,,0,1,0,미부착,제1유형,동의서 작성,
165,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (3),걷기,,0,1,0,미부착,제1유형,동의서 작성,
166,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (9),걷기,,0,1,0,미부착,제1유형,동의서 작성,
167,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (16),걷기,,0,1,0,미부착,제1유형,동의서 작성,
168,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (19),걷기,,0,1,0,미부착,제1유형,동의서 작성,
169,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (22),걷기,,0,1,0,미부착,제1유형,동의서 작성,
170,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (23),걷기,,0,1,0,미부착,제1유형,동의서 작성,
171,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (28),걷기,,0,1,0,미부착,제1유형,동의서 작성,
172,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (30),걷기,,0,1,0,미부착,제1유형,동의서 작성,
173,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (31),걷기,,0,1,0,미부착,제1유형,동의서 작성,
174,한국스포츠정책과학원,기보유 데이터 아카이빙,walk (32),걷기,,0,1,0,미부착,제1유형,동의서 작성,
175,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 6_P (1),"태권도_앞서기, 아래막기",,0,1,0,미부착,제1유형,동의서 작성,
176,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 6_P (2),"태권도_앞서기, 아래막기",,0,1,0,미부착,제1유형,동의서 작성,
177,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 6_P (3),"태권도_앞서기, 아래막기",,0,1,0,미부착,제1유형,동의서 작성,
178,한국스포츠정책과학원,기보유 데이터 아카이빙,TKD 6_P (4),"태권도_앞서기, 아래막기",,0,1,0,미부착,제1유형,동의서 작성,
