대구광역시 수성구청 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
14,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,청솔로 이발소,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
15,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,희망로 열쇠집,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
16,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,범어청솔지구 재개발,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
17,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,범어청솔지구 재개발,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
18,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,범어1동,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
19,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,범어청솔지구 재개발,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
20,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,만촌동,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
21,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,만촌동 전봇대,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
22,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,파동 재개발지구,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
23,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,파동 재개발지구,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
24,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,파동 재개발지구,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
25,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,오래된 대문,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
26,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,고모역,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
27,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,고모역,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
28,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,수성못페스티벌,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
29,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,수성못페스티벌,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
30,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,들안길페스티벌,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
31,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,지산동 일대,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
32,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,수성구 전경,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
33,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 수성구는 지금,수성구 전경,"어김없이 과거가 될 오늘, 지금을 기록하는 행복수성 아카이브팀의 작업

다섯 명의 청년들이 수성구의 현재를 애정어린 시선으로 담았다. (2019)",2019,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
