대구광역시 수성구청 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
34,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,범어초 과학시간,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1998,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
35,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,교실 안(동문초),"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1994,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
36,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,"동원중에서 2군사령부 후문 사이, 경부선 철길 밑 굴다리","사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1992,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
37,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성못 통통배,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1990,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
38,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성못,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1985,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
39,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,시내전경,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1988,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
40,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,상여집,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
41,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,수성못 아이스링크장,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1999,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
42,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,대구어린이회관 견학,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1984,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
43,수성구청,HOME > 행복수성 > 구정홍보 > 근현대사 사진집(새 창) > 오래도록 간직하고픈 수성구 이야기 > 앨범 속 수성구를 찾다,대구어린이회관 미니청룡열차,"사라져가는 수성구의 모습을 기억하고자 수성구의 과거 사진을 공모 (2019)

수성구민들의 오래된 앨범 속에서 찾은 보석같은 사진들을 함께 들여다보자.",1989,0,1,0,미부착,개방불가,행복아카이브팀(5인)이 촬영한 사진으로서 촬영자와의 계약서를 보관하고 있지 않음.,
