한국영상자료원 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리 진입과정,파일명,형태,년도,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
40,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,박열,기증,2017,0,1,0,미부착,개방불가,없음,
41,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,택시운전사,기증,2017,0,1,0,미부착,개방불가,없음,
42,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,청년경찰,기증,2017,0,1,0,미부착,개방불가,없음,
43,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,보안관,기증,2017,0,1,0,미부착,개방불가,없음,
44,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,꿈의 제인,기증,2017,0,1,0,미부착,개방불가,없음,
45,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,성실한 나라의 앨리스,기증,2016,0,1,0,미부착,개방불가,없음,
46,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,오빠 생각,기증,2016,0,1,0,미부착,개방불가,없음,
47,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,소셜포비아,기증,2016,0,1,0,미부착,개방불가,없음,
48,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,날 보러와요,기증,2016,0,1,0,미부착,개방불가,없음,
49,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,"사이비, 돼지의 왕",기증,2016,0,1,0,미부착,개방불가,없음,
50,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,탐정 홍길동,기증,2016,0,1,0,미부착,개방불가,없음,
51,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,귀향,기증,2016,0,1,0,미부착,개방불가,없음,
52,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,무뢰한,기증/대여,2015,0,1,0,미부착,개방불가,없음,
53,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,마돈나,기증,2015,0,1,0,미부착,개방불가,없음,
54,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,김태형 콘티뉴이티 작가,기증/대여,2015,0,1,0,미부착,개방불가,없음,
55,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,명량,대여,2015,0,1,0,미부착,개방불가,없음,
56,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,기술자들,기증,2015,0,1,0,미부착,개방불가,없음,
57,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,한공주,대여,2015,0,1,0,미부착,개방불가,없음,
58,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,사도,기증,2015,0,1,0,미부착,개방불가,없음,
59,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,똥파리,기증,2015,0,1,0,미부착,개방불가,없음,
60,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,김유선 의상감독,기증,2015,0,1,0,미부착,개방불가,없음,
61,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,군도,기증,2014,0,1,0,미부착,개방불가,없음,
62,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,카트,기증,2014,0,1,0,미부착,개방불가,없음,
63,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,집으로 가는 길,기증,2014,0,1,0,미부착,개방불가,없음,
64,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,야간 비행,기증,2014,0,1,0,미부착,개방불가,없음,
65,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,하늘의 황금 마차,기증,2014,0,1,0,미부착,개방불가,없음,
66,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증된 영화유산,설국열차,대여,2014,0,1,0,미부착,개방불가,없음,
67,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,범죄도시2,기증,2022,0,1,0,미부착,개방불가,없음,
68,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,오마주,기증/대여,2022,0,1,0,미부착,개방불가,없음,
69,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,브로커,기증,2022,0,1,0,미부착,개방불가,없음,
70,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,남산의 부장들,기증,2021,0,1,0,미부착,개방불가,없음,
71,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,자산어보,기증,2021,0,1,0,미부착,개방불가,없음,
72,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,정직한 후보,기증,2021,0,1,0,미부착,개방불가,없음,
73,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,벌새,기증,2020,0,1,0,미부착,개방불가,없음,
74,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,야구소녀,기증,2020,0,1,0,미부착,개방불가,없음,
75,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,기생충,기증,2020,0,1,0,미부착,개방불가,없음,
76,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,극한직업,기증,2019,0,1,0,미부착,개방불가,없음,
77,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,독전,기증,2019,0,1,0,미부착,개방불가,없음,
78,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,"신과 함께：죄와 벌, 신과 함께：인과 연",기증,2019,0,1,0,미부착,개방불가,없음,
79,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,버닝,기증,2018,0,1,0,미부착,개방불가,없음,
80,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,인랑,기증,2018,0,1,0,미부착,개방불가,없음,
81,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,리틀 포레스트,기증,2018,0,1,0,미부착,개방불가,없음,
82,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,범죄도시,기증,2018,0,1,0,미부착,개방불가,없음,
83,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,불한당：나쁜 놈들의 세상,기증,2018,0,1,0,미부착,개방불가,없음,
84,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,공작,기증,2018,0,1,0,미부착,개방불가,없음,
85,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,인어공주,기증,2018,0,1,0,미부착,개방불가,없음,
86,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,택시운전사,기증,2017,0,1,0,미부착,개방불가,없음,
87,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,명량,대여,2015,0,1,0,미부착,개방불가,없음,
88,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,군도：민란의 시대,기증,2014,0,1,0,미부착,개방불가,없음,
89,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,아저씨,기증,2012,0,1,0,미부착,개방불가,없음,
90,한국영상자료원,HOME > 한국영화박물관 > 영화관 옆 박물관 > 기증품 전시,달콤한 인생,기증,2012,0,1,0,미부착,개방불가,없음,
91,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<달려라 장미> 본편 35mm 프린트 필름,기증,2021-01-04 00:00:00,0,1,0,미부착,개방불가,없음,
92,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<지구를 지켜라!> 등 국내개봉 영화 전단,기증,2021-01-04 00:00:00,0,1,0,미부착,개방불가,없음,
93,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<동백아가씨> 김기 감독 사용 대본,기증,2021-01-22 00:00:00,0,1,0,미부착,개방불가,없음,
94,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,도서 『케이사운드 라이브러리 사운드 마스터 기록집 새김』,기증,2021-01-22 00:00:00,0,1,0,미부착,개방불가,없음,
95,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"<만추>(이만희, 1966) 시나리오와 녹음대본",기증,2021-01-26 00:00:00,0,1,0,미부착,개방불가,없음,
96,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<시> 오디션 DV 테이프,기증,2021-01-26 00:00:00,0,1,0,미부착,개방불가,없음,
97,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<양귀례 할머니> 영화 필름 본편 16mm 오리지널 네가 필름,기증,2021-01-27 00:00:00,0,1,0,미부착,개방불가,없음,
98,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<남산의 부장들> 김규평(이병현) 의상 정장세트,기증,2021-01-27 00:00:00,0,1,0,미부착,개방불가,없음,
99,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<남산의 부장들> 뉴욕데일리 신문 소품,기증,2021-01-31 00:00:00,0,1,0,미부착,개방불가,없음,
100,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<무뢰한> 혜경(전도연) 의상,기증,2021-02-01 00:00:00,0,1,0,미부착,개방불가,없음,
101,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<한공주> 한공주(천우희) 캐리어,기증,2021-02-05 00:00:00,0,1,0,미부착,개방불가,없음,
102,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,TBC 라디오 <유쾌한 샐러리맨> 녹음 현장 사진,기증,2021-02-10 00:00:00,0,1,0,미부착,개방불가,없음,
103,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,『제19회 부천국제판타스틱영화제 페스티벌 가이드』 팸플릿 등,기증,2021-02-15 00:00:00,0,1,0,미부착,개방불가,없음,
104,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<올드보이> 본편 35mm 프린트 필름,기증,2021-02-22 00:00:00,0,1,0,미부착,개방불가,없음,
105,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"<소공녀> 미소(이솜) 글렌피딕 병, 잔",기증,2021-02-23 00:00:00,0,1,0,미부착,개방불가,없음,
106,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<장사리 : 잊혀진 영웅들> 민호(최성필) 의상 세트,기증,2021-02-23 00:00:00,0,1,0,미부착,개방불가,없음,
107,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<벽> 본편 16mm 프린트 필름,기증,2021-03-02 00:00:00,0,1,0,미부착,개방불가,없음,
108,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,애니메이터 강광신 싸인,기증,2021-03-03 00:00:00,0,1,0,미부착,개방불가,없음,
109,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"<거경전>(방한준, 1944) 상영 전단",기증,2021-03-08 00:00:00,0,1,0,미부착,제1유형,저작권 보호기간 만료,
110,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"SFCC AWARD 2008 ""Crossing"" 트로피",기증,2021-03-11 00:00:00,0,1,0,미부착,개방불가,없음,
111,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"<설국열차>(봉준호, 2013) 개봉 기념 굿즈",기증,2021-03-12 00:00:00,0,1,0,미부착,개방불가,없음,
112,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<로보트 태권브이>(김청기) 시리즈 콘티,기증,2021-03-15 00:00:00,0,1,0,미부착,개방불가,없음,
113,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,BOLEX 18-5L SUPER 8mm 영사기,기증,2021-03-15 00:00:00,0,1,0,미부착,개방불가,없음,
114,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,일본 무성영화 <霧隱才藏>(미상) 16mm 복원 필름,기증,2021-03-22 00:00:00,0,1,0,미부착,개방불가,없음,
115,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<칠수와 만수> 작업일지 등 제작실무자료,기증,2021-03-22 00:00:00,0,1,0,미부착,개방불가,없음,
116,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<카트> 동준(김강우) 의상,기증,2021-03-24 00:00:00,0,1,0,미부착,개방불가,없음,
117,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<연애놀이> 원화작화지,기증,2021-03-24 00:00:00,0,1,0,미부착,개방불가,없음,
118,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"<""독립영화 관객을 만나다""> 팸플릿",기증,2021-04-08 00:00:00,0,1,0,미부착,개방불가,없음,
119,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<아리랑> 주제가 유성기 음반,기증,2021-04-16 00:00:00,0,1,0,미부착,개방불가,없음,
120,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<친구> 디지털시네마,기증,2021-04-22 00:00:00,0,1,0,미부착,개방불가,없음,
121,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<낙원의 밤> 시나리오북,기증,2021-04-23 00:00:00,0,1,0,미부착,개방불가,없음,
122,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"연극 <부활>(1969) 배우 최은희, 최수민 사진",기증,2021-05-03 00:00:00,0,1,0,미부착,개방불가,없음,
123,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<패싸움> VHS,기증,2021-05-13 00:00:00,0,1,0,미부착,개방불가,없음,
124,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"영화 <유관순>(윤봉춘, 1959) 육필 시나리오",기증,2021-05-21 00:00:00,0,1,0,미부착,개방불가,없음,
125,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<슈퍼 태권브이> 포스터,기증,2021-05-24 00:00:00,0,1,0,미부착,개방불가,없음,
126,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<돌아오지 않은 밀사> 신상옥 감독 사진,기증,2021-05-24 00:00:00,0,1,0,미부착,개방불가,없음,
127,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<안나 카레니나> 외화 전단지,기증,2021-05-26 00:00:00,0,1,0,미부착,개방불가,없음,
128,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<우리집> 등 국내개봉 영화전단,기증,2021-06-04 00:00:00,0,1,0,미부착,개방불가,없음,
129,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,영화진흥위원회 소장 영화관련 스틸 디지털 스캔 파일,기증,2021-06-07 00:00:00,0,1,0,미부착,개방불가,없음,
130,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<인무가인> 포스터,기증,2021-06-09 00:00:00,0,1,0,미부착,개방불가,없음,
131,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,미국영화 <명금 The Broken Coin>(1915) 기념 주화,기증,2021-06-11 00:00:00,0,1,0,미부착,개방불가,없음,
132,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<천막도시> 16mm 프린트 필름,기증,2021-06-11 00:00:00,0,1,0,미부착,개방불가,없음,
133,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,제11회 부산국제영화제 메인 카탈로그,기증,2021-06-14 00:00:00,0,1,0,미부착,개방불가,없음,
134,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<자산어보> 정약전(설경구) 한복 의상 세트,기증,2021-06-18 00:00:00,0,1,0,미부착,개방불가,없음,
135,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<전쟁과 인간> 디지털 시네마,기증,2021-06-29 00:00:00,0,1,0,미부착,개방불가,없음,
136,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,1980년대 프랑스문화원 발간잡지 ≪Gazette du CINAMA≫,기증,2021-07-02 00:00:00,0,1,0,미부착,개방불가,없음,
137,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<형사> 디지털시네마,기증,2021-07-21 00:00:00,0,1,0,미부착,개방불가,없음,
138,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<오발탄> 배리어프리버전 디지털시네마,기증,2021-07-23 00:00:00,0,1,0,미부착,제1유형,저작권 보호기간 만료,
139,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<비천괴수> 디지털시네마,기증,2021-08-02 00:00:00,0,1,0,미부착,개방불가,없음,
140,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<성 베드로 The Big Fisherman> 70mm 프린트 필름과 하드케이스,기증,2021-08-03 00:00:00,0,1,0,미부착,제1유형,저작권 보호기간 만료,
141,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<자산어보> 감독 사인본 시나리오북,기증,2021-08-04 00:00:00,0,1,0,미부착,개방불가,없음,
142,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<늘샘천축국뎐> 포스터,기증,2021-08-24 00:00:00,0,1,0,미부착,개방불가,없음,
143,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<용산337가지로 표현하기_매삼화> 디지털시네마,기증,2021-08-24 00:00:00,0,1,0,미부착,개방불가,없음,
144,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,1990~2000년대 국내 극장 영화 티켓,기증,2021-08-27 00:00:00,0,1,0,미부착,개방불가,없음,
145,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<스와니-1989 아세아스와니 원정투쟁의 기록> 디지털 시네마,기증,2021-09-01 00:00:00,0,1,0,미부착,개방불가,없음,
146,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<나이트 크롤러> 한정판 블루레이,기증,2021-09-02 00:00:00,0,1,0,미부착,개방불가,없음,
147,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,아마추어 영화평론 모임 <씨네 22> 간행물,기증,2021-09-02 00:00:00,0,1,0,미부착,개방불가,없음,
148,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,영화 관련 원서,기증,2021-09-07 00:00:00,0,1,0,미부착,개방불가,없음,
149,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<마스라카> 오리지널 네가 및 사운드 필름과 시나리오,기증,2021-09-08 00:00:00,0,1,0,미부착,개방불가,없음,
150,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<용사왕> 디지털 시네마,기증,2021-09-16 00:00:00,0,1,0,미부착,개방불가,없음,
151,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,1980년대 독일영화 연구를 위한 동인회 잡지 ≪동서문화회보≫,기증,2021-09-20 00:00:00,0,1,0,미부착,개방불가,없음,
152,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<독도> 원동화지,기증,2021-09-24 00:00:00,0,1,0,미부착,개방불가,없음,
153,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<시발> 등 영화 필름과 누에영화제 팸플릿,기증,2021-09-25 00:00:00,0,1,0,미부착,개방불가,없음,
154,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<천년여우 여우비> 35mm 프린트 필름,기증,2021-09-26 00:00:00,0,1,0,미부착,개방불가,없음,
155,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<취화선> 35mm 프린트 필름,기증,2021-09-27 00:00:00,0,1,0,미부착,개방불가,없음,
156,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,이용민 감독 디렉터스 체어,기증,2021-10-09 00:00:00,0,1,0,미부착,개방불가,없음,
157,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,한국영화제작자 다큐멘터리 촬영본 및 정리원고,기증,2021-10-26 00:00:00,0,1,0,미부착,개방불가,없음,
158,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,"박남옥 감독 친필 편지, <세친구> 스토리보드, <여섯개의 시선> 필름 등",기증,2021-10-28 00:00:00,0,1,0,미부착,개방불가,없음,
159,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,HDCAM 7점,기증,2021-11-01 00:00:00,0,1,0,미부착,개방불가,없음,
160,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<황금의 무법자> 35mm 예고편 프린트 필름,기증,2021-11-08 00:00:00,0,1,0,미부착,개방불가,없음,
161,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<단속평형> 35mm 오리지널 네가 필름,기증,2021-11-09 00:00:00,0,1,0,미부착,개방불가,없음,
162,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,<벌새> 일본판 팸플릿,기증,2021-12-07 00:00:00,0,1,0,미부착,개방불가,없음,
163,한국영상자료원,HOME > 고객서비스 > 기증 > 기증자료관,아리플렉스 35mm 카메라,기증,2022-01-03 00:00:00,0,1,0,미부착,개방불가,없음,
