국립극장 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
39,별별스테이지,홍보물제작,창극 배비장전 홍보인쇄물 제작,T1404115982800,2014-04-04,0,0,1,미부착,개방불가,없음,
40,별별스테이지,홍보물제작,창극 장화홍련 홍보인쇄물 제작,T1403115605700,2014-03-28,0,0,1,미부착,개방불가,없음,
41,별별스테이지,홍보물제작,국립창극단 숙영낭자전 홍보인쇄물 제작,T1402113390400,2014-02-07,0,0,1,미부착,개방불가,없음,
42,별별스테이지,홍보물제작,국립국악관현악단 <국립극장 제야음악회 2013> 홍보인쇄물 제작,T1312112148100,2013-12-27,0,0,1,미부착,개방불가,없음,
43,별별스테이지,홍보물제작,제3기 국립극장 국가브랜드공연 단테의 신곡 홍보인쇄물 제작 계약,2013120130300,2013-11-18,0,0,1,미부착,개방불가,없음,
44,별별스테이지,홍보물제작,국립국악관현악단 <파트 오브 네이처> 홍보인쇄물 제작비 지급 ,T1311108913300,2013-11-13,0,0,1,미부착,개방불가,없음,
45,별별스테이지,홍보물제작,국립창극단 배비장전 홍보인쇄물 제작 계약요청,T1311108298200,2013-11-12,0,0,1,미부착,개방불가,없음,
46,별별스테이지,홍보물제작,2013-2014 국립레퍼토리시즌 홍보인쇄물 제작,2013103871800,2013-10-15,0,0,1,미부착,개방불가,없음,
47,별별스테이지,홍보물제작,국립창극단 앵콜 창극 서편제 홍보인쇄물 제작 계약요청,T1308104419000,2013-08-23,0,0,1,미부착,개방불가,없음,
48,별별스테이지,홍보물제작,국립창극단 하반기 완창판소리 홍보인쇄물 제작 계약요청,T1308104408800,2013-08-23,0,0,1,미부착,개방불가,없음,
49,별별스테이지,홍보물제작,국립창극단 < 내 이름은 오동구> 홍보물제작 계약 ,T1306101707200,2013-05-24,0,0,1,미부착,개방불가,없음,
50,별별스테이지,홍보물제작,"국립무용단 레퍼토리 <그대, 논개여> 공연 홍보인쇄물 제작",T1305099086801,2013-05-07,0,0,1,미부착,개방불가,없음,
51,별별스테이지,홍보물제작,2013 공연예술박물관 기획전시 홍보발간물 제작,2013050150500,2013-05-01,0,0,1,미부착,개방불가,없음,
52,별별스테이지,홍보물제작,국립창극단 메디아 홍보인쇄물 제작 계약요청,T1306101504900,2013-04-25,0,0,1,미부착,개방불가,없음,
53,별별스테이지,홍보물제작,국립창극단 신작 서편제 홍보인쇄물 제작,2013032620400,2013-03-13,0,0,1,미부착,개방불가,없음,
54,별별스테이지,홍보물제작,국립무용단 안무가초청프로젝트 <단> 공연 홍보물 제작,T1303095860500,2013-02-22,0,0,1,미부착,개방불가,없음,
55,별별스테이지,홍보물제작,국립창극단 장화홍련 홍보인쇄물 제작,2012121112800,2012-12-03,0,0,1,미부착,개방불가,없음,
56,별별스테이지,홍보물제작,2012 세계국립극장페스티벌 홍보 인쇄물(개별) 제작 계약요청,2012102898700,2012-10-02,0,0,1,미부착,개방불가,없음,
57,별별스테이지,홍보물제작,국립무용단 <도미부인> 공연 홍보 인쇄물 제작비,T1208085504800,2012-08-27,0,0,1,미부착,개방불가,없음,
58,별별스테이지,홍보물제작,국립무용단 레퍼토리 시즌Ⅰ 인쇄 홍보물 제작,T1204079504500,2012-04-25,0,0,1,미부착,개방불가,없음,
59,별별스테이지,홍보물제작,2012 정오의 음악회 인쇄홍보물 제작,T1202076293300,2012-02-23,0,0,1,미부착,개방불가,없음,
60,별별스테이지,홍보물제작, 화선 김홍도  홍보 인쇄물,T1110068450700,2011-10-14,0,0,1,미부착,개방불가,없음,
61,별별스테이지,홍보물제작,2011 세계국립극장페스티벌 사전홍보 인쇄물 제작 계약,2011070384700,2011-07-05,0,0,1,미부착,개방불가,없음,
62,별별스테이지,홍보물제작,2011년 여우락페스티벌 홍보인쇄물 제작,T1106062888800,2011-06-24,0,0,1,미부착,개방불가,없음,
63,별별스테이지,홍보물제작,국립무용단 <소울해바라기> 네덜란드 벨기에 수교기념공연 홍보인쇄물 제작,T1105061641500,2011-05-24,0,0,1,미부착,개방불가,없음,
64,별별스테이지,홍보물제작,국립국악관현악단 기획공연 <엄마와 함께하는 국악보따리> 홍보인쇄물 제작,T1104059928200,2011-04-19,0,0,1,미부착,개방불가,없음,
65,별별스테이지,홍보물제작,국립국악관현악단 제54회 정기연주회 <어부사시사> 홍보인쇄물 제작,T1104059623300,2011-04-13,0,0,1,미부착,개방불가,없음,
66,별별스테이지,홍보물제작,2011년 토요문화광장 홍보인쇄물 제작 ,T1104059616700,2011-04-13,0,0,1,미부착,개방불가,없음,
67,별별스테이지,홍보물제작,국립무용단 기획공연 프린세스 콩쥐 홍보인쇄물 제작,2011034000900,2011-03-23,0,0,1,미부착,개방불가,없음,
68,별별스테이지,홍보물제작,국립국악관현악단 기획공연 <뛰다 튀다 타다> 홍보인쇄물 제작,T1103057856400,2011-03-10,0,0,1,미부착,개방불가,없음,
69,별별스테이지,홍보물제작,국립창극단 완창판소리 홍보인쇄물 제작,2011031305100,2011-03-09,0,0,1,미부착,개방불가,없음,
70,별별스테이지,홍보물제작,국립국악관현악단 상설연주회 <사랑방 음악회> 홍보인쇄물 제작,T1103057703000,2011-03-08,0,0,1,미부착,개방불가,없음,
71,별별스테이지,홍보물제작,2011 설날특별공연 <토끼전> 홍보인쇄물 제작,T1101056494500,2011-01-31,0,0,1,미부착,개방불가,없음,
72,별별스테이지,홍보물제작,2011 국립극장 설축제 <남산위의 까치 설맞이> 홍보인쇄물 제작 ,T1101056375000,2011-01-27,0,0,1,미부착,개방불가,없음,
73,별별스테이지,홍보물제작,국립국악관현악단 정오의 음악회 홍보인쇄물 제작,2011011064700,2011-01-17,0,0,1,미부착,개방불가,없음,
