국립대전현충원 공공저작물 권리처리 대상 목록,,,,,,,,,,,,
순번,사이트명,게시판 진입 과정,게시물 제목,설명,날짜,영상,사진,문서,기존 공공누리 유형,최종 유형,계약서 유무,비고
27,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대한민국상이군경회 대전광역시지부 참배 (09. 4. 27.),,2009-04-27 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
28,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,충청남도교육감 취임참배(09. 4. 30.),,2009-04-30 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
29,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,민원만족도 제고를 위한 실천 결의대회 (09. 5. 1.),,2009-05-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
30,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,보훈교육연구원 국가유공자 교육과정 현충탑 참배 (09. 5. 7.),,2009-05-07 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
31,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,서울지방보훈청 직원 현충탑 참배 (09. 5. 14.),,2009-05-14 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
32,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,대전지방검찰청 논산지청장 참배 (09. 5. 22.),,2009-05-22 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
33,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,국립대전현충원 권율정 원장 취임참배 (09. 5. 25.),,2009-05-26 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
34,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,고엽제전우회 대전광역시지부장 윤영호 참배 (09. 6. 1.),,2009-06-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
35,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,한남대학교 총장 김형태 참배 (09. 6. 1.),,2009-06-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
36,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,중소기업청장 홍석우 참배 (09. 6. 1.),,2009-06-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
37,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,숭고한 보훈정신 함양을 위한 실천 결의대회 (09. 6. 1.),,2009-06-01 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
38,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 3.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
39,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 3.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
40,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 4.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
41,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 4.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
42,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 4.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
43,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 4.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
44,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 4.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
45,국립대전현충원,HOME > 미디어 현충원 > E-홍보관 > 포토갤러리 > 참배행사,제54회 현충일 참배 (09. 6. 5.),,2009-06-10 00:00:00,0,1,0,미부착,제4유형,사진 촬영 직원의 동의서,
