순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
1,어문,교육,서울시립과학관,오프라인컨텐츠,교구,더부룩 마블 ,"3대 영양소의 종류와 그 소화기작을 알고, 소화효소의 명칭을 게임을 통해 즐겁게 외워본다.",2018,1,비표출,제3유형,무,,더부룩 마블 ,,어문,오프라인,,교육,한국어,2018,,,서울시립과학관,,,,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,,2088,,
2,어문,교육,서울시립과학관,오프라인컨텐츠,교구,Animal 볼까?,동물의 눈으로 세상을 보는 체험을 해볼 수 있는 키트를 제작하여 과학적 호기심을 자극하고 눈에 대한 이해를 돕는다.,2020,1,비표출,제3유형,유,,Animal 볼까?,,어문,오프라인,,교육,한국어,2020,,,서울시립과학관,,,,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,,2090,,
3,어문,교육,서울시립과학관,오프라인컨텐츠,교구,무지개 팝업 ,"빛의 성질인 굴절, 반사의 원리를 이해하고, 전반사의 원리를 알아본다. 실습을 통해 전반사의 원리를 이해한다.",2023,1,비표출,제3유형,유,,무지개 팝업 ,,어문,오프라인,,교육,한국어,2023,,,서울시립과학관,,,,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,,2093,,
4,어문,교육,서울시립과학관,오프라인컨텐츠,교구,스타워치,,2024,1,비표출,제3유형,유,,스타워치,,어문,오프라인,,교육,한국어,2024,,,서울시립과학관,,,,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,,2094,,
5,어문,교육,서울시립과학관,오프라인컨텐츠,교구,덜 떨어지는 법,,2018,1,비표출,제3유형,유,,덜 떨어지는 법,,어문,오프라인,,교육,한국어,2018,,,서울시립과학관,,,,제3유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,X,,2088,,
6,어문,교육,서울시립과학관,오프라인컨텐츠,교구,로봇의 구조 : 생물의 관절,,2024,1,비표출,제1유형,유,,로봇의 구조 : 생물의 관절,,어문,오프라인,,교육,한국어,2024,,,서울시립과학관,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094,,
7,어문,교육,서울시립과학관,오프라인컨텐츠,교구,"Ai, 그리고 ARTBOT",,2024,1,비표출,제1유형,유,,"Ai, 그리고 ARTBOT",,어문,오프라인,,교육,한국어,2024,,,서울시립과학관,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2094,,
