한국지역정보개발원(KLID) 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리 진입과정,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
31,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,ICT를 통한 일자리 창출 방안 연구,,2011-01-26 00:00:00,0,0,1,미부착,개방불가,없음,
32,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,한국의 지역정보화 추진과 성과 : 지역정보화추진과정과 사례를 중심으로,,2011-03-11 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
33,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,모바일 지역정보서비스추진전략 연구,,2011-03-11 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
34,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,무인민원발급창구 운영관리체계 개선방안 연구,,2011-10-26 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
35,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 소셜미디어 활용방안 연구,,2011-10-26 00:00:00,0,0,1,미부착,개방불가,없음,
36,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지역정보화백서 추진방안 연구,,2012-02-01 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
37,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지역정보통합센터 시범구축 방안 연구,,2012-02-01 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
38,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 개인정보보호 자치법규 개선방안 연구,,2012-02-01 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
39,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,미래형 지역정보화의 가치와 추진전략에 관한 연구,,2012-02-01 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
40,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지역정보시스템 성과평가를 통한 일몰제 도입방안 연구,,2012-08-03 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
41,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,소프트웨어 라이선스 계약관리 방안 연구,,2012-08-03 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
42,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,소셜미디어의 활용실패 및 극복사례 연구,,2012-08-03 00:00:00,0,0,1,미부착,개방불가,없음,
43,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,2011년 정보화마을 운영평가(2011.09.),,2012-09-20 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
44,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,정보화마을 특성별 발전방안 (2008.12),,2012-09-21 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
45,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,서비스수준협약 기반의 정보화 서비스 만족도 향상 방안,,2012-10-23 00:00:00,0,0,1,미부착,개방불가,없음,
46,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,KLID 2012년 하반기 연구과제물 게시,,2013-01-29 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
47,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,KLID 2013년 하반기 연구과제물 게시,,2014-01-28 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
48,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,"The Study on the Implementation of System Replacement, Adoption and Operation",,2014-04-02 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
49,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,Building 3D Geospatial Information using Detailed Address Data for Activation of Road Name Address,,2014-04-02 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
50,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,Big Data for Building Governance of Local Government’s Disaster and Safety Management,,2014-04-02 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
51,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,Preparing Local Government to Open Public Data:Examining Open Government Data Law and Making Municip,,2014-04-02 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
52,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,KLID 2014년 연구과제물 게시,,2015-02-03 00:00:00,0,0,1,미부착,개방불가,없음,
53,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 소셜미디어 활용 현황과 발전방안 연구,,2015-09-07 00:00:00,0,0,1,미부착,개방불가,없음,
54,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 발전을 위한 창조적 정보화 조직 모델 연구,,2016-01-25 00:00:00,0,0,1,미부착,개방불가,없음,
55,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 빅데이터 활용 관점에서 본 데이터 권리관계에 관한 법제도 연구,,2016-01-25 00:00:00,0,0,1,미부착,개방불가,없음,
56,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,자치단체 보안인식 제고를 위한 보안윤리 지수개발 연구,,2016-01-25 00:00:00,0,0,1,미부착,개방불가,없음,
57,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,전자정부 서비스 전달채널 개선방안 연구,,2016-01-26 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
58,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,사용자 중심의 공공데이터 경제적 가치 측정모델 개발 및 적용 연구,,2017-04-18 00:00:00,0,0,1,미부착,제1유형,업무상저작물,
59,한국지역정보개발원,HOME > 지식마당 > 디지털정책자료 > 정책연구,지방자치단체 스마트워크 업무환경 분석 및 대안연구,,2017-04-18 00:00:00,0,0,1,미부착,개방불가,없음,
