순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
15,영상,예술,국제방송교류재단,아리랑국제방송,TV,[Arirang Special; Three Colors of Spring Part.2 Folk] Yeoyu and Seolbin(여유와 설빈) _ Full Episode,Arirang Special,2024-04-13 00:00:00,1,미부착,제4유형,무,,[Arirang Special; Three Colors of Spring Part.2 Folk] Yeoyu and Seolbin(여유와 설빈) _ Full Episode,,영상,영상,,방송,영어/한국어,,2024-04-13 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-04-13 00:00:00,,
16,영상,예술,국제방송교류재단,아리랑국제방송,TV,[Arirang Special; Three Colors of Spring Part.1 Jazz]  Park Kihun(박기훈)_Full Episode,Arirang Special,2024-04-06 00:00:00,1,미부착,제4유형,무,,[Arirang Special; Three Colors of Spring Part.1 Jazz]  Park Kihun(박기훈)_Full Episode,,영상,영상,,방송,영어/한국어,,2024-04-06 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2094-04-06 00:00:00,,
17,영상,예술,국제방송교류재단,아리랑국제방송,TV,Reflections on 2023 Part. 2 Top issues of the year chosen by experts and outlook for 2024,Arirang Special,2023-12-29 00:00:00,1,미부착,제1유형,무,,Reflections on 2023 Part. 2 Top issues of the year chosen by experts and outlook for 2024,,영상,영상,,방송,영어/한국어,,2023-12-29 00:00:00,,국제방송교류재단,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2093-12-29 00:00:00,,
18,영상,예술,국제방송교류재단,아리랑국제방송,TV,Reflections on 2023 Part. 1 Top issues of the year chosen by the hosts of Arirang TV,Arirang Special,2023-12-28 00:00:00,1,미부착,제1유형,무,,Reflections on 2023 Part. 1 Top issues of the year chosen by the hosts of Arirang TV,,영상,영상,,방송,영어/한국어,,2023-12-28 00:00:00,,국제방송교류재단,,,,제1유형,저작물,보호저작물,○,상업적이용가능,○,○,○,○,○,○,○,,2093-12-28 00:00:00,,
19,영상,예술,국제방송교류재단,아리랑국제방송,TV,Hipstagram - Episode2: Gunsan & Yesan with NINE.i,Arirang Special,2023-12-06 00:00:00,1,미부착,제4유형,무,,Hipstagram - Episode2: Gunsan & Yesan with NINE.i,,영상,영상,,방송,영어/한국어,,2023-12-06 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-12-06 00:00:00,,
20,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,EP 10. ILY:1 at Jeonju,DanstarGram On The Road,2023-11-10 00:00:00,1,미부착,제4유형,무,,EP 10. ILY:1 at Jeonju,,영상,영상,,방송,영어/한국어,,2023-11-10 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-10 00:00:00,,
21,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep 9. DRIPPIN in Buyeo,DanstarGram On The Road,2023-11-03 00:00:00,1,미부착,제4유형,무,,Ep 9. DRIPPIN in Buyeo,,영상,영상,,방송,영어/한국어,,2023-11-03 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-11-03 00:00:00,,
22,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep 8. HashTag in Andong,DanstarGram On The Road,2023-10-27 00:00:00,1,미부착,제4유형,무,,Ep 8. HashTag in Andong,,영상,영상,,방송,영어/한국어,,2023-10-27 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-10-27 00:00:00,,
23,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep 7. YOUNITE at Muju,DanstarGram On The Road,2023-10-20 00:00:00,1,미부착,제4유형,무,,Ep 7. YOUNITE at Muju,,영상,영상,,방송,영어/한국어,,2023-10-20 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-10-20 00:00:00,,
24,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep 6. OnlyOneOf at Busan,DanstarGram On The Road,2023-10-13 00:00:00,1,미부착,제4유형,무,,Ep 6. OnlyOneOf at Busan,,영상,영상,,방송,영어/한국어,,2023-10-13 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-10-13 00:00:00,,
25,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep 5. K-tigers in Jecheon,DanstarGram On The Road,2023-09-01 00:00:00,1,미부착,제4유형,무,,Ep 5. K-tigers in Jecheon,,영상,영상,,방송,영어/한국어,,2023-09-01 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-09-01 00:00:00,,
26,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep 4. DKB in Paju,DanstarGram On The Road,2023-08-25 00:00:00,1,미부착,제4유형,무,,Ep 4. DKB in Paju,,영상,영상,,방송,영어/한국어,,2023-08-25 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-08-25 00:00:00,,
27,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep.3 BLITZERS in Mokpo,DanstarGram On The Road,2023-08-18 00:00:00,1,미부착,제4유형,무,,Ep.3 BLITZERS in Mokpo,,영상,영상,,방송,영어/한국어,,2023-08-18 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-08-18 00:00:00,,
28,영상,관광/축제,국제방송교류재단,아리랑국제방송,TV,Ep.2 E’LAST at Gangneung,DanstarGram On The Road,2023-08-11 00:00:00,1,미부착,제4유형,무,,Ep.2 E’LAST at Gangneung,,영상,영상,,방송,영어/한국어,,2023-08-11 00:00:00,,국제방송교류재단,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2093-08-11 00:00:00,,
