순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
15,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,아이젠하워 미 대통령 이승만 대통령 접견,2012이승만2차_2249.jpg,1954,1,비표출,제4유형,유,,아이젠하워 미 대통령 이승만 대통령 접견,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
16,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 태평양 국립묘지 헌화,2012이승만2차_2250.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 태평양 국립묘지 헌화,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
17,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 태평양 국립묘지 방문,2012이승만2차_2251.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 태평양 국립묘지 방문,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
18,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,인사를 나누는 이승만 대통령,2012이승만2차_2252.jpg,1954,1,비표출,제4유형,유,,인사를 나누는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
19,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 태평양 국립묘지 참배,2012이승만2차_2253.jpg,1954,1,비표출,제4유형,유,,이승만 대통령 태평양 국립묘지 참배,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
20,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,하지 중장 육군 장병 악수,2012이승만2차_2182.jpg,미상,1,비표출,제4유형,유,,하지 중장 육군 장병 악수,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
21,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 해군 시찰,2012이승만2차_2183.jpg,미상,1,비표출,제4유형,유,,이승만 대통령 해군 시찰,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
22,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,외교 및 군 관계자들 기념식 참석,2012이승만2차_2184.jpg,미상,1,비표출,제4유형,유,,외교 및 군 관계자들 기념식 참석,,사진,이미지,,역사,한국어,미상,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,만료추정,,
23,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,이승만 대통령 육군 본부 시찰,2012이승만2차_2185.jpg,1951,1,비표출,제4유형,유,,이승만 대통령 육군 본부 시찰,,사진,이미지,,역사,한국어,1951,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2021,,
24,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,악수하는 이승만 대통령,2012이승만2차_2212.jpg,1954,1,비표출,제4유형,유,,악수하는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
25,이미지,기록,대한민국역사박물관,근현대사아카이브,2차 이승만연구원 소장자료,악수하는 이승만 대통령,2012이승만2차_2213.jpg,1954,1,비표출,제4유형,유,,악수하는 이승만 대통령,,사진,이미지,,역사,한국어,1954,,계약서 내용에 구속,대한민국역사박물관,,,,제4유형,저작물,보호저작물,,상업적이용금지,○,○,○,○,○,○,X,,2024,,
