철도산업정보센터 권리처리 목록,,,,,,,,,,,,,,,,
순번,사이트명,카테고리,URL,이름,파일명,설명,등록일,소재지,제공처,영상,사진,PDF,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
26,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=40&p_id3=2010-10-18&q_name=all,국가지정문화재 사적 제284호 구 서울역사,26_국가지정문화재 사적 제284호 구 서울역사,"동경대 교수였던 일본인 쓰가모토야스시가 설계하고 1922.6월 착공하여 1925년 9월 준공된 지하 1층 지상 2층 연면적 3,325㎡의 석재가 혼합된 벽돌식 역 건물로 1층은 르네상스 궁전건축 기법으로 처리하고 1층 윗부분과 2층은 붉은 벽돌로 쌓고, 부분적으로 화강석을 장식하여 마감하였다.",,서울 중구 봉래동2가 122,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
27,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=39&p_id3=2010-10-15&q_name=all,제21호 태백 철암역두선탄시설,27_제21호 태백 철암역두선탄시설,일제시대 만들어진 국내 최초 무언탄 선탄시설로서 지금까지 사용하고 있으며 일제강점기 석탄산업 시설의 원형을 보여주며 . 우리나라 석탄산업의 발자취를 느낄 수 있음. 이 지역의 발전과 함께 한 무연탄시설물로 시대와 지역을 상징하는 중요한 시설물임.,,강원도 태백시 철암동 365-1 번지 외 1 8 필지,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
28,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=38&p_id3=2010-10-15&q_name=all,제285호 칠곡 구 왜관터널,28_제285호 칠곡 구 왜관터널,"1905년 개통된 석조와 붉은벽돌로 된 말굽형 터널이다. 터널은 보존상태가 양호하며, 경부선 복선화사업으로 노선이 바뀌어 현재는 칭고로 사용되고 있다. 터널입구는 화강석으로 마감되었으며, 입구 아치는 정점에 이맛돌(kyestone)을 둔 반원형 아치모양을 하고있다. 터널내부 하단은 시각적 안정감을 위하여 화강석 견치석 쌓기를, 상부는 붉은 벽돌로 정교하게 쌓았다. 이 터널은 우리나라 근대기 철도역사를 보여주는 매우 귀중한 자료로서의 가치가 있다.",,"경상북도 칠곡군 왜관읍 석전리 882-61, 65",철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
29,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=37&p_id3=2010-10-15&q_name=all,제204호 밀양 상동터널,29_제204호 밀양 상동터널,"1905년 이전에 건립된 것으로 추정되는 길이가 각각40m. 60m 인 2 기의 터널로, 경부선 개통( 1905년)을 위해 건립되었으며 1960년대 초 경부선 철도 노선이 변경되면서, 이후 바닥의 철로 자리를 콘크리트로 포장하여 현재 자동차와 보행자 통행용 터널로 이용되고 있다. 이 터널은 견치석과 적벽돌을 사용하여 축조한 조적조 철도터널로, 콘크리트조 철도터널이 보급되기 이전의 터널 구조기술과 형태를 잘 보여주고 있어 건설기술사적, 재료사적, 철도사적 가치가 있다.",,경상남도 밀앙시 상동면 안인리 및 옥산리,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
30,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=36&p_id3=2010-10-15&q_name=all,제138호 중앙선 원주역 급수탑,30_제138호 중앙선 원주역 급수탑,1940년 개통된 중앙선 원주역 급수탑은 높이 18m 이며 상부 지름이 하부 지름 ( 4.5m) 보다 큰 원후형으로 뿔을 잘라낸 형상이다 1930년대 이전에 건축된 석조급수탑과 구별되는 일제 강점기 후반에 건축된 철근콘크리트조 급수탑으로 1940년대 급수탑의 전형적인 모습을 가지고 있는 급수탑이다.,,강원도 원주시 학성동 357-18,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
31,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=35&p_id3=2010-10-15&q_name=all,제63호 호남선 구 학교역 급수탑,31_제63호 호남선 구 학교역 급수탑,"1921년 건립되어 기관차 급수시설로 사용된 급수탑으로 호남지역 서남부에서 유일하다 재료가 당시로는 드문 석조로 축조되었으며, 이 급수탑이 설치된 학다리역은 노선의 변경므로 폐쇄되었으나 근대화과정에서 중요한 역할을 수행했던 교통사적 요충지이며 여기에 위치한 급수탑은 철도시설물로서의 기념비적 가치를 갖고 있음.",,전라남도 함평군 학교면 학교리 878-30,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
32,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=34&p_id3=2010-10-15&q_name=all,제50호 중앙선 영천역 급수탑,32_제50호 중앙선 영천역 급수탑,1937년에 설치된 것으로 구조체 뿐 아니라 출입문 형태를 그대로 원형을 잘 간직하고 있는 등 전형적인 급수탑의 형식을 잘 보여주고 있으며 6 . 25 동란 시 맞은 총탄의 흔적이 남아있어 역사적 의미도 있음.,,경상북도 영천시 완산동 936-4,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
33,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=33&p_id3=2010-10-15&q_name=all,제49호 중앙선 안동역 급수탑,33_제49호 중앙선 안동역 급수탑,"1940년에 설치된 시설물로 보존상태가 앙호하며 외부 형태는 12 각형으로 다른 급수탑에 비해 형태가 독특하고, 기계실 천정이 돔형으로 처리되어 있는 등 전형적인 급수탑의 형태를 보여주고 있음.",,경상북도 안동시 운흥동 214-3,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
34,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=32&p_id3=2010-10-15&q_name=all,제48호 호남선 연산역 급수탑,34_제48호 호남선 연산역 급수탑,"현재 남아있는 급수탑 가운데 연대가 가장 오래된 것으로 급수탑 재료를 석재를 사용한 것이 큰 특징으로서 몸체는 화강석을 쌓았으며 외곽 테두리를 정교하게 다듬고, 나머지 부분을 거칠게 다듬은 모양을 하고 있음. 급수탑 출입구 부분은 아치로 마감하고 이맛돌(Key Stone)의 모양이 매우 정교하며 그 앞의 우물도 화강석 쌓기로 잘 다듬어져 있음.",,충청남도 논산시 연산면 청동리 127-74,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
35,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=31&p_id3=2010-10-15&q_name=all,제47호 경부선 추풍령역 급수탑,35_제47호 경부선 추풍령역 급수탑,"표준화된 급수탑 유형이 정해지기 이전인 1939년 건축된 과도기적 급수탑으로 방형의 평면을 이루고 있음. 기계실 안에 당시 증기기관차에 물을 공급하던 워싱턴 펌프와 급수에 필요한 물을 끌어들인 연못 및 배관시설 등 급수시설이 원형대로 잘 보존되어 있는 상태이며, 6.25동란시 총탄흔적이 있어 역사적 의미를 갖고 있음. 전체적인 입면구성은 기단부와 기계실 몸통부, 물탱크로 이루어져 있다.",,충청북도 영동군 추풍령면 추풍령리 336-1,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
36,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=30&p_id3=2010-10-15&q_name=all,제46호 삼척 도계역 급수탑,36_제46호 삼척 도계역 급수탑,1940년에 설치된 강윈도에 유일하게 남아있는 급수탑으로서 당시의 전형적인 급수탑 형식이며 선로 보다 4 미터가 높은 곳에 설치하여 다른 급수탑에 비해 낮으며(8m) 지붕에는 사방에 반원형 창문이 설치되어 있다.,,강원도 삼척시 도계읍 전두리 123,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
37,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=29&p_id3=2010-10-15&q_name=all,제45호 경원선 연천역 급수탑,37_제45호 경원선 연천역 급수탑,"1914년 개통된 경원선 증기기관차 급수 시설로 경원선 의 중간지점인 연천역에 설치한 2 개의 급수탑이다 원통형과 상자형으로 각기 다르게 되어 있고, 상자형 급수탑은 콘크리트조로 외관에 줄눈을 그려 조적조인 것처럼 보이며 기단 . 몸동. 처마의 구성을 확실히 갖추고 있고, 출입구 부분은 아치형으로 이맛톨 (Key Stone) 을 만들어 놓았음. 또한 원동형 급수탑에는 출입구 반대쪽에 계기 조작판이 있으며 외부에는 6.25 동란 때 총탄혼적이 있다.",,경기도 연천군 연천읍 차탄2리,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
38,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=28&p_id3=2010-10-15&q_name=all,제51호 경부선 삼랑진 급수탑,38_제51호 경부선 삼랑진 급수탑,"철로면 하부는 석조, 상부는 철근콘크리트조로 석조무늬를 표현하기 위해 줄눈을 설치하였다. 상부에는 철제 물탱크를 설치하였으며, 기계실 출입구는 별도의 지붕을 가진 포오치 형식으로 기계실 진입공간을 따로 확보하고 있으며, 기계실 진입부의 지붕틀은 골함석 지붕에 당시의 목조트러스 구조를 잘 나타내고 있음. 급수탑 재료가 석조에서 철근콘크리트조로 넘어가는 철도 급수탑의 시대별 변천과정을 잘 나타내주고 있는 철도역사상 귀중한 자료임.",,경남 밀양시 삼랑진읍 송지리 156-1,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
39,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=27&p_id3=2010-10-15&q_name=all,제406호 칠곡 왜관철교,39_제406호 칠곡 왜관철교,"한국전쟁 때 북한군과 유엔군의 주력부대 간의 격전이 전개된 중심지역에 있는 이 철교는 남하하는 북한군을 저지하려고 미군 제 1 기병사단에 의해 경간 1 개가 폭파됨으로써 북한군의 추격을 따돌리는 역할을 한 유적으로, 한국전쟁 격전장의 중요한 상징물로서 역사적 가치가 크다. Ｉ형 콘크리트 교각으로 화강암을 감아 의장이 화려하고 지면에 닿는 부분을 아치형 장식과 붉은벽돌로 마감하는 등 근대 철도교에서 보기 드물게 장식성이 높으며 100년 이상 된 트러스교로서 보존 상태가 양호하여 교량사와 철도사적인 가치도 있다.",,경상북도 칠곡군 왜관읍 석전리 872 외,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
40,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=26&p_id3=2010-10-15&q_name=all,제250호 한강절도교,40_제250호 한강절도교,"1900년에 건립된 제1철도교는 우리나라 최초의 철로인 경인철도 건설시 건립된 한강 최초의 다리이다. 이후 1912년에 제2철도교가, 1944년에 제3철도교가 건립되었다. 규모 및 구조는 제1철도교가 폭 5.6m. 길이 1,113.6m 의 단순 와렌 (warren)트러스, 제2철도교는 폭 5.6m. 길이 1,110.07m 의 단순 와렌 (warren) 트러스, 제3철도교는 폭 10m. 길이 1,113m 의 연속 더블 와렌 (warren) 트러스 구조이다. 6.25 전쟁으로 세 교랑 모두 폭파된 것을 1957년에 제3철도교를, 1969년에 제1,2철도교를 복구하여 오늘의 모습을 갖추게 되었다.",,서울시 용산구 이촌동 198-2,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
41,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=25&p_id3=2010-10-15&q_name=all,제112호 금강산전기절도교량,41_제112호 금강산전기절도교량,이 교랑은 1926년 세워진 금강산 전기철도용 교랑이다. 금강산 전기철도는 철원역을 시발로 종착역인 내금강역까지 총 언장 116.6km 에 달했으며 일제강점기에는 지하자원 수탈 및 금강산 관광용으로 운행되다 해방이후 한국전쟁에서 북한에 의해 군수물자 수송에 사용되었다. 금강산 전기철도의 흔적을 그대로 간직하고 있으며 남북분단의 현실을 상징적으로 보여주고 있다. 일본회사인 철춘철도주식회사에 의해 부설되었다.,,"강원 철원군 김화읍 도창리, 갈말읍 정연리",철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
42,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=24&p_id3=2010-10-15&q_name=all,제79호 경의선 장단역 죽음의 다리,42_제79호 경의선 장단역 죽음의 다리,"비무장지대 안, 장단역의 진입부근에 있는 철길을 동서를 언결하는 다리이다.  “죽음의 다리”라는 명칭은 북한군에 의하여 피살된 미군들 때문에 붙여진 이름으로, 한국전쟁, 남북분단 및 통일을 아우르는 역사적 의미를 갖는다.",,경기도 파주시 장단면 도라산리 894,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
43,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=23&p_id3=2010-10-15&q_name=all,제59호 영동 노근리 쌍굴다리,43_제59호 영동 노근리 쌍굴다리,경부선 철도 개통과 합께 개근천 위에 축조된 아치형 쌍굴 철도교각으로서 한국전쟁시 많은 앙민들이 피살된 아픈 상처를 간직하고 있는 장소이다.,,충청북도 영동군 황간면 노근리 860-7,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
44,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=22&p_id3=2010-10-15&q_name=all,제428호 용산철도병원,44_제428호 용산철도병원,"1928년 철근콘크리트조 적벽돌 마감으로 재건된 지상 2층 규모의 건축물로, 일제강점기 철도기지로서 신시가지로 개발되었던 용산을 상징적으로 보여주는 건축물이다. 건립 당시의 구조, 재료, 공간구성을 간직하였으며, 절제된 장식과 함께 서양의 고전적 양식에서 근대건축으로 옮겨가는 과도기적 특성을 보여주고 있다.",,서울시 용산구 한강로 3가 65-154 번지,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
45,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=21&p_id3=2010-10-15&q_name=all,제269호 청량리역 검수차고,45_제269호 청량리역 검수차고,1938년에 건립되어 청량리역의 전차대를 거쳐 기관차를 수리 및 보관하는 차고로 사용된 건물로 총 27칸이며 반원형의 방사상으로 배열된 형태였으나 차량의 방향을 돌리는 턴테이블과 우측부 10칸이 철거되어 현재는 17칸이 남아있다. 우리나라 철도건축사에서 유일하게 보여지는 철도차량 정비시설로 근대사적 철도사적 가치가 있다.,,서울특별시 동대문구 전농 2 동 587 외 1 필지,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
46,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=20&p_id3=2010-10-15&q_name=all,제202호 진주역 차량정비고,46_제202호 진주역 차량정비고,"경남선의 개통과 함께 1925년경 건립된 차량정비고로, 왕대공트러스의 변형, 2개의 반복된 아치형태, 트러스 간격마다 설치된 벽돌부벽, 벽돌 내쌓기 한 지붕처마부분의 홈통처리 등 건축적 미와 기법을 단순, 세련되게 구사하고 잇어 건축적, 철도사적 가치가 있다.",,경상남도 진주시 강남동 245- 225,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
47,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=19&p_id3=2010-10-15&q_name=all,제168호 대전 보급창고,47_제168호 대전 보급창고,"건립연도는 광복후인 1956년이나, 일제강점기에 사용하던 기술을 그대로 적용하여 지은 창고 건축물 이다. 해방 후 창고건축물의 구조적 특징과 역사적 변천을 파악 할 수 있는 건축물로 보존 가치가 있으며, 현존하는 근대기 목조건축물이 거의 없어 희소가치가 높다.",,대전광역시 동구 소제동 299,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
48,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=18&p_id3=2010-10-15&q_name=all,제77호 경의선 구 장단역지,48_제77호 경의선 구 장단역지,경의선의 개통으로 1937년경 건축된 장단역의 플랫폼인 장단역지는 한국전쟁 등 근대사와 관련된 철도시설로서 한국전쟁 . 남북분단 및 통일을 함께 그려 볼 수 있는 역사적 장소성을 갖고 있는 곳이다,,경기도 파주시 장단면 동장리 198,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
49,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=16&p_id3=2012-09-12&q_name=all,철도경찰복(상하),49_철도경찰복(상하),6.25전쟁 당시 철도경찰복을 복제(複製)한 것,,서울시 용산구 이태원로 29,전쟁기념관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
50,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=15&p_id3=2011-11-04&q_name=all,등록문화재 제423호 대한제국기 철도 통표 (大韓帝國期 鐵道 通票),50_등록문화재 제423호 대한제국기 철도 통표 (大韓帝國期 鐵道 通票),"단선구간의 철도에서 충돌사고 방지를 위하여 증표로 사용하던 것으로 통표폐색식 설비가 도입되기 전에 기계장치를 이용하지 않고 양 역간의 협의에 의하여 역장과 기관사 간에 주고받던 일종의 열차운행허가증이다.
① 통표 ‘경인선 572’는 1899년 서울과 인천을 잇는 우리나라 최초의 철도인 경인선 개통 초기부터 사용하다 1908년 8월 통표폐색식 설비가 설치됨에 따라 사용 중지된 것임.
② 통표 ‘301’은 1906년 4월 경의선(용산~신의주)이 개통되면서부터 1908년까지 사용된 것임.
③ 통표 ‘3237’은 1904년 2월 서울~의주 간 군용철도 부설을 비롯하여 이후 부설되는 임시군용철도에서 사용되던 것임.
④ 통표 ‘1199’는 1902년 경의선 기공 이후 일부 공사구간에서 이용되다 1906년 4월 경의선이 개통되며 사용 중지된 것임.
⑤ 통표 ‘경부선 2245’는 1905년 경부선 개통과 함께 사용하던 것임. 이상 5점 모두 당시의 통표로는 국내에 유일하게 남아있는 것이다.",,경기 의왕시 월암동 374-1,한국철도공사,0,1,0,미부착,제1유형,X,저작물보호기간 만료
51,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=14&p_id3=2010-10-18&q_name=all,제426호 서울 전차 363호,51_제426호 서울 전차 363호,"1930년 일본의 일본차랑주식회사에서 제작된 반강제(半鋼製) 보기식(Bogie式) 궤도차랑으로 서울 서대문~종로~동대문~청량리 구간에서 운행되었으며, 우리나라에서 가장 오래된 노면전차로 사료적 가치가 크다.",,서울특별시 종로구 창경궁로 113,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
52,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=13&p_id3=2010-10-18&q_name=all,제422호 의왕 협궤용 유개화차,52_제422호 의왕 협궤용 유개화차,"1955년 미국에서 제작된 지붕이 있는 화물열차로 레일간 간격이 표준보다 좁은 협궤 노선인 수인선(수원~남인천), 수여선(수원~여주)에서 농산물 등 지방의 특산물 수송에 크게 기여하였다. 1995년 12월 수인선이 폐지됨에 따라 운행이 중지된 것으로 우리 나라에서 유일하게 남아있는 협궤선용 덮개 있는 화차다.",,경기도 의왕시 월암동 374-1 (철도박물관),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
53,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=12&p_id3=2010-10-18&q_name=all,제421호 의왕 협궤용 무개화차,53_제421호 의왕 협궤용 무개화차,"1955년 미국에서 제작된 지붕이 없는 화물열차로 레일간 간격이 표준보다 좁은 협궤 노선인 수인선(수원~남인천), 수여선(수원~여주)에서 석탄, 광물 등 화물을 주로 운반하였으며 천막 등으로 덮개를 씌워 소래지방에서 생산된 소금 운송에 기여하였다. 1995년 12월 수인선이 폐지 됨에 따라 운행이 중지된 것으로 우리나라에서 유일하게 남아있는 협궤선용 덮개 없는 화차다.",,경기도 의왕시 월암동 374-1 (철도박물관),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
54,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=11&p_id3=2010-10-18&q_name=all,제420호 의왕 주한유엔군사령관 전용객차,54_제420호 의왕 주한유엔군사령관 전용객차,1936년 일본에서 제작되고 조선총독부 철도국 경성공장에서 전망 2등 침대차로 조립하여 사용되던 차량을 1958년 서울공작창에서 주한 유엔군 및 미 8 군 사령관 전용 객차로 개조하여 운행되었으며 1966년 11월 미국 제36대 존슨 대통령 방한 시 이 객차를 이용하였고 기념 승차권이 발행 되기도 한 역사적 가치가 큰 차량이다.,,경기도 의왕시 월암동 374-1 (철도박물관),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
55,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=10&p_id3=2010-10-18&q_name=all,제419호 의왕 대통령전용 객차,55_제419호 의왕 대통령전용 객차,"1927년 일본에서 제작되고 조선총독부 철도국 경성공장에서 조립된 객차(승객용 차랑)로 1955년 서울 공작창에서 대통령 전용으로 개조하여 이승만 대통령부터 박정희 대통령까지 이용했던 차량이다. 객차내에 회의실, 침실, 샤워실, 식당 등 각종 설비가 갖추어져 있고, 화려한 의장이 돋보이는 등 전직 대통령 관련 유물로서 역사적 사료적 가치가 큰 차량이다.",,경기도 의왕시 월암동 374-1 (철도박물관),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
56,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=9&p_id3=2010-10-18&q_name=all,제418호 의왕 협궤 증기관차 13호,56_제418호 의왕 협궤 증기관차 13호,"1937년 일본에서 제작되고 조선총독부 철도국 수원운전 사무소에서 조립한 텐더식 증기기관차로 레일 간 간격이 표준보다 좁은 협궤에서 운행되던 기관차로 협궤형은 보통 탱크식이나 이 기관차 는 텐더식으로 희귀한 것이며 수인선(수원~인천 송도), 수여선(수원~여주)에서 여객 및 소금, 쌀 등 농산물의 운반에 크게 기여하였다.",,경기도 의왕시 월암동 374-1 (철도박물관),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
57,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=8&p_id3=2010-10-18&q_name=all,제417호 의왕 파시형 증기관차 23호,57_제417호 의왕 파시형 증기관차 23호,"1942년 일본에서 제작되고 조선총독부 철도국 경성공장에서 조립한 텐더식 증기기관차로, 전국 주요간선에서 운행되다 1967년 8월 디젤기관차의 등장으로 운행이 중단되었다. 특히 파시 5형 기관차는 우리나라의 지형조건과 국내산 석탄 사용에 직합하게 개량 제작된 차량으로 급행 여객 열차의 대표 역할을 수행하였으며 파시형 증기기관차로는 국내에 유일하게 남아있는 유물이다.",,경기도 의왕시 월암동 374-1 (철도박물관),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
58,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=7&p_id3=2010-10-18&q_name=all,제416호 부산 디젤전기기관차 2001호,58_제416호 부산 디젤전기기관차 2001호,"1950년 미국 GM사에서 제작한 것으로 우리나라에 들어 온 최초의 디젤전기기관차임. 1951년 한국전쟁 시 유엔군이 증기기관차의 비효율성과 불편함 때문에 35량을 군수물자 수송용으로 들여와 역구내 입환용으로 운용하였으며, 1956년 3월 당시 교통부가 미국으로부터 4량을 인수받아 운용하였고 그 중 유일하게 남아 있는 차랑으로 역사적 가치가 크다.",,부산시 부산진구 범천동(부산철도차량관리단),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
59,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=6&p_id3=2010-10-18&q_name=all,제415호 대전 미카형 증기기관차 129호,59_제415호 대전 미카형 증기기관차 129호,1940년 일본에서 제작 경성공장에서 조립한 텐더식 증기기관차로 경부선 등 주요 간선에서 운행되다. 1967년 8월 디젤기관자의 등장으로 운행이 중단됨. 1981년 10월부터 2년간 동해남부선(부산~경주) 관광열차로 운행됨. 한국전쟁 중인 1950년 7월 19일 북한군에 포위된 미 제 24 사단장 윌리염 F 딘 소장을 구출하기 위하여 적진에 돌진하였던 기관차임. 적의 집중 포격으로 기관사 및 특공대원 대부분이 전사하고 구출작전은 실패했으나 칠도인의 애국 희생정신을 상징하는 유물이다.,,대전시 대덕구 평촌동(대전철도차량관리단),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
60,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=5&p_id3=2010-10-18&q_name=all,제414호 제주 미카형 증기기관차 304호,60_제414호 제주 미카형 증기기관차 304호,"1944년 일본에서 제작, 경성공장에서 조립한 텐더식(탄수차를 별도로 연결) 증기기관차로 전국 철도의 주요간선을 총 2,264,000km운행하였다. 1978년 어린이날 박정희 대통령의 지시로 기차를 볼 수 없는 섬 지역 어린이들을 위해 보내졌으며, 1963년 인천공작창에서 제작된 비둘기호 객차 1 량이 연결, 전시되고 있다. 특히, 중유용으로 개조되지 않고 석탄용 그대로 원형이 남아있는 국내 유일의 증기기관차로 사료적 가치가 크다.",,제주도 제주시 연동 270-5 (삼무공원),철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
