철도산업정보센터 권리처리 목록,,,,,,,,,,,,,,,,
순번,사이트명,카테고리,URL,이름,파일명,설명,등록일,소재지,제공처,영상,사진,PDF,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
11,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=55&p_id3=2010-10-18&q_name=all,제298호 삼척 도경리역사,11_제298호 삼척 도경리역사,"역사는 출입구에 박공지붕형태의 케노피를 두어 정면성을 강조하고 있으며 철로 면에 돌출된 조정실에도 작은 박공지붕을 두고있는 반면, 출입구에는 박공지붕 없이 차양지붕만 달려있는 단순한 모습을 보여주고 있어 특이 하다. 1939년에 건립된 도경리 역은 영동선에 남아있는 역사중에 가장 오래된 역사로서 희소가치가 크다.",,"강원도 삼척시 도경동 산37-3, 182외",철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
12,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=54&p_id3=2010-10-18&q_name=all,제297호 영동 심천역사,12_제297호 영동 심천역사,심천역은 1905년 보통역으로 영업을 개시하여 1920년에 역사가 신축되었으나 1934년 복선공사에 의하여 이전 신축되었다. 역사는 ‘ㅡ’자형 평면형태를 하고 있으며 대합실 출입구에 박공지붕을 틀어 정면성을 강조 하고 있다. 본체의 박공부분의 입구 창호 등은 원형을 그대로 유지하고 있으며 철로변의 대합실출입구에는 차양지붕을 덧 달아낸 형태로 본채의 지붕과 단차를 두고있어 입체감을 주고 있다. 현재 경부선에서 원형이 잘 보존되어있는 역사로 손꼽힐 만하다.,,충청북도 영동군 심천면 심천리 318-43 외,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
13,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=53&p_id3=2010-10-18&q_name=all,제296호 양평 구둔역사,13_제296호 양평 구둔역사,구둔역은 1940년 4월1일 보통역으로 영역을 개시하였다. 장방면 평면에 T 자형 지붕을 하고 있으며 출입구 부문은 박공형태로 되어 있다. 철로 면에는 차양지붕을 달았으며 튀어나온 조정실의 지붕은 작은 박공지붕으로 원래의 모습을 간직하고 있다. 건물 내부의 주요 구조재 또한 원래의 것 그대로 남아있으며 무엇보다도 그 주변 경관이 아름다워 역사와 잘 어우러져 있다.,,경기도 앙평군 지제면 일신리 1336-2외,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
14,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=52&p_id3=2010-10-18&q_name=all,제295호 남양주 팔당역사,14_제295호 남양주 팔당역사,"1939년 4월1일 보통역으로 영업을 개시 하였으며 보기 드물게 플랫폼에 노선을 따라 설치되어 있는 일자형의 장방형 역사로서 희소적 가치가 있다. 비교적 원형을 잘 간직하고 있으며 내부공간은 전면부를 대합실, 후반부를 사무실과 숙직실로 사용하고 있다. 또한, 내부공간은 다소 변형되었으나 주요 구조재는 그대로 유지되고 있어 당시의 철도역사건축을 이해하는데 중요한 자료이다.",,경기도 남양주시 와부읍 팔당리 98-1외,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
15,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=51&p_id3=2010-10-18&q_name=all,제294호 고양 일산역사,15_제294호 고양 일산역사,일산역은 1933년에 준공되었다. 일산 신도시 한가운데 일제강점기 역사가 남아있다는 것 자체가 희소가치를 지닌다. 지붕의 형태는 일자형 평면위에 십자형 박공지붕을 올려놓은 형태이며 정면에서 보이는 박공부위는 비교적 목이 넓은 반면에 높이는 낮아 1930년대에 건설 된 경부선의 다른 역들과 비교된다.,,경기도 고양시 일산구 일산2동 655-35,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
16,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=50&p_id3=2010-10-18&q_name=all,제270호 대구 반야월역사,16_제270호 대구 반야월역사,"대구선 동촌역과 정천역 사이에 위치하는 역사로 1932년에 건립되었다. 장방형 평면에 승객용 대합실과 역무실로 구성되었으며 외관은 대합실 부분에 삼각형의 박공지붕을 돌출시켜 정면성을 강조하였다. 원형 또한 잘 보존되어 있는 건물로 철도사적, 건축적 가치가 있다.",,"대구광역시 동구 신기동 1-6, 3-3, 865-2",철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
17,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=49&p_id3=2010-10-18&q_name=all,제208호 군산 임피역사,17_제208호 군산 임피역사,"1936년경 군산선의 철도 역사로 건립된 건물로, 당시 농촌지역 소규모 간이역사의 전형적 건축형식과 기법을 잘 보여주며, 원형 또한 비교적 잘 보존되어 있어 건축적, 철도사적 가치가 있다.",,전라북도 군산시 임피면 술산리 226-127,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
18,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=48&p_id3=2010-10-18&q_name=all,제210호 익산 춘포역사,18_제210호 익산 춘포역사,"1914 년에 건립되어 대장역이라 명명된 역사 건물로, 1996년 춘포역으로 개칭되었다. 슬레이트를 얹은 박공지붕의 목조 구조로서 소규모 철도역사의 전형을 잘 보여주고 있으며, 현존하는 최고(最古)의 역사로 역사적, 건축적, 철도사적 가치가 있다.",,전라북도 익산시 춘포면 덕실리 481-3,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
19,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=47&p_id3=2010-10-18&q_name=all,제208호 군산 임피역사,19_제208호 군산 임피역사,"1936년경 군산선의 철도 역사로 건립된 건물로, 당시 농촌지역 소규모 간이역사의 전형적 건축형식과 기법을 잘 보여주며, 원형 또한 비교적 잘 보존되어 있어 건축적, 철도사적 가치가 있다.",,전라북도 군산시 임피면 술산리 226-127,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
20,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=46&p_id3=2010-10-18&q_name=all,제192호 경남 진해역사,20_제192호 경남 진해역사,"진해는 일제에 의하여 해양 군사도시로 개발되었으며 당시 철도는 진해와 내륙을 연결하는 중요한 교통수단이었다. 1926년에 건립된 진해역사는 당시 건립된 일반 적인 지방 역사의 형식과 규모가 온전히 남아있어 역사적, 건축적 가치가 있다.",,경상남도 진해시 여좌동 761- 474,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
21,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=45&p_id3=2010-10-18&q_name=all,제165호 원주 반곡역사,21_제165호 원주 반곡역사,"일제강점기 말 소규모 지방 철도역사의 분위기를 지금도 잘 보여주고 있는 건축물이다. MBC 베스트극장에서 몬트하임역으로도 출연한 바가 있는 등 영화나 드라마의 배경으로 간혹 이용되고 있고, 벚꽃이 필 때는 휴식 장소로도 사용된다. 근대기 수입된 서양목조건축기술의 일면을 볼 수 있을 뿐 아니라 한국전쟁 시 인민군의 장악과 전투가 있었던 곳으로 전쟁의 흔적을 볼 수 있다.",,강원도 원주시 반곡동 154-2,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
22,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=44&p_id3=2010-10-18&q_name=all,제136호 서울 신촌역사,22_제136호 서울 신촌역사,"1906년 용산~신의주간 개통된 경의선에 부속된 철도역사인 신촌역사는 1920-30년대의 조적법 목재지붕틀, 창호, 굴뚝 등의 원형이 잘 남아있으며 지금도 철도역사로 사용되고 있다. 이 시기 철도역사의 전형적 유형인 맞배지붕에 삼각형의 박공을 강조한 지붕, 대합실과 역무실로 크게 양분되는 평면 등이 잘 표현되어 있어 건축적 보존가치가 크다. 또한 이 지역이 1920년대 서울의 교외로서 새롭게 개발되었다는 도시사적 의미 또한 확인할 수 있다. 서울시내에 원래의 모습으로 남아있는 흔치않은 교외역사 건축물이다.",,"서울특별시 서대문구 대현동 74-12, 74-21",철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
23,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=43&p_id3=2010-10-18&q_name=all,제128호 전남 원창역사,23_제128호 전남 원창역사,70년 이상의 역사를 갖고 있는 비교적 오래된 역사 건물로 전국적으로 목조 단층 역사가 거의 남아있지 않은 상황에서 그 가치가 돋보이는 건물이다. 조선층독부가 전국 주요도시에 내린 조선시가지계획령이 시행됨에 따라 이에 준하여 설계 시공된 철도역사로서 일제강점기 표준설계도서에 따라 건립되어 그 특성을 고스란히 간직하고 있어 학술적 가치가 있다.,,전라남도 순천시 별량면 동송리 559,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
24,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=42&p_id3=2010-10-18&q_name=all,제122호 전남 구 곡성역사,24_제122호 전남 구 곡성역사,"1933년 전라선 개통으로 지어진 곡성역의 역사건물로 당시 표준형 역사의 원형을 잘 보존하고 있다. 1999년 2월 25일 전라선 개량공사 완공에 따라 전라선이 이설되고 곡성역이 신설되면서 역사로서의 기능은 사라졌으나 역사 및 주변 건물이 잘 남아있어 근대기 역사 환경을 추억할 수 있는 건축물이다. 현재는 곡성군에서 ""심청골 철도공원""으로 조성하여 전라선 구 선로에 증기기관차열차 운행, 레일바이크 및 기차카페 등을 운영하는 관광지로 활용되고 있다.",,전라남도 곡성군 오곡면 오지리 770-5,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
25,철도산업정보센터,HOME > 철도역사관 > 철도유물유적,http://www.kric.go.kr/jsp/board/portal/sub06/railArtifactsDetail.jsp?p_id1=M02040501&p_id2=41&p_id3=2010-10-18&q_name=all,제105호 울산 남창역사,25_제105호 울산 남창역사,"1935년에 건축된 소규모 목조 철도역사로 건물 후면부 지붕의 중앙부에 두개의 박공을 중칩시켜 역사형태와 정면성을 강조한것이 특징적이다. 일제 강점기의 지방 역사의 형식, 구조 및 공간구성을 잘 보여주는 건물이다.",,울산광역시 울주군 온양읍 남창리 42-33,철도박물관,0,1,0,미부착,제1유형,X,저작물보호기간 만료
