국립해양문화재연구소 권리처리 목록,,,,,,,,,,,,
순번,사이트명,카테고리,이름,설명,등록일,영상,사진,문서,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고
41,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,노기,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
42,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,다듬잇돌,,,0,1,0,제4유형,제1유형,업무상저작물,
43,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,달리도선,,,0,1,0,제4유형,제4유형,없음,
44,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,달리도선,,,0,1,0,제4유형,제4유형,없음,
45,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻가지,,,0,1,0,제4유형,제1유형,업무상저작물,
46,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻가지,,,0,1,0,제4유형,제1유형,업무상저작물,
47,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻가지,,,0,1,0,제4유형,제1유형,업무상저작물,
48,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
49,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
50,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
51,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
52,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
53,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
54,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
55,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
56,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
57,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
58,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
59,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
60,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
61,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
62,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
63,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
64,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제2유형,계약서/착수계/완료계,
65,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
66,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
67,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
68,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
69,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
70,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
71,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
72,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
73,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
74,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
75,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
76,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
77,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
78,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
79,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
80,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
81,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
82,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
83,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
84,국립해양문화재연구소,자료마당 > 소장품 > 소장품 검색,닻돌,,,0,1,0,제4유형,제1유형,업무상저작물,
