순번,대분류,중분류,기관명,사이트명,카테고리,이름,설명,등록일,수량,기존 공공누리 유형,최종 공공누리 유형,계약서 유무,비고,저작물명,,유형,디지털형태,설명,주제어,언어,제작일,,계약서,저작권자,,공동저작자,저작인접권자,공개유형,저작물성,비보호저작물,업무상저작물,상업적이용허락,저작재산권,,,,,,,공동저작자동의,유효기간,,초상권
13,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",부여 정림사지석불좌상,"부여 정림사지석불좌상_2
소재지 : 충청남도 부여군 부여읍 동남리 254 정림사지
소유자 : 국유
규모: 높이 : 5.62m
재질: 화강암
시대 : 고려시대(11세기)",2002,1,미부착,제4유형,유,,부여 정림사지석불좌상,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
14,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",부여 정림사지석불좌상,"석불좌상 삼단좌대 하대 상단의 복려문
소재지 : 충청남도 부여군 부여읍 동남리 254 정림사지
소유자 : 국유
규모: 높이 : 5.62m
재질: 화강암
시대 : 고려시대(11세기)",2002,1,미부착,제4유형,유,,부여 정림사지석불좌상,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
15,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",부여 정림사지석불좌상,"석불좌상 삼단대좌
소재지 : 충청남도 부여군 부여읍 동남리 254 정림사지
소유자 : 국유
규모: 높이 : 5.62m
재질: 화강암
시대 : 고려시대(11세기)",2002,1,미부착,제4유형,유,,부여 정림사지석불좌상,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
16,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",의성 관덕동석사자,"석사자 1쌍 중 암사자 상
소재지 : 경상북도 경주시 인왕동 76 국립경주박물관
소유자 : 국유
규모: 높이 : 0.35m
재질: 화강암
시대 : 통일신라시대",2002,1,미부착,제4유형,유,,의성 관덕동석사자,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
17,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",의성 관덕동석사자,"의성 관덕동사자_2
소재지 : 경상북도 경주시 인왕동 76 국립경주박물관
소유자 : 국유
규모: 높이 : 0.35m
재질: 화강암
시대 : 통일신라시대",2002,1,미부착,제4유형,유,,의성 관덕동석사자,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
18,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",의성 관덕동석사자,"의성 관덕동사자_3
소재지 : 경상북도 경주시 인왕동 76 국립경주박물관
소유자 : 국유
규모: 높이 : 0.35m
재질: 화강암
시대 : 통일신라시대",2002,1,미부착,제4유형,유,,의성 관덕동석사자,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
19,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",의성 관덕동석사자,"석사자 1쌍 중 숫사자 상
소재지 : 경상북도 경주시 인왕동 76 국립경주박물관
소유자 : 국유
규모: 높이 : 0.35m
재질: 화강암
시대 : 통일신라시대",2002,1,미부착,제4유형,유,,의성 관덕동석사자,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
20,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",의성 관덕동석사자,"의성 관덕동사자_5
소재지 : 경상북도 경주시 인왕동 76 국립경주박물관
소유자 : 국유
규모: 높이 : 0.35m
재질: 화강암
시대 : 통일신라시대",2002,1,미부착,제4유형,유,,의성 관덕동석사자,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
21,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",청도 박곡동석조석가여래좌상,"여래좌상 대좌 복련석
소재지 : 경상북도 청도군 금천면 박곡리 653
소유자 : 국유
규모: 전체높이 2.76m, 불상높이 1.54m
재질: 화강암
시대 : 통일신라시대",2001,1,미부착,제4유형,유,,청도 박곡동석조석가여래좌상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
22,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",청도 박곡동석조석가여래좌상,"청도 박곡동석조석가여래좌상_2
소재지 : 경상북도 청도군 금천면 박곡리 653
소유자 : 국유
규모: 전체높이 2.76m, 불상높이 1.54m
재질: 화강암
시대 : 통일신라시대",2001,1,미부착,제4유형,유,,청도 박곡동석조석가여래좌상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
23,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",청도 박곡동석조석가여래좌상,"여래좌상 불신의 측후면
소재지 : 경상북도 청도군 금천면 박곡리 653
소유자 : 국유
규모: 전체높이 2.76m, 불상높이 1.54m
재질: 화강암
시대 : 통일신라시대",2001,1,미부착,제4유형,유,,청도 박곡동석조석가여래좌상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
24,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",청도 박곡동석조석가여래좌상,"청도 박곡동석조석가여래좌상_4
소재지 : 경상북도 청도군 금천면 박곡리 653
소유자 : 국유
규모: 전체높이 2.76m, 불상높이 1.54m
재질: 화강암
시대 : 통일신라시대",2001,1,미부착,제4유형,유,,청도 박곡동석조석가여래좌상,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
25,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",북한산 구기리마애석가여래좌상,"여래좌상 두부 및 갓(우측면 향)
소재지 : 서울특별시 종로구 구기동 승가사
소유자 : 국유
규모: 상높이 : 5.94m
재질: 화강암
시대 : 고려시대",1983,1,미부착,제4유형,유,,북한산 구기리마애석가여래좌상,,사진,이미지,,문화유산,한국어,1983,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
26,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",북한산 구기리마애석가여래좌상,"여래좌상 두부 및 갓(정면 향)
소재지 : 서울특별시 종로구 구기동 승가사
소유자 : 국유
규모: 상높이 : 5.94m
재질: 화강암
시대 : 고려시대",1990,1,미부착,제4유형,유,,북한산 구기리마애석가여래좌상,,사진,이미지,,문화유산,한국어,1990,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
27,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",북한산 구기리마애석가여래좌상,"여래좌상 손 모습 및 연화대좌
소재지 : 서울특별시 종로구 구기동 승가사
소유자 : 국유
규모: 상높이 : 5.94m
재질: 화강암
시대 : 고려시대",1990,1,미부착,제4유형,유,,북한산 구기리마애석가여래좌상,,사진,이미지,,문화유산,한국어,1990,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
28,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",북한산 구기리마애석가여래좌상,"북한산 구기리마애석가여래좌상_1
소재지 : 서울특별시 종로구 구기동 승가사
소유자 : 국유
규모: 상높이 : 5.94m
재질: 화강암
시대 : 고려시대",1990,1,미부착,제4유형,유,,북한산 구기리마애석가여래좌상,,사진,이미지,,문화유산,한국어,1990,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
29,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조II, 보물편)",북한산 구기리마애석가여래좌상,"여래좌상 전체 및 오르는 계단
소재지 : 서울특별시 종로구 구기동 승가사
소유자 : 국유
규모: 상높이 : 5.94m
재질: 화강암
시대 : 고려시대",1990,1,미부착,제4유형,유,,북한산 구기리마애석가여래좌상,,사진,이미지,,문화유산,한국어,1990,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
30,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",의성 빙산사지오층석탑,"의성 빙산사지오층석탑_5
소재지 : 경상북도 의성군 춘산면 빙계리 산 70
소유자 : 국유
규모: 높이 : 8.15m
재질: 화강암
시대 : 통일신라말~고려시대초",1991,1,미부착,제4유형,유,,의성 빙산사지오층석탑,,사진,이미지,,문화유산,한국어,1991,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
31,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",의성 빙산사지오층석탑,"의성 빙산사지오층석탑_6
소재지 : 경상북도 의성군 춘산면 빙계리 산 70
소유자 : 국유
규모: 높이 : 8.15m
재질: 화강암
시대 : 통일신라말~고려시대초",1991,1,미부착,제4유형,유,,의성 빙산사지오층석탑,,사진,이미지,,문화유산,한국어,1991,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
32,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",정선 서정리구층석탑,"정산 서정리구층석탑
소재지 : 충청남도 청양군 정산면 서정리 16
소유자 : 국유
규모: 높이 : 6m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,정선 서정리구층석탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
33,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",경주 효현리삼층석탑,"탑신부
소재지 : 경상북도 경주시 효현동 420
소유자 : 국유
규모: 높이 : 4.06m
재질: 화강암
시대 : 통일신라시대",2000,1,미부착,제4유형,유,,경주 효현리삼층석탑,,사진,이미지,,문화유산,한국어,2000,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
34,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",경주 효현리삼층석탑,"기단부 전체
소재지 : 경상북도 경주시 효현동 420
소유자 : 국유
규모: 높이 : 4.06m
재질: 화강암
시대 : 통일신라시대",2000,1,미부착,제4유형,유,,경주 효현리삼층석탑,,사진,이미지,,문화유산,한국어,2000,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
35,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",경주 효현리삼층석탑,"상층기단 갑석과 탑신괴임
소재지 : 경상북도 경주시 효현동 420
소유자 : 국유
규모: 높이 : 4.06m
재질: 화강암
시대 : 통일신라시대",2000,1,미부착,제4유형,유,,경주 효현리삼층석탑,,사진,이미지,,문화유산,한국어,2000,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
36,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",경주 효현리삼층석탑,"경주 효현리삼층석탑_4
소재지 : 경상북도 경주시 효현동 420
소유자 : 국유
규모: 높이 : 4.06m
재질: 화강암
시대 : 통일신라시대",2000,1,미부착,제4유형,유,,경주 효현리삼층석탑,,사진,이미지,,문화유산,한국어,2000,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
37,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",여주 창리삼층석탑,"기단부 전체
소재지 : 경기도 여주군 여주읍 창리 136-6
소유자 : 국유
규모: 높이 : 2.46m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,여주 창리삼층석탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
38,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",여주 창리삼층석탑,"기단부의 복련석
소재지 : 경기도 여주군 여주읍 창리 136-6
소유자 : 국유
규모: 높이 : 2.46m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,여주 창리삼층석탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
39,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",여주 창리삼층석탑,"여주 창리삼층석탑_3
소재지 : 경기도 여주군 여주읍 창리 136-6
소유자 : 국유
규모: 높이 : 2.46m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,여주 창리삼층석탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
40,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",여주 창리삼층석탑,"여주 창리삼층석탑_4
소재지 : 경기도 여주군 여주읍 창리 136-6
소유자 : 국유
규모: 높이 : 2.46m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,여주 창리삼층석탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
41,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",보원사 법인국사보승탑,"보원사 법인국사보승탑_1
소재지 : 충청남도 서산시 운산면 용현리
소유자 : 국유
규모: 높이 : 4.75m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,보원사 법인국사보승탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
42,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",보원사 법인국사보승탑,"보원사 법인국사보승탑_2
소재지 : 충청남도 서산시 운산면 용현리
소유자 : 국유
규모: 높이 : 4.75m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,보원사 법인국사보승탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
43,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",보원사 법인국사보승탑,"기단부 하대석 상단(운룡문)
소재지 : 충청남도 서산시 운산면 용현리
소유자 : 국유
규모: 높이 : 4.75m
재질: 화강암
시대 : 고려시대",2001,1,미부착,제4유형,유,,보원사 법인국사보승탑,,사진,이미지,,문화유산,한국어,2001,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
44,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",보원사 법인국사보승탑,"옥개석 및 상륜부
소재지 : 충청남도 서산시 운산면 용현리
소유자 : 국유
규모: 높이 : 4.75m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,보원사 법인국사보승탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
45,이미지,문화유산,국가유산청,국가유산청,"문화재대관 (석조1, 보물편)",보원사 법인국사보승탑,"기단부 갑석(양련석)과 탑신부 조각
소재지 : 충청남도 서산시 운산면 용현리
소유자 : 국유
규모: 높이 : 4.75m
재질: 화강암
시대 : 고려시대",2002,1,미부착,제4유형,유,,보원사 법인국사보승탑,,사진,이미지,,문화유산,한국어,2002,,저작물이용허락동의서,안장헌,,,국가유산청,제4유형,저작물,보호저작물,X,상업적이용금지,○,○,○,○,○,○,X,,,,
