ratio,tag,mean_f1,std_f1,cv,min_f1,max_f1,range_f1
0.25,pure_bert,0.9153002841825593,0.07277556350067,0.07951004141298257,0.7726522288045062,0.96956281128943,0.19691058248492377
0.25,crf_bert,0.9090324436243712,0.07172473051527012,0.07890227793113629,0.7735299825344459,0.9681384441209768,0.1946084615865309
0.25,pure_roberta,0.9262147295609153,0.04697086975955163,0.050712721640497775,0.8398648648648649,0.9735343965929337,0.13366953172806884
0.25,crf_roberta,0.9292120962242805,0.04816887460892723,0.051838406758429545,0.8386731574776407,0.972939997385507,0.13426683990786625
0.25,pure_xlm,0.9628128819481425,0.03420674567295732,0.035527926884135426,0.89689553591661,0.9909916787541033,0.09409614283749335
0.25,crf_xlm,0.9652235298343909,0.027891680894985255,0.02889660273799044,0.9123579874797125,0.9890595814432205,0.07670159396350795
0.50,pure_bert,0.9203854606264683,0.0747626772829557,0.08122974610232091,0.7714762699737656,0.9651588430535798,0.19368257307981418
0.50,crf_bert,0.9274069067090155,0.06071563278896436,0.0654681697426851,0.8071493624772315,0.9685055092668228,0.16135614678959131
0.50,pure_roberta,0.9402372445305517,0.04249052339444606,0.04519127873482722,0.8563254563140127,0.9719188452609265,0.11559338894691384
0.50,crf_roberta,0.9453505986542678,0.039808164658139085,0.042109419208923214,0.8678480426221913,0.972536674939968,0.1046886323177767
0.50,pure_xlm,0.962651009083291,0.040203404066627514,0.041763218120876675,0.8831653167064856,0.9896170467513515,0.10645173004486597
0.50,crf_xlm,0.9667951334241854,0.0435032728826237,0.044997405736357236,0.8805258259655654,0.9959556741891126,0.11542984822354718
0.75,pure_bert,0.9202420992796814,0.08520142482901087,0.09258588027618189,0.7511598198077053,0.9786598123019906,0.22749999249428532
0.75,crf_bert,0.9292643925232025,0.07012522598911865,0.07546315833614352,0.7908367843291921,0.982931967252358,0.19209518292316585
0.75,pure_roberta,0.937704042889691,0.0606365387646498,0.06466490064155873,0.819225194876415,0.9841233953827216,0.16489820050630666
0.75,crf_roberta,0.939224448884293,0.059442323738080026,0.06328873125980877,0.8228225838538973,0.983676187843221,0.1608536039893237
0.75,pure_xlm,0.9657537616152716,0.04631736593734527,0.04795980898886394,0.8739754492630931,0.993811439316402,0.11983599005330892
0.75,crf_xlm,0.9703889124263156,0.03826893086180912,0.03943669426943806,0.8951942537402278,0.995080564665621,0.09988631092539324
1.00,pure_bert,0.9205433316400354,0.08851356107038434,0.09615360627585995,0.7440198959981913,0.9757660311062883,0.23174613510809705
1.00,crf_bert,0.9214535349667383,0.08453771277326555,0.09174386940337377,0.753709472712588,0.9793645594497216,0.22565508673713353
1.00,pure_roberta,0.9333036694691688,0.07750526624991366,0.08304399605971335,0.7788326765927062,0.9834916568826271,0.2046589802899209
1.00,crf_roberta,0.9331046895471001,0.08027339330600142,0.08602828193368486,0.7728838517973126,0.9804971319311664,0.20761328013385383
1.00,pure_xlm,0.964505614234333,0.05084852355485247,0.05271977975495588,0.8629309644395093,0.9940650747102361,0.13113411027072674
1.00,crf_xlm,0.9654216554514139,0.051332832047167896,0.053171411431790994,0.8628195050551595,0.9932714880396554,0.1304519829844959
