backbone,type,mean_f1,std_f1,stability_1mstd,worst_fold_f1,best_fold_f1,range_f1
mBERT,Pure,0.9205433316400354,0.08851356107038434,0.9114864389296157,0.7440198959981913,0.9757660311062883,0.23174613510809705
mBERT,CRF,0.9214535349667383,0.08453771277326555,0.9154622872267344,0.753709472712588,0.9793645594497216,0.22565508673713353
KLUE-RoBERTa,Pure,0.9333036694691688,0.07750526624991366,0.9224947337500864,0.7788326765927062,0.9834916568826271,0.2046589802899209
KLUE-RoBERTa,CRF,0.9331046895471001,0.08027339330600142,0.9197266066939986,0.7728838517973126,0.9804971319311664,0.20761328013385383
XLM-R,Pure,0.964505614234333,0.05084852355485247,0.9491514764451475,0.8629309644395093,0.9940650747102361,0.13113411027072674
XLM-R,CRF,0.9654216554514139,0.051332832047167896,0.9486671679528321,0.8628195050551595,0.9932714880396554,0.1304519829844959
